"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"13720","Big Stone Gap, VA Micro Area",13672,788,2405,2161,2343,1509,1190,1164,233,230,893
"13740","Billings, MT Metro Area",85576,4200,11022,17268,20414,14234,4359,6414,794,886,2387
"13780","Binghamton, NY Metro Area",103484,4050,14165,20275,21730,16483,6281,9022,1719,2051,3480
"13820","Birmingham-Hoover, AL Metro Area",473061,8693,34515,53685,72556,75944,37064,76378,19286,19687,44255
"13900","Bismarck, ND Metro Area",66324,2391,9694,15826,18871,8557,1804,3676,358,486,1776
"13940","Blackfoot, ID Micro Area",18453,1139,2826,3071,2749,2099,1148,2089,319,448,1438
"13980","Blacksburg-Christiansburg, VA Metro Area",72508,2576,11130,14534,13924,9303,3746,7008,1599,2112,3515
"14010","Bloomington, IL Metro Area",83601,3485,14596,19507,19531,9830,3364,4501,1262,1378,3433
"14020","Bloomington, IN Metro Area",77652,2757,10845,15215,17509,10752,3214,6539,1477,1309,3217
"14100","Bloomsburg-Berwick, PA Metro Area",37071,1188,5230,6329,6785,5875,2115,3547,877,1179,2241
"14140","Bluefield, WV-VA Micro Area",37462,1298,4931,7290,5988,5183,1753,3950,941,977,1991
"14180","Blytheville, AR Micro Area",16545,1169,3701,3024,2597,1628,559,1648,359,332,898
"14220","Bogalusa, LA Micro Area",16600,434,2172,2915,1911,1674,589,1829,139,796,1822
"14260","Boise City, ID Metro Area",313403,9447,30358,49057,59396,56184,23999,40985,7867,8867,16082
"14300","Bonham, TX Micro Area",12994,747,1786,1252,1352,1143,634,1505,547,545,1240
"14380","Boone, NC Micro Area",23156,1520,2748,4664,4692,3309,1345,2172,256,694,840
"14420","Borger, TX Micro Area",8482,572,2648,1927,1172,664,136,508,59,85,422
"14460","Boston-Cambridge-Newton, MA-NH Metro Area",2442362,48783,170050,251402,286845,297536,139915,368366,91477,134958,294718
"14500","Boulder, CO Metro Area",150498,3543,17107,26024,25712,21270,10913,17089,4045,5298,10544
"14540","Bowling Green, KY Metro Area",77458,2657,9706,13724,15490,12119,4263,8004,1955,1964,3238
"14580","Bozeman, MT Micro Area",55698,3456,10497,12110,11675,7802,2377,3419,370,437,913
"14620","Bradford, PA Micro Area",17289,1364,3094,2808,2100,1893,858,1865,422,726,1047
"14660","Brainerd, MN Micro Area",40141,2175,6069,7568,6485,5493,2525,3977,806,831,1884
"14700","Branson, MO Micro Area",22925,873,2618,4075,5017,3970,1266,2097,498,244,957
"14720","Breckenridge, CO Micro Area",17290,1528,3521,2834,3794,1941,913,1494,139,222,182
"14740","Bremerton-Silverdale-Port Orchard, WA Metro Area",119442,2227,9226,15590,20542,18271,7315,15046,3463,4120,7027
"14780","Brenham, TX Micro Area",14633,634,3244,2824,2551,1597,722,799,190,361,616
"14820","Brevard, NC Micro Area",12507,574,1808,2086,1941,1301,619,1854,255,436,887
"14860","Bridgeport-Stamford-Norwalk, CT Metro Area",439787,9759,37722,61704,68268,57878,21765,49827,9868,15598,34098
"15020","Brookhaven, MS Micro Area",12863,363,2026,2323,2372,1113,256,1781,20,247,470
"15060","Brookings, OR Micro Area",6567,782,2026,1250,657,604,174,535,101,148,41
"15100","Brookings, SD Micro Area",18079,1483,4636,5130,2824,1555,506,566,122,210,473
"15140","Brownsville, TN Micro Area",7135,209,1207,1166,764,661,369,1196,220,320,586
"15180","Brownsville-Harlingen, TX Metro Area",153712,3063,16567,28275,35713,28393,9043,19804,1408,2627,5224
"15220","Brownwood, TX Micro Area",15548,1066,2952,4421,2412,2456,451,898,87,88,253
"15260","Brunswick, GA Metro Area",49096,1587,6098,7776,9052,7895,2536,6634,1117,1128,2808
"15340","Bucyrus-Galion, OH Micro Area",18150,1226,2934,2614,2569,2346,1643,1816,658,460,739
"15380","Buffalo-Cheektowaga, NY Metro Area",524147,15558,55290,83844,92374,91546,45911,68825,15608,15408,23034
"15420","Burley, ID Micro Area",18542,2068,4151,3643,3282,2121,615,1142,142,149,569
"15460","Burlington, IA-IL Micro Area",21128,1138,3893,5152,3709,2534,892,1678,343,242,823
"15500","Burlington, NC Metro Area",73924,1869,7683,10872,13826,11076,4723,7995,2573,3152,6145
"15540","Burlington-South Burlington, VT Metro Area",112425,3530,12559,17406,19290,17780,7773,14237,4137,4026,6694
"15580","Butte-Silver Bow, MT Micro Area",15363,1282,3366,4397,2940,1171,216,726,91,180,499
"15620","Cadillac, MI Micro Area",19074,1468,3251,3532,2714,2200,965,1526,396,617,1151
"15660","Calhoun, GA Micro Area",24578,716,2225,3923,5477,3207,1624,3003,458,661,1604
"15680","California-Lexington Park, MD Metro Area",54012,1408,3660,6277,8691,7469,4010,7053,1306,1630,3803
"15700","Cambridge, MD Micro Area",13908,455,1730,1664,1730,1482,1247,2304,390,528,1041
"15740","Cambridge, OH Micro Area",16070,869,1730,3113,2909,2028,837,1415,353,327,1236
"15780","Camden, AR Micro Area",11263,430,1905,2338,1904,1303,446,1201,152,290,713
"15820","Campbellsville, KY Micro Area",14656,886,2447,2940,2350,1420,657,1669,276,235,962
"15860","Cañon City, CO Micro Area",13271,560,2268,2546,2227,1500,469,979,46,447,912
"15940","Canton-Massillon, OH Metro Area",179332,7261,21591,30602,30982,26481,12651,19596,5271,5537,9712
"15980","Cape Coral-Fort Myers, FL Metro Area",284141,5133,19572,33159,38660,44310,21294,50201,9798,12795,28874
"16940","Cheyenne, WY Metro Area",46447,2222,8807,13568,12240,3920,1410,1271,474,133,844
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4422700,69233,292713,437826,515259,537594,275550,682751,172666,257577,549327
"16020","Cape Girardeau, MO-IL Metro Area",42427,1805,6455,8075,7867,5874,2021,3998,832,955,1984
"16060","Carbondale-Marion, IL Metro Area",54353,2810,8106,10371,8778,7106,3008,5639,1635,1210,2874
"16100","Carlsbad-Artesia, NM Micro Area",25880,1493,5046,6890,5069,1668,369,1614,266,430,1222
"16140","Carroll, IA Micro Area",9811,1475,2792,1941,1344,747,283,666,97,97,134
"16180","Carson City, NV Metro Area",24336,813,4512,5715,4011,1763,753,2634,789,1012,1160
"16220","Casper, WY Metro Area",39088,1940,6452,10257,9488,5505,1240,1711,219,351,722
"16260","Cedar City, UT Micro Area",20930,2131,5560,4819,3514,1378,377,667,147,150,912
"16300","Cedar Rapids, IA Metro Area",134143,4787,18590,27126,27347,21253,7696,11331,3092,3159,5294
"16340","Cedartown, GA Micro Area",17268,653,2599,2237,2037,1673,1260,2456,311,484,1614
"16380","Celina, OH Micro Area",20324,1780,4020,3418,3301,2391,1285,1624,444,543,868
"16420","Central City, KY Micro Area",11446,672,1638,1770,1699,1408,443,1026,408,536,713
"16460","Centralia, IL Micro Area",15476,1005,3053,2958,1847,1742,980,1757,407,451,588
"16500","Centralia, WA Micro Area",29523,1777,3755,4098,3893,3115,1866,2783,1064,1057,2373
"16540","Chambersburg-Waynesboro, PA Metro Area",69685,2899,7633,9695,11585,10767,5197,8113,1919,2206,4296
"16580","Champaign-Urbana, IL Metro Area",105296,3809,13078,23637,24399,17674,7039,7876,1492,1371,2473
"16620","Charleston, WV Metro Area",100362,3004,9924,15258,18560,16118,6978,11826,2617,3046,6304
"16660","Charleston-Mattoon, IL Micro Area",28407,2570,6640,4994,3832,3144,1439,2284,626,611,990
"16700","Charleston-North Charleston, SC Metro Area",359801,5699,25691,38626,53591,61186,26203,65408,13408,14874,33333
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area",1167006,19458,89431,142293,174148,175240,89219,182092,46419,51184,112178
"16820","Charlottesville, VA Metro Area",97547,2798,10192,15165,18576,14388,6960,11816,2945,3543,6324
"16860","Chattanooga, TN-GA Metro Area",241943,5436,22304,33295,42552,43724,21922,32472,7469,7155,15672
"17020","Chico, CA Metro Area",87880,4082,16200,19967,14315,7175,4591,9887,1696,1237,3764
"17060","Chillicothe, OH Micro Area",29828,1109,3045,5025,5480,3999,1741,2707,753,967,2118
"17140","Cincinnati, OH-KY-IN Metro Area",1022005,23100,88527,125448,155587,169890,88448,151767,41254,46089,80169
"17220","Clarksburg, WV Micro Area",38109,1077,4104,5562,7259,5392,2737,4223,998,1179,2698
"17260","Clarksdale, MS Micro Area",7475,315,1438,1901,1204,562,240,290,81,116,798
"17300","Clarksville, TN-KY Metro Area",131940,5284,14819,19064,23240,19750,8119,15456,3779,3660,8070
"17340","Clearlake, CA Micro Area",19966,645,2733,3120,2277,2157,909,1571,835,837,1597
"17380","Cleveland, MS Micro Area",10304,801,2836,1663,1246,854,367,977,288,239,538
"17420","Cleveland, TN Metro Area",53115,1731,6919,9098,10896,6780,3030,5445,1380,1846,3535
"17460","Cleveland-Elyria, OH Metro Area",934157,24102,80268,117986,145950,152884,84990,136973,37917,40975,67835
"17500","Clewiston, FL Micro Area",16480,1171,3022,2530,1845,989,549,2012,251,363,1250
"17540","Clinton, IA Micro Area",20474,1109,4693,4231,2658,1649,1080,1423,646,823,1393
