place_fips,place_name,total_population
100100,"Abanda CDP, Alabama",176
100124,"Abbeville city, Alabama",2573
100460,"Adamsville city, Alabama",4340
100484,"Addison town, Alabama",728
100676,"Akron town, Alabama",315
100820,"Alabaster city, Alabama",33176
100988,"Albertville city, Alabama",21541
101132,"Alexander City city, Alabama",14508
101180,"Alexandria CDP, Alabama",4068
101228,"Aliceville city, Alabama",2362
101396,"Allgood town, Alabama",706
101660,"Altoona town, Alabama",883
101708,"Andalusia city, Alabama",8772
101756,"Anderson town, Alabama",236
101852,"Anniston city, Alabama",21688
102116,"Arab city, Alabama",8293
102260,"Ardmore town, Alabama",1350
102320,"Argo town, Alabama",4220
102428,"Ariton town, Alabama",837
102500,"Arley town, Alabama",574
102836,"Ashford town, Alabama",2468
102860,"Ashland town, Alabama",1447
102908,"Ashville city, Alabama",2380
102956,"Athens city, Alabama",25922
103004,"Atmore city, Alabama",9495
103028,"Attalla city, Alabama",5836
103076,"Auburn city, Alabama",64054
103220,"Autaugaville town, Alabama",963
103364,"Avon town, Alabama",592
103508,"Axis CDP, Alabama",1180
103556,"Babbie town, Alabama",558
103676,"Baileyton town, Alabama",872
103724,"Bakerhill town, Alabama",228
103820,"Ballplay CDP, Alabama",1605
103940,"Banks town, Alabama",190
104660,"Bay Minette city, Alabama",9169
104684,"Bayou La Batre city, Alabama",2543
104852,"Bear Creek town, Alabama",1205
104900,"Beatrice town, Alabama",221
104948,"Beaverton town, Alabama",182
105140,"Belgreen CDP, Alabama",32
105164,"Belk town, Alabama",238
105188,"Bellamy CDP, Alabama",466
105212,"Belle Fontaine CDP, Alabama",564
105692,"Benton town, Alabama",29
105812,"Berlin town, Alabama",369
105932,"Berry town, Alabama",1345
105980,"Bessemer city, Alabama",26680
106460,"Billingsley town, Alabama",103
107000,"Birmingham city, Alabama",212297
107120,"Black town, Alabama",203
107456,"Blountsville town, Alabama",2262
107588,"Blue Ridge CDP, Alabama",1490
107672,"Blue Springs town, Alabama",79
107912,"Boaz city, Alabama",9277
108104,"Boligee town, Alabama",441
108248,"Bon Air town, Alabama",87
108272,"Bon Secour CDP, Alabama",1234
108680,"Boykin CDP, Alabama",269
109016,"Brantley town, Alabama",1005
109064,"Brantleyville CDP, Alabama",860
109136,"Brent city, Alabama",4803
109208,"Brewton city, Alabama",5240
109328,"Bridgeport city, Alabama",2106
109400,"Brighton city, Alabama",2810
109424,"Brilliant town, Alabama",923
109457,"Bristow Cove CDP, Alabama",668
109500,"Brook Highland CDP, Alabama",7147
109736,"Brookside town, Alabama",1217
109808,"Brookwood town, Alabama",2139
109880,"Broomtown CDP, Alabama",176
110240,"Brundidge city, Alabama",2345
110456,"Bucks CDP, Alabama",13
111032,"Butler town, Alabama",2419
111416,"Calera city, Alabama",13856
111488,"Calvert CDP, Alabama",609
111512,"Camden city, Alabama",2177
111680,"Camp Hill town, Alabama",1196
112016,"Carbon Hill city, Alabama",1441
112040,"Cardiff town, Alabama",50
112070,"Carlisle-Rockledge CDP, Alabama",2577
112112,"Carlton CDP, Alabama",31
112160,"Carolina town, Alabama",343
112304,"Carrollton town, Alabama",1055
112496,"Castleberry town, Alabama",485
112544,"Catherine CDP, Alabama",0
112760,"Cedar Bluff town, Alabama",1999
113264,"Center Point city, Alabama",16353
113648,"Centre city, Alabama",3525
113672,"Centreville city, Alabama",2653
114008,"Chatom town, Alabama",1195
114104,"Chelsea city, Alabama",13098
114152,"Cherokee town, Alabama",863
114392,"Chickasaw city, Alabama",5817
114464,"Childersburg city, Alabama",4908
114728,"Choccolocco CDP, Alabama",3011
114968,"Chunchula CDP, Alabama",220
115064,"Citronelle city, Alabama",3893
115136,"Clanton city, Alabama",8700
115256,"Clay city, Alabama",9888
115304,"Clayhatchee town, Alabama",644
115376,"Clayton town, Alabama",2884
115472,"Cleveland town, Alabama",1334
115640,"Clio city, Alabama",1015
116000,"Coaling town, Alabama",1417
116080,"Coats Bend CDP, Alabama",1358
116240,"Coffee Springs town, Alabama",177
116264,"Coffeeville town, Alabama",516
116312,"Coker town, Alabama",687
116600,"Collinsville town, Alabama",2212
116684,"Colony town, Alabama",471
116744,"Columbia town, Alabama",678
116768,"Columbiana city, Alabama",4481
116936,"Concord CDP, Alabama",1616
117176,"Coosada town, Alabama",1112
117368,"Cordova city, Alabama",2006
117704,"Cottondale CDP, Alabama",3136
117824,"Cottonwood town, Alabama",1294
117968,"County Line town, Alabama",256
118040,"Courtland town, Alabama",760
118088,"Cowarts town, Alabama",2142
118304,"Creola city, Alabama",1871
118856,"Crossville town, Alabama",2011
118952,"Cuba town, Alabama",422
118976,"Cullman city, Alabama",15729
119024,"Cullomburg CDP, Alabama",229
119216,"Cusseta town, Alabama",90
119336,"Dadeville city, Alabama",3098
119360,"Daleville city, Alabama",5123
119648,"Daphne city, Alabama",25901
119744,"Dauphin Island town, Alabama",1324
119816,"Daviston town, Alabama",214
119912,"Dayton town, Alabama",31
120008,"Deatsville town, Alabama",1679
120104,"Decatur city, Alabama",54478
120152,"Deer Park CDP, Alabama",127
120272,"Delta CDP, Alabama",282
120296,"Demopolis city, Alabama",6807
120392,"Detroit town, Alabama",257
120955,"Dodge City town, Alabama",615
121136,"Dora city, Alabama",2209
121184,"Dothan city, Alabama",67894
121280,"Double Springs town, Alabama",1610
121328,"Douglas town, Alabama",973
121448,"Dozier town, Alabama",321
