"county_fips","county_name","total_commute","drive_alone","carpool","public_transit","bicycle","walk","other_means","work_at_home"
1115,"St. Clair County, Alabama",37911,36476,32978,87,0,181,317,850
1043,"Cullman County, Alabama",33790,32642,29248,22,7,251,158,710
1069,"Houston County, Alabama",43855,41816,38701,19,53,363,372,1232
1125,"Tuscaloosa County, Alabama",92277,87091,79001,497,252,1010,460,2967
1031,"Coffee County, Alabama",22345,21202,19450,4,115,188,269,567
1021,"Chilton County, Alabama",17263,16694,14469,0,0,80,97,392
1037,"Coosa County, Alabama",4075,3790,3347,0,0,83,8,194
1055,"Etowah County, Alabama",41552,39472,36088,37,37,414,296,1296
1075,"Lamar County, Alabama",5191,5110,4655,35,1,0,0,45
1013,"Butler County, Alabama",7820,7553,6729,12,0,57,102,96
1127,"Walker County, Alabama",23982,22851,20267,28,13,248,236,606
1063,"Greene County, Alabama",2381,2282,1732,0,5,18,5,71
1011,"Bullock County, Alabama",4319,4026,3496,0,0,213,0,80
1017,"Chambers County, Alabama",14367,13849,12386,36,0,100,100,282
1099,"Monroe County, Alabama",6361,6004,5744,26,0,42,77,212
1079,"Lawrence County, Alabama",12273,11802,10738,23,0,102,55,291
1081,"Lee County, Alabama",73873,67981,61355,534,202,1595,617,2944
1093,"Marion County, Alabama",11679,11235,10065,5,0,117,106,216
1107,"Pickens County, Alabama",6821,6218,5612,25,0,122,21,435
1119,"Sumter County, Alabama",4067,3800,3434,33,0,145,23,66
1073,"Jefferson County, Alabama",300213,279505,249841,2666,430,4211,3104,10297
1023,"Choctaw County, Alabama",4075,3877,3448,0,0,62,58,78
1059,"Franklin County, Alabama",12752,12383,10569,11,0,93,134,131
1091,"Marengo County, Alabama",6578,6136,5789,0,0,76,113,253
1113,"Russell County, Alabama",24517,23078,21219,0,0,486,316,637
1019,"Cherokee County, Alabama",9865,9511,8097,21,0,44,127,162
1039,"Covington County, Alabama",14646,14127,13028,5,14,107,193,200
1041,"Crenshaw County, Alabama",5641,5151,4516,44,4,111,57,274
1047,"Dallas County, Alabama",14029,13385,12734,0,13,211,154,266
1077,"Lauderdale County, Alabama",39687,37971,35060,0,92,555,230,839
1085,"Lowndes County, Alabama",3357,3227,2954,13,5,12,70,30
1087,"Macon County, Alabama",6935,6362,5887,18,0,404,50,101
1083,"Limestone County, Alabama",40176,38610,35575,86,0,233,249,998
1117,"Shelby County, Alabama",105614,98369,91060,47,35,818,673,5672
1133,"Winston County, Alabama",8860,8424,7073,27,0,55,84,270
1003,"Baldwin County, Alabama",93141,85257,78015,45,76,559,1147,6057
1051,"Elmore County, Alabama",34080,32507,29460,18,0,395,186,974
1071,"Jackson County, Alabama",19927,19001,17222,9,19,267,118,513
1121,"Talladega County, Alabama",30439,28542,25405,70,32,571,458,766
1129,"Washington County, Alabama",5484,5287,4745,0,0,13,137,47
1027,"Clay County, Alabama",5457,5145,4768,0,0,47,23,242
1103,"Morgan County, Alabama",51201,49420,45297,92,15,293,358,1023
1109,"Pike County, Alabama",13900,13127,11878,38,20,235,179,301
