"day","lag","rho","error","index","county","event","msa","week","period"
2020-02-10,3,0.0852117606577751,52.7512391658018,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.0855130883591737,47.271473265787,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,0.0856808738767642,48.7028508112798,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,0.0853610262821272,50.834011848829,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,0.0856844514623627,54.1105928839738,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,0.0855878675312139,44.0897125420173,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,0.084501811932438,43.8338475004585,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,0.0824958690755271,42.7004894988251,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,0.0829770721696481,39.8355096530592,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,0.0848914346176404,44.8280775796641,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,0.0851965313710492,43.5873380032046,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,0.0841570562159488,46.2995357839684,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,0.0838659648342786,42.5376147013902,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,0.0829527453291697,40.9354905886018,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,4.99995373518245,375.097985201715,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,4.99995347496494,344.91235115994,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,4.99995385317502,360.272112165362,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,4.99995351956715,365.16036004058,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,4.99995332599273,392.823160986968,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,4.99995426818987,331.576657708028,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,4.99995403711051,311.117698002816,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,4.99995398948294,288.854271546952,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,4.99995361104562,272.711052137785,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,4.99995396797675,320.754733722172,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,4.99995439088383,321.466753125571,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,4.99995399241058,323.085236480435,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,4.99995427402066,297.264556707423,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,4.99995407648154,283.721383109829,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,0.563928780682618,55.4362183572529,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.564076904214428,50.4701726401415,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,0.564097472066611,52.0024650112027,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,0.562380263936802,54.6741736848862,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,0.563257251307891,58.632345374949,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,0.564391251346141,46.3194250422103,"exp",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,0.561598488863547,45.6520425103171,"exp",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,0.557374279828251,43.1287052476526,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,0.560172435139464,40.3417975057685,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,0.565544904391095,45.3062155744981,"exp",13171,"COVID-19","Atlanta","weekday","during"
