"day","county","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-02-10",13171,-1,-0.311969677183597,-0.415549383651121,-1,-0.210157940501504,-0.325744807777331,-1,-0.229014306207172,-0.290084787862418,"COVID-19","Atlanta"
"2020-02-11",13171,-1,-0.298544823868001,-0.373599854983897,-1,-0.206655308159812,-0.374781660561015,-1,-0.198479065379549,-0.290084787862418,"COVID-19","Atlanta"
"2020-02-12",13171,-1,-0.298651086650241,-0.392247131631164,-1,-0.18310313195304,-0.366206263906079,-1,-0.201604912253002,-0.294653333292849,"COVID-19","Atlanta"
"2020-02-13",13171,-1,-0.408138578965852,-0.490545454482378,-1,-0.291229862916339,-0.47368712643019,-1,-0.246182981958665,-0.400047345682831,"COVID-19","Atlanta"
"2020-02-14",13171,-1,-0.395813321386149,-0.466806916599891,-1,-0.206655308159812,-0.304729013727181,-1,-0.137408583724303,-0.229014306207172,"COVID-19","Atlanta"
"2020-02-15",13171,-1,-0.316702708938227,-0.37901758616461,-1,-0.370629370629371,-0.440559440559441,-1,-0.272727272727273,-0.333333333333333,"COVID-19","Atlanta"
"2020-02-16",13171,-1,-0.444951842040082,-0.513108570108343,-1,-0.486865895495151,-0.62697118916282,-1,-0.381690510345287,-0.534366714483402,"COVID-19","Atlanta"
"2020-03-30",13171,-1,-0.255999123825732,-0.332782263563421,-1,-0.0945710732256767,-0.308231646068872,-1,-0.137408583724303,-0.320620028690041,"COVID-19","Atlanta"
"2020-03-31",13171,-1,-0.28781658365086,-0.384802631843106,-1,-0.200001231159414,-0.484213507017528,-1,-0.153864363724166,-0.369274472937998,"COVID-19","Atlanta"
"2020-04-01",13171,-1,-0.0696444166320371,-0.176356676081278,-1,0.111888111888112,-0.00699300699300699,-1,0.0606060606060606,-0.0303030303030303,"COVID-19","Atlanta"
"2020-04-02",13171,-1,-0.362671014168085,-0.457900455856609,-1,-0.301226381385489,-0.434326410369775,-1,-0.259549547034795,-0.320620028690041,"COVID-19","Atlanta"
"2020-04-03",13171,-1,-0.367961523046321,-0.421343328385993,-1,-0.353765866510865,-0.409807983977933,-1,-0.259549547034795,-0.320620028690041,"COVID-19","Atlanta"
"2020-04-04",13171,-1,-0.00419433841981959,-0.0935207461868663,-1,0.105078970250752,0.0140105293667669,-1,0.0763381020690574,0.0458028612414345,"COVID-19","Atlanta"
"2020-04-05",13171,-1,-0.331173300640094,-0.375549457499847,-1,-0.300699300699301,-0.27972027972028,-1,-0.242424242424242,-0.212121212121212,"COVID-19","Atlanta"
"2020-02-10",13063,-1,0.543006035134351,0.523530221113291,-0.999986498396684,0.591814147854956,0.577711049010397,-0.999680092125279,0.424968474122522,0.407628026333544,"COVID-19","Atlanta"
"2020-02-11",13063,-1,0.529417019718844,0.507036786844925,-1,0.565718485158954,0.551221883349032,-1,0.396508732023171,0.38170982181896,"COVID-19","Atlanta"
"2020-02-12",13063,-1,0.576677973697179,0.556321233576647,-1,0.611526516421541,0.601533851133999,-1,0.433405688469298,0.423213902732219,"COVID-19","Atlanta"
"2020-02-13",13063,-1,0.578881430378837,0.561117028003942,-1,0.609312215598102,0.593958361357306,-1,0.432397298413081,0.418633989179773,"COVID-19","Atlanta"
"2020-02-14",13063,-1,0.544119701690411,0.521050132794625,-1,0.578841269550017,0.557548142493107,-1,0.409451578284074,0.393149929133106,"COVID-19","Atlanta"
"2020-02-15",13063,-1,0.56344871818077,0.538907455360021,-0.999996999524425,0.587588170267465,0.57018783948077,-0.999871934429903,0.428393263511706,0.410793302105152,"COVID-19","Atlanta"
"2020-02-16",13063,-1,0.535335977825992,0.514800813679102,-0.999998499871364,0.591946052354969,0.574804369378894,-0.999936067512641,0.41873465134488,0.404462502546758,"COVID-19","Atlanta"
"2020-03-30",13063,-1,0.53380507763624,0.518291713299848,-0.999998499560746,0.564356982788667,0.559754591483914,-0.999935796603574,0.385780575560003,0.380672590448318,"COVID-19","Atlanta"
"2020-03-31",13063,-1,0.551451916558534,0.533595148252827,-1,0.558866385327208,0.549964534984075,-1,0.389300791993166,0.381890406060904,"COVID-19","Atlanta"
"2020-04-01",13063,-1,0.467800503396513,0.453233859139004,-1,0.510419811655277,0.506522790188475,-1,0.352741853184862,0.341519408108843,"COVID-19","Atlanta"
"2020-04-02",13063,-1,0.466382771295997,0.455656315154101,-1,0.521883921205498,0.513411760146597,-1,0.364776186224239,0.356358274234449,"COVID-19","Atlanta"
"2020-04-03",13063,-1,0.510295976384184,0.494677609284108,-1,0.5489453181803,0.539332962396998,-1,0.380586021577528,0.36808269267555,"COVID-19","Atlanta"
"2020-04-04",13063,-1,0.478778840344745,0.46610361572172,-1,0.538137643062733,0.528993071366248,-1,0.366078029453049,0.357398355114553,"COVID-19","Atlanta"
"2020-04-05",13063,-1,0.478696499183574,0.46591308598334,-1,0.509394488517849,0.504609117553476,-1,0.34653810589785,0.344494386880391,"COVID-19","Atlanta"
