"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope","county"
"Atlanta",18672,481.544228569687,38.7752544671976,40.1286857141406,29.6147766936308,12,NA,NA,0.554978294771022,NA,NA,"13171"
"Atlanta",283538,374.065219766394,757.990812877687,2.96877158544758,1.95363272866248,126,-6.27649490285662e-05,0.0766734059333775,0.346852074693398,0.0392464025286272,0.226949216602305,"13063"
"Atlanta",749323,702.574344120968,1066.53908767124,1.80147267723325,1.24464508104137,390,-3.77558164710736e-05,0.0663982411891172,0.545109662077958,0.274682504678559,0.407736225200281,"13089"
"Atlanta",31387,602.835445314184,52.0656179791184,35.4609085478932,23.7477596431737,17,NA,NA,0.483846275702802,NA,NA,"13227"
"Atlanta",117183,1305.27338265023,89.7765951237518,24.6277996726459,16.4768732804552,53,-0.000110549217774655,0.381729322591759,0.533414089644511,NA,NA,"13045"
"Atlanta",91442,854.983970941995,106.951712672756,22.4995781826841,17.181305426162,38,-8.9798029757053e-05,0.23504902890066,0.587276331384736,NA,NA,"13297"
"Atlanta",78991,422.114902995101,187.131511916595,12.4151442057383,9.65092646880298,34,-9.74294807101748e-05,0.308431909967692,0.438636065367057,NA,NA,"13013"
"Atlanta",159825,814.391424436806,196.250838606911,17.7041614008001,8.9906189255524,46,-5.35153589033771e-05,0.0905833439744773,0.685251512930474,NA,NA,"13223"
"Atlanta",21106,1309.64542684211,16.1158123927421,65.4822713421054,71.7865803083234,20,NA,NA,0.606649347632456,NA,NA,"13199"
"Atlanta",112303,516.460366762868,217.44746979116,10.5400074849565,8.36100472927668,49,-0.000105904434909536,0.132878880079398,0.48682078965766,NA,NA,"13113"
"Atlanta",29227,733.666426318961,39.836905372161,43.1568486069977,29.5411630433207,17,NA,NA,0.723930955565682,NA,NA,"13143"
"Atlanta",104919,1217.87729961266,86.1490726802846,24.8546387676054,11.8085190706691,49,-0.000139091382478491,0.448368009755974,0.621268026395506,NA,NA,"13015"
"Atlanta",143260,1155.1977001511,124.013404788862,20.2666263184403,10.9682843544939,57,-0.000147185502389422,0.531121813476338,0.474550361818469,NA,NA,"13077"
"Atlanta",13916,967.691847018888,14.3806109794871,138.24169243127,94.251163427818,7,NA,NA,0.578800689880334,NA,NA,"13159"
"Atlanta",225356,845.989413236567,266.381584064791,13.4284033847074,8.78383313187868,63,-6.26722047148972e-05,0.202521947447088,0.326201988278699,NA,NA,"13151"
"Atlanta",24536,555.422095492603,44.1754121759219,55.5422095492603,36.6581589432566,10,NA,NA,0.408761463489441,NA,NA,"13085"
"Atlanta",143316,520.963203955335,275.098123844246,9.47205825373337,5.21327865257147,55,-0.000117100465772328,0.293097332009937,0.598342502549405,NA,NA,"13097"
"Atlanta",18507,918.810969563801,20.1423367951147,102.090107729311,78.5212402366468,9,NA,NA,0.610473930903019,NA,NA,"13211"
"Atlanta",915046,1131.5371850774,808.67514746094,3.6151347766051,2.39720773219377,313,-3.30685852521941e-05,0.0624624937443512,0.560873836298721,0.167571427826749,0.266753532631823,"13135"
"Atlanta",18327,568.53242341241,32.2356285152548,71.0665529265512,62.6108822496244,8,NA,NA,0.543819799527245,NA,NA,"13231"
"Atlanta",89717,342.256461608215,262.133838404197,7.44035786104815,4.91791724835995,46,-0.000222553690886019,0.500018944616949,0.41908835461227,NA,NA,"13247"
"Atlanta",1036200,1384.4227131817,748.470817571743,2.54489469334872,1.17106871292628,544,-4.19490362272332e-05,0.195093843647752,0.221737671988015,0.351513753652324,1.14991226314205,"13121"
"Atlanta",11736,780.175605516432,15.0427671885888,97.5219506895539,89.1134921696951,8,NA,NA,0.662527137599706,NA,NA,"13149"
"Atlanta",751218,892.568897763053,841.635869099512,2.55019685075158,1.94750694185479,350,-3.48768900403191e-05,0.0654559012836126,0.646778573164931,0.314114582748594,0.993058352220013,"13067"
"Atlanta",247515,1125.39548224383,219.936017075972,13.2399468499274,5.09317202172989,85,-0.000122519471627327,0.415556057616397,0.596997339633148,0.174264880004573,0.680650091442006,"13057"
"Atlanta",108079,723.398534687031,149.404505010172,21.276427490795,11.3924493623829,34,-0.000166669158801945,0.525750910742138,0.416639256437468,NA,NA,"13217"
"Atlanta",65306,517.16934389542,126.275852911355,14.7762669684406,7.58666510723914,35,-0.000256574100622854,0.77035915434305,0.393721397140693,NA,NA,"13255"
"Atlanta",24090,487.240541519924,49.441698600967,34.8028958228517,34.89598257225,14,NA,NA,0.411839470155195,NA,NA,"13035"
"Atlanta",228383,640.192543405307,356.741112267861,5.92770873523432,4.45304898661638,108,-6.77495578887208e-05,0.172672074468182,0.533244783103705,0.280708313923554,0.822840914615101,"13117"
"Boston",796605,310.836427143774,2562.77878149571,0.481170939851043,0.142113728854494,646,-0.000156173500853843,0.189278621788186,0.156997444256822,0.437049305171786,1.82649929399576,"25025"
"Boston",1600842,2190.06377053994,730.956797484177,1.93297773216235,0.639254574801467,1133,-5.46668451329995e-05,0.0957954130385441,0.244978336398231,0.412858834832447,1.81925094428184,"25017"
"Boston",306359,2056.06327823136,149.002709811311,11.2970509792932,6.04411228328225,182,2.77749091691776e-05,0.0425420337317737,0.417867235285827,0.239552091229689,0.899825483870065,"33015"
"Boston",783676,2142.17565382741,365.831811504259,3.92339863338353,0.87284627284229,546,1.32504592915659e-05,0.00274760246631199,0.507728388002876,0.336920316254905,0.841111695690171,"25009"
"Boston",129124,989.092891273438,130.547900140861,12.8453622243304,5.68968002726828,77,-0.000120393552129077,0.272888980272422,0.315880984465337,NA,NA,"33017"
"Boston",700437,1149.03921592587,609.584938696458,2.42413336693222,1.04511922265229,474,-3.3343622398248e-05,0.036036681687869,0.226059148455541,0.258125922048256,0.671438488371331,"25021"
"Boston",515303,2827.3012708862,182.259671194673,7.85361464135056,3.17021505665883,360,-3.86012591132912e-05,0.0637964973841784,0.334401601496305,0.428196813760045,3.69231097550546,"25023"
"Chicago",33447,1452.11002192164,23.0333786662654,58.0844008768655,24.080961033862,25,NA,NA,0.613269195965441,NA,NA,"18073"
"Chicago",13992,1043.55292260533,13.4080406435619,80.2733017388714,74.4929015252412,13,NA,NA,0.602862747588953,NA,NA,"18111"
"Chicago",485707,1620.75157482985,299.680103689544,4.47721429511007,0.826251370448634,362,-5.08216348010302e-05,0.0560670954171427,0.642063483472878,0.094977699502381,0.185807538588755,"18089"
"Chicago",126054,833.465604916257,151.240794168903,21.3709129465707,2.92498083729103,39,-0.00014604084713276,0.213167697940344,0.786148023003628,NA,NA,"17093"
"Chicago",168524,1949.68416244319,86.4365640580571,15.2319075190874,0.827372712355959,128,-0.000120491053720517,0.295202459436817,0.400891380761922,0.323800174879976,2.22508194009724,"55059"
"Chicago",5198275,4227.62718290808,1229.59636105477,1.0587596250709,0.284560194343156,3993,-4.92948446985509e-05,0.257833289747985,0.427019982080815,0.5924537091561,1.46998032431127,"17031"
"Chicago",104366,1641.30121805283,63.5873530416407,27.3550203008805,1.78390435447407,60,-9.65205580267663e-05,0.252669991281035,0.674144506570963,NA,NA,"17037"
"Chicago",168636,1349.56401007906,124.955910753815,15.6926047683612,4.33581743898356,86,-0.000124979252160444,0.250700991786811,0.59588457714985,0.0169926804177121,0.0686888514657657,"18127"
"Chicago",531376,1355.94510518855,391.88607117403,4.94870476346188,1.09125312082735,274,8.4552259230264e-06,0.00182103110329784,0.695032967265433,0.335088135843001,1.59891169077398,"17089"
"Chicago",50666,1113.3445494648,45.5079247698798,32.7454279254354,4.36786720001809,34,-0.000144412674865394,0.143545556599848,0.764939041321567,NA,NA,"17063"
"Chicago",689315,2196.43075552843,313.834159472129,5.58888232958889,1.30608558297348,393,-4.92437617131712e-05,0.168289224881265,0.48940375100118,0.435414969319561,1.06109368990432,"17197"
"Chicago",929060,869.820558409551,1068.10535922348,1.40975779320835,0.851951401587401,617,-1.60927942251543e-05,0.00873861154397212,0.716083607914195,0.269251979243971,0.778023273420013,"17043"
"Chicago",701473,3538.45342250416,198.242824262914,8.80212294155265,1.46407865564632,402,-2.8873929214163e-05,0.025123740744288,0.640602782274862,0.389690408357075,1.4658874576869,"17097"
"Chicago",307714,1579.64228045707,194.799799807183,9.63196512473824,2.30882444082382,164,-0.00010710229011368,0.252665463672351,0.781018448433033,0.183274324030303,0.197206361763356,"17111"
"Dallas",97175,385.485114218461,252.084961041918,12.849503807282,5.79521766216043,30,-0.000177160984831253,0.216861136924276,0.78013078071531,NA,NA,"48397"
"Dallas",133811,2358.43765651348,56.7371368204046,42.8806846638815,23.8611256787653,55,-0.000131604017056213,0.500203182107137,0.783777537247896,NA,NA,"48367"
"Dallas",123804,2092.96159066544,59.152542766271,35.4739252655159,22.8292534723781,59,-7.73314403485797e-05,0.198122417536817,0.626512297964679,NA,NA,"48257"
"Dallas",167212,1903.43962812167,87.8472831654798,19.6230889497079,7.244064892195,97,-0.000114120202310261,0.176676603555607,0.699793990080627,0.0675390830844897,0.392149988780902,"48251"
"Dallas",2049770,2338.22994694376,876.633199689878,1.98660148423429,0.906825053145365,1177,-3.60882941776268e-05,0.0649458479281455,0.782096451075496,0.354517890201552,0.639143091489457,"48439"
"Dallas",66290,2390.49980245527,27.730602584411,68.2999943558648,50.6407654205579,35,-6.51459162600666e-05,0.166421589649912,0.782952310012935,NA,NA,"48497"
"Dallas",173772,2466.60325957463,70.4499190639873,26.2404602082408,9.00109816077023,94,-9.47969905554634e-05,0.253118696735778,0.610944581976769,0.0615628838265625,0.357077648964405,"48139"
"Dallas",94162,2285.52288431841,41.1993249536336,37.4675882675148,13.1587743944302,61,-7.38092792067895e-05,0.174706623141677,0.650504302976923,NA,NA,"48231"
"Dallas",973977,2296.17742566423,424.173232048152,4.85449772867701,1.01616082092703,473,-0.000110986944614445,0.349818860979193,0.755997981915126,0.263467455153089,0.480842312099167,"48085"
"Dallas",833822,2469.15205157583,337.69568766243,6.53214828459214,1.21987163268717,378,-6.80468252216738e-05,0.104071454243911,0.782422645618458,0.256985440705612,0.821981873999962,"48121"
"Dallas",2606868,2354.62481006839,1107.12670182231,1.41079976636812,0.64413510412509,1669,-3.74053842103611e-05,0.0702149223454082,0.783687669033532,0.364020857391843,0.403177220415407,"48113"
"Houston",765394,2295.86094014153,333.379947634293,10.9849805748398,1.41364685715724,209,-8.89903591571917e-05,0.275043390331407,0.426501834874175,0.350710989259819,1.27874748806184,"48157"
"Houston",51832,1342.67248224757,38.6036063785532,70.6669727498719,57.6418342385905,19,NA,NA,0.258367286483861,NA,NA,"48473"
"Houston",332885,2265.96786882086,146.906319626334,11.6802467464993,1.28854350307382,194,3.52839105355744e-07,4.64146583801391e-06,0.319881471832046,0.144807702768863,0.860268682707647,"48167"
"Houston",4646630,4608.97052190071,1008.17090886573,2.14970640014026,0.833647880504335,2144,-2.78457274798755e-05,0.0923555935456584,0.360652680906555,0.431657839120613,1.91482802531946,"48201"
"Houston",83702,3050.07568264063,27.4425977284387,59.8054055419731,39.5436356976707,51,-5.34783210108609e-05,0.091768967609898,0.658498776019314,NA,NA,"48291"
"Houston",41305,2259.04940165939,18.2842393661951,112.952470082969,45.4274285764483,20,NA,NA,0.39751151672254,NA,NA,"48071"
"Houston",360677,4171.66839859826,86.4586936299139,23.4363393179677,3.2305038277262,178,-1.46994121386861e-05,0.00871636720151942,0.485559235237159,0.26858709043341,0.705899343585062,"48039"
"Houston",29764,1701.97421164277,17.4879265481181,85.0987105821385,92.4034161935733,20,NA,NA,0.319878651642539,NA,NA,"48015"
"Houston",571949,2792.09410660639,204.845889200765,15.0112586376688,8.5240030557574,186,-8.33762775939534e-05,0.3933350797097,0.451875155370644,0.231998232772636,0.75138694516991,"48339"
"Los Angeles",10081570,12308.4217931546,819.079015118487,1.91570767208632,0.320139443627803,6425,-3.52372020874929e-05,0.195721798235423,0.290133504728831,0.516948103230451,2.03601973520546,"06037"
"Los Angeles",3168044,2456.19269192041,1289.81899930783,1.34733554137159,0.498335802972325,1823,-3.70372903978007e-05,0.113999705575556,0.654473050398571,0.528525080459023,1.01761678734547,"06059"
"Miami",1926205,3432.51009551463,561.165137581688,3.65160648459003,0.766304616332859,940,-1.61365106074065e-05,0.0164864359325167,0.664744041415113,0.34269473548113,0.42857035359481,"12011"
"Miami",1465027,6183.4870515564,236.925700302267,6.97910502433002,0.949708834048796,886,-2.58614165621636e-05,0.0951707339521756,0.755805353545288,0.399821568542726,1.47248345252653,"12099"
