"day","empirical","exp"
2020-02-10,613723,84468.3458349606
2020-02-10,15134,42618.1977506058
2020-02-10,130079,125725.391329183
2020-02-10,10633,40005.6983978889
2020-02-10,74415,127703.227618958
2020-02-10,23236,66293.5302248687
2020-02-10,99943,108558.257541291
2020-02-10,51725,126993.028081725
2020-02-10,119168,128572.374561756
2020-02-10,4999,30937.0265225504
2020-02-10,73104,118677.664996322
2020-02-10,1767,28263.8946715745
2020-02-10,25420,110020.039351272
2020-02-10,22639,37669.9736952351
2020-02-11,584311,80651.6458376412
2020-02-11,14310,40595.4485986287
2020-02-11,124750,119785.950622795
2020-02-11,10193,38220.3386653284
2020-02-11,70079,121856.549566629
2020-02-11,22271,63260.0105644905
2020-02-11,95991,103417.174759766
2020-02-11,49408,120973.846175023
2020-02-11,113929,122635.222331366
2020-02-11,4726,29431.0902304652
2020-02-11,69383,113132.381616763
2020-02-11,1566,26917.4477550623
2020-02-11,24032,104830.029106834
2020-02-11,21199,36034.4483168618
2020-02-12,586344,81820.0545812893
2020-02-12,14962,41200.9889947226
2020-02-12,125705,120604.830099469
2020-02-12,10485,38451.5638149454
2020-02-12,70566,123112.438147263
2020-02-12,22400,63871.037087575
2020-02-12,97444,104465.126988462
2020-02-12,50892,122211.918018949
2020-02-12,113276,123825.1782622
2020-02-12,4870,29952.9190544198
2020-02-12,70597,113997.221721322
2020-02-12,1593,27320.9791153792
2020-02-12,25072,105769.891861589
2020-02-12,21905,36700.704708905
2020-02-13,585730,81860.554444762
2020-02-13,14740,41618.031438073
2020-02-13,126113,121069.531874693
2020-02-13,10488,38822.8966437626
2020-02-13,72064,123173.895370575
2020-02-13,22923,64388.6509974025
2020-02-13,98208,104461.754263366
2020-02-13,51343,122424.741436373
2020-02-13,115514,123489.745463184
2020-02-13,4605,29244.7542302651
2020-02-13,67816,113935.561578577
2020-02-13,1549,26882.5150367248
2020-02-13,22634,105375.874033091
2020-02-13,22070,36895.0503498207
2020-02-14,613052,88940.8257292116
2020-02-14,15808,44943.62027452
2020-02-14,137292,129169.46016139
2020-02-14,11364,42213.8251116768
2020-02-14,76841,131627.306037033
2020-02-14,25168,69993.365520021
2020-02-14,102767,111082.811713626
2020-02-14,54405,130206.364645609
2020-02-14,124843,132024.313751899
2020-02-14,5153,31883.3959373904
2020-02-14,72723,121793.174184035
2020-02-14,1736,29091.8985728162
2020-02-14,26336,112095.589719235
2020-02-14,23704,39371.6560071419
2020-02-15,554739,81169.6735020073
2020-02-15,14149,40816.2947372407
2020-02-15,125826,117344.907259783
2020-02-15,10101,38565.9439901413
2020-02-15,69370,119597.770119826
2020-02-15,22869,63861.9384990771
2020-02-15,94279,100695.914005831
2020-02-15,48861,118240.618321874
2020-02-15,114272,120013.267675662
2020-02-15,4736,28973.2814333428
2020-02-15,66107,110661.890283442
2020-02-15,1595,26502.1309401396
2020-02-15,23415,101812.205234745
2020-02-15,21024,35877.821811169
2020-02-16,514505,75381.9786240816
2020-02-16,13189,37905.6806785367
2020-02-16,117441,108776.218572567
2020-02-16,9386,35692.4934583414
2020-02-16,64336,111095.170672302
2020-02-16,20966,59307.7664952859
2020-02-16,87442,93461.1092822106
2020-02-16,45762,109676.981500113
2020-02-16,105508,111379.2536987
2020-02-16,4346,26849.8506112563
2020-02-16,60898,102649.64001083
