"day","empirical","exp"
2020-02-10,65915,53097.6620423027
2020-02-10,12872,36154.3291254768
2020-02-10,63120,72648.6631969092
2020-02-10,70810,67273.9002370664
2020-02-10,47056,86951.708551293
2020-02-10,8459,38827.2052150492
2020-02-10,86581,75095.1433861394
2020-02-10,59300,62464.02508292
2020-02-10,69095,95799.9996980555
2020-02-10,103274,84606.5178515032
2020-02-10,161976,92160.0807936007
2020-02-11,62187,51176.3003057915
2020-02-11,11885,34693.6699981271
2020-02-11,61140,70023.7168049826
2020-02-11,68401,64727.1452805297
2020-02-11,45612,83395.3057222295
2020-02-11,8129,37233.6075845271
2020-02-11,84313,72416.5631622807
2020-02-11,57040,60132.8286632844
2020-02-11,66423,92152.5416515286
2020-02-11,100619,81405.9038513923
2020-02-11,154125,89446.4256816074
2020-02-12,64588,52815.7217057914
2020-02-12,12234,35852.79801856
2020-02-12,62869,72132.594614316
2020-02-12,70430,66667.0139614058
2020-02-12,47140,86036.6297654815
2020-02-12,8261,38495.3221728673
2020-02-12,87049,74452.2315719264
2020-02-12,58840,62038.3273084748
2020-02-12,69009,94916.0649358129
2020-02-12,103075,84003.4128540604
2020-02-12,158620,92186.384825354
2020-02-13,63936,52938.0805385682
2020-02-13,12235,35887.062402373
2020-02-13,63493,71973.4949925704
2020-02-13,70928,66411.5777529251
2020-02-13,47389,85633.6544477132
2020-02-13,8266,38447.0688633014
2020-02-13,87905,74339.1828854777
2020-02-13,58980,62152.7073610524
2020-02-13,68766,94726.3599548209
2020-02-13,104089,83742.2981969712
2020-02-13,155367,92974.0911761266
2020-02-14,67278,55114.7012958564
2020-02-14,13340,37467.5338525211
2020-02-14,65074,74810.3889310329
2020-02-14,73493,68799.084522895
2020-02-14,49207,89038.2807886262
2020-02-14,8488,40100.0313171803
2020-02-14,92083,76827.2469950561
2020-02-14,61705,64655.3411209093
2020-02-14,71569,98404.3570976712
2020-02-14,107124,87218.0351608055
2020-02-14,161445,96330.9691041135
2020-02-15,58745,49176.0660381877
2020-02-15,11867,33217.7096112705
2020-02-15,59911,66300.3653383294
2020-02-15,65270,61230.1724501012
2020-02-15,44403,78632.531780503
2020-02-15,7737,35604.870904817
2020-02-15,83233,68419.128158915
2020-02-15,54357,57667.4379816669
2020-02-15,63484,87223.8384251446
2020-02-15,96407,77262.4259830056
2020-02-15,139546,86908.4344607742
2020-02-16,54599,46014.1290137876
2020-02-16,10995,31201.1018978718
2020-02-16,55815,61396.2915308289
2020-02-16,60498,56672.0748616629
2020-02-16,41354,72860.6645409326
2020-02-16,6992,33146.215195728
2020-02-16,77835,63632.7833764579
2020-02-16,51567,54018.719634374
2020-02-16,59414,81285.9319127699
2020-02-16,91319,71825.1558976562
2020-02-16,127322,81446.951847378
2020-03-30,40564,31347.1113396549
2020-03-30,8948,21528.6248734589
2020-03-30,37536,42177.0873807314
2020-03-30,40741,39312.2626496191
2020-03-30,28102,50848.2084646203
2020-03-30,5366,23170.7435237202
2020-03-30,51607,43382.958583461
2020-03-30,34923,36788.2602070197
2020-03-30,40022,56013.7404242915
2020-03-30,58643,49468.4060915776
2020-03-30,93112,53872.953449194
2020-03-31,37808,29993.578210319
2020-03-31,7874,20489.862887816
2020-03-31,36187,40484.0275751399
2020-03-31,39040,37715.9895444294
2020-03-31,27069,48530.5422689512
2020-03-31,5054,22039.2596784206
2020-03-31,49747,41661.335712484
2020-03-31,33541,35026.9051728835
2020-03-31,38412,53563.5883458047
2020-03-31,56427,47444.9774199771
2020-03-31,88893,51843.2010821217
2020-04-01,44891,34943.9245057191
2020-04-01,9353,23765.3755968582
2020-04-01,42291,48486.3793499661
2020-04-01,46675,45009.1426099106
2020-04-01,30682,58212.5205242341
2020-04-01,5881,25834.8743951723
2020-04-01,57578,49680.7267428679
2020-04-01,38184,41158.1618828569
2020-04-01,45801,63300.5375775085
2020-04-01,65389,56419.8494645685
2020-04-01,110757,60260.2574946146
2020-04-02,44728,34433.3285813274
2020-04-02,9515,23506.0645171668
2020-04-02,41647,47792.4798142514
2020-04-02,46131,44281.1399344824
2020-04-02,30172,57391.7967154593
2020-04-02,5921,25535.6664938835
2020-04-02,57140,48900.3902770347
2020-04-02,37552,40704.9397918891
2020-04-02,44814,62440.5327776299
2020-04-02,64671,55541.6480903416
2020-04-02,108625,59488.1338998154
2020-04-03,45051,35176.6086231795
2020-04-03,9814,23916.0152835236
2020-04-03,42690,48820.4054850592
2020-04-03,47432,45172.9226675266
2020-04-03,31056,58392.0706818365
2020-04-03,5913,26023.1572598964
2020-04-03,58628,49880.0946148091
2020-04-03,38381,41438.2383675408
2020-04-03,45394,63646.975626243
2020-04-03,66036,56630.4977247809
2020-04-03,110116,60923.017290014
2020-04-04,42843,33421.2146472244
2020-04-04,9185,22931.092399784
2020-04-04,40981,45867.0282795735
2020-04-04,44962,42472.6565279793
2020-04-04,29532,54896.2890863221
2020-04-04,5668,24695.962903672
2020-04-04,55926,47119.0382565559
2020-04-04,37109,39429.8137985407
2020-04-04,42476,60308.5551606722
2020-04-04,63796,53312.5551283774
2020-04-04,101085,58258.6343777954
2020-04-05,39074,31183.208237318
2020-04-05,8822,21240.0657840298
2020-04-05,38366,42466.5228459944
2020-04-05,41561,39347.356344087
2020-04-05,27530,50709.6620901339
2020-04-05,5191,22846.4720484027
2020-04-05,52302,43704.7301080122
2020-04-05,34552,36674.8100897596
2020-04-05,39601,55837.4318154538
2020-04-05,59552,49455.5094721318
2020-04-05,92484,54396.9271421426
