"day","empirical","exp"
2020-02-10,0,0
2020-02-10,0,0
2020-02-10,0,0
2020-02-10,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-11,0,0
2020-02-11,0,0
2020-02-11,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-12,0,0
2020-02-12,0,0
2020-02-12,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-13,0,0
2020-02-13,0,0
2020-02-13,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-14,0,0
2020-02-14,0,0
2020-02-14,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-15,0,0
2020-02-15,0,0
2020-02-15,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-16,0,0
2020-02-16,0,0
2020-02-16,0,0
2020-02-16,0,0
2020-03-30,0,0
2020-03-30,0,0
2020-03-30,0,0
2020-03-30,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-03-31,0,0
2020-03-31,0,0
2020-03-31,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-01,0,0
2020-04-01,0,0
2020-04-01,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-02,0,0
2020-04-02,0,0
2020-04-02,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-03,0,0
2020-04-03,0,0
2020-04-03,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-04,0,0
2020-04-04,0,0
2020-04-04,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-05,0,0
2020-04-05,0,0
2020-04-05,0,0
2020-04-05,0,0
