"msa","lag","rho","error","index","event"
"Houston",28,0.00027637758693084,1408.58595811851,"homo","Hurricane_Harvey"
"Houston",28,4.99994163423768,11282.6162202344,"power","Hurricane_Harvey"
"Houston",28,0.424088886628839,1193.97814944471,"exp","Hurricane_Harvey"
"Jacksonville",15,0.0012160847660558,1110.768468729,"homo","Hurricane_Dorian"
"Jacksonville",15,4.9999440954777,10524.7947453173,"power","Hurricane_Dorian"
"Jacksonville",15,0.417809259340144,1050.40767649215,"exp","Hurricane_Dorian"
"Houston",28,0.00027637758693084,1408.58595811851,"homo","Storm_Texas"
"Houston",28,4.99994163423768,11282.6162202344,"power","Storm_Texas"
"Houston",28,0.424088886628839,1193.97814944471,"exp","Storm_Texas"
"Santa Rosa-Petaluma",13,0.00243261122113437,428.781837425329,"homo","Fire_Kincade"
"Santa Rosa-Petaluma",13,4.99994845137753,4738.38993371142,"power","Fire_Kincade"
"Santa Rosa-Petaluma",13,0.442165684261744,381.620891243484,"exp","Fire_Kincade"
