"msa","empirical","homo","power","exp"
"Santa Rosa-Petaluma",1626,1211.7955493632,9699.6546759567,1228.37114428661
"Santa Rosa-Petaluma",1908,1211.10955299884,5120.827833164,713.382363393931
"Santa Rosa-Petaluma",4038,1205.92809109783,6188.20062206474,680.129913214129
"Santa Rosa-Petaluma",1372,1212.41343261337,5080.97944939723,569.674317762139
"Santa Rosa-Petaluma",1019,1213.27214437443,6448.30784687409,777.1506122256
"Santa Rosa-Petaluma",1681,1211.66175574604,4452.74234298856,562.56426550328
"Santa Rosa-Petaluma",1707,1211.59850785429,11461.6106628909,1419.61273949917
"Santa Rosa-Petaluma",0,1215.75097520877,3492.2814358752,425.28130239482
"Santa Rosa-Petaluma",1535,1212.01691698432,9263.80121885991,1128.94062846013
"Santa Rosa-Petaluma",1161,1212.92671358103,7591.99571965051,958.850675360861
"Santa Rosa-Petaluma",520,1214.48601737378,8687.49425527082,1074.19049674084
"Santa Rosa-Petaluma",1015,1213.28187481931,11733.0056591563,1457.83375715087
"Santa Rosa-Petaluma",830,1213.73190789522,6972.13172209472,889.348661653851
"Santa Rosa-Petaluma",2300,1210.15596940016,8145.01103084721,1016.99054706815
"Santa Rosa-Petaluma",1146,1212.96320274935,17409.5532535277,2024.59951114264
"Santa Rosa-Petaluma",2056,1210.74952653811,16185.0401083418,1848.90810492119
"Santa Rosa-Petaluma",1144,1212.96806797179,6273.72057029099,858.247222512915
"Santa Rosa-Petaluma",704,1214.03841690909,16654.3605090731,2030.43542790885
"Santa Rosa-Petaluma",892,1213.58108599951,5476.97412709981,769.513722987451
"Santa Rosa-Petaluma",824,1213.74650356255,9887.30897083979,1216.06281873561
"Santa Rosa-Petaluma",1102,1213.07023764308,4995.49607186082,616.467676710487
"Santa Rosa-Petaluma",686,1214.08220391107,5302.48163018839,704.688615668044
"Santa Rosa-Petaluma",762,1213.89732545826,9100.47130336484,1170.27009684292
"Santa Rosa-Petaluma",3209,1207.94472580015,16299.3873407843,2001.08442453471
"Santa Rosa-Petaluma",1617,1211.81744286419,12817.6032848732,1498.82845120962
"Santa Rosa-Petaluma",706,1214.03355168664,8450.29423650553,961.825727939677
"Santa Rosa-Petaluma",1220,1212.78318951898,4049.42405080919,480.478770540944
"Santa Rosa-Petaluma",803,1213.79758839819,6217.20294862374,745.927705589308
"Santa Rosa-Petaluma",1291,1212.61047412228,5497.67196549278,672.780043636693
"Santa Rosa-Petaluma",874,1213.62487300149,6598.68538254787,738.315407819102
"Santa Rosa-Petaluma",1018,1213.27457698565,9061.88458982959,1089.27617105322
"Santa Rosa-Petaluma",1924,1211.0706312193,14044.4326077175,1746.39874545709
"Santa Rosa-Petaluma",2071,1210.7130373698,8511.93044404337,1035.31711334381
"Santa Rosa-Petaluma",1530,1212.02908004043,5384.49742837109,728.930289602286
"Santa Rosa-Petaluma",623,1214.235458418,12789.0212342024,1502.9791915883
"Santa Rosa-Petaluma",1524,1212.04367570776,11035.9539652225,1374.72543709594
"Santa Rosa-Petaluma",968,1213.39620754671,7247.00383513587,944.875295667402
"Santa Rosa-Petaluma",2786,1208.97372034669,14523.8323897091,1710.66891323354
"Santa Rosa-Petaluma",1140,1212.97779841667,13265.759479044,1556.67787688916
"Santa Rosa-Petaluma",668,1214.12599091305,13408.2007953913,1586.14889593414
"Santa Rosa-Petaluma",1184,1212.87076352294,8164.54623777245,1060.09785662827
"Santa Rosa-Petaluma",942,1213.45945543846,8865.42340367142,1095.53291810577
