"day","empirical","homo","power","exp","err_tag"
2019-08-26,168,207.908132673968,2263,280.659739655953,"rmse"
2019-08-26,1,208.141960714999,1414,271.355849171981,"rmse"
2019-08-26,303,207.719110006069,1667,240.397315260842,"rmse"
2019-08-26,306,207.714909502338,3501,433.105154088731,"rmse"
2019-08-26,92,208.014545435156,1867,261.233623972452,"rmse"
2019-08-26,150,207.933335696355,1104,152.456040271703,"rmse"
2019-08-26,170,207.905332338148,836,134.912139962384,"rmse"
2019-08-26,357,207.64350093891,3701,454.375825608141,"rmse"
2019-08-26,116,207.980941405307,587,125.983959667001,"rmse"
2019-08-26,50,208.073352487391,751,126.609452982513,"rmse"
2019-08-26,60,208.059350808288,547,112.576696909286,"rmse"
2019-08-26,18,208.118157860523,2173,300.695900546374,"rmse"
2019-08-26,48,208.076152823212,320,77.6401313207313,"rmse"
2019-08-26,128,207.964139390383,858,149.978899434018,"rmse"
2019-08-26,30,208.101355845599,1690,241.591362437041,"rmse"
2019-08-26,249,207.794719073229,1107,178.390795093734,"rmse"
2019-08-26,2026,205.306620696514,4932,598.791139844418,"rmse"
2019-08-26,92,208.014545435156,1818,279.798327437388,"rmse"
2019-08-26,185,207.884329819492,4606,658.781081558926,"rmse"
2019-08-26,27,208.10555634933,1022,201.759306364511,"rmse"
2019-08-26,116,207.980941405307,923,191.675205168238,"rmse"
2019-08-26,84,208.025746778439,786,142.169095605712,"rmse"
2019-08-26,213,207.845125118002,4732,595.464865304596,"rmse"
2019-08-26,196,207.868927972478,3390,414.871299071404,"rmse"
2019-08-26,462,207.496483308322,2870,397.936689546082,"rmse"
2019-08-26,127,207.965539558293,1252,178.438345742762,"rmse"
2019-08-26,60,208.059350808288,1066,148.4033191263,"rmse"
2019-08-26,33,208.097155341867,521,70.3185814346785,"rmse"
2019-08-26,251,207.791918737408,937,117.842378350843,"rmse"
2019-08-26,21,208.113957356792,507,78.6342428277398,"rmse"
2019-08-26,170,207.905332338148,1801,219.515966564058,"rmse"
2019-08-26,139,207.948737543369,523,69.4718457019586,"rmse"
2019-08-26,54,208.06775181575,774,101.745247233016,"rmse"
2019-08-26,190,207.877328979941,877,128.278774440626,"rmse"
2019-08-26,205,207.856326461285,2421,280.82717122828,"rmse"
2019-08-26,50,208.073352487391,913,119.812131723985,"rmse"
2019-08-26,156,207.924934688893,936,138.001412064388,"rmse"
2019-08-26,834,206.975620845667,3623,486.817202614861,"rmse"
2019-08-26,69,208.046749297094,3649,482.011621858612,"rmse"
2019-08-26,1619,205.876489036032,5125,628.337178189124,"rmse"
2019-08-26,106,207.994943084411,328,41.9828979425397,"rmse"
2019-08-26,711,207.147841498641,5913,816.191328431732,"rmse"
2019-08-26,42,208.084553830674,769,105.451533011449,"rmse"
2019-08-26,94,208.011745099335,913,122.689889319718,"rmse"
2019-08-26,61,208.057950640377,241,39.7325698649556,"rmse"
2019-08-26,78,208.034147785901,483,66.4761737300133,"rmse"
2019-08-26,27,208.10555634933,411,60.5375984955875,"rmse"
2019-08-26,83,208.027146946349,1564,205.017768260716,"rmse"
2019-08-26,176,207.896931330686,1502,194.276978815293,"rmse"
2019-08-26,168,207.908132673968,1547,186.44915753231,"rmse"
2019-08-26,166,207.910933009789,930,123.2134902775,"rmse"
2019-08-26,41,208.085953998585,1595,209.395135794653,"rmse"
2019-08-26,152,207.930535360534,2120,324.747355084287,"rmse"
2019-08-26,88,208.020146106798,367,67.4276153188006,"rmse"
2019-08-26,55,208.066351647839,280,48.2511922340592,"rmse"
2019-08-26,54,208.06775181575,474,67.9983923326567,"rmse"
2019-08-26,59,208.060750976198,528,113.305227127391,"rmse"
2019-08-26,224,207.829723270988,2423,284.334790943449,"rmse"
2019-08-26,441,207.525886834439,1138,158.105401170389,"rmse"
2019-08-26,609,207.290658625498,2010,255.437920954305,"rmse"
2019-08-26,551,207.371868364299,1506,187.169725638231,"rmse"
2019-08-26,121,207.973940565756,1061,134.952301090655,"rmse"
2019-08-26,65,208.052349968736,637,86.712523958236,"rmse"
2019-08-26,106,207.994943084411,767,106.768031866917,"rmse"
2019-08-26,205,207.856326461285,1670,270.648420242092,"rmse"
2019-08-26,184,207.885729987403,795,140.750782457206,"rmse"
2019-08-26,307,207.713509334428,2147,274.507434064199,"rmse"
2019-08-26,27,208.10555634933,827,103.316335921238,"rmse"
2019-08-26,158,207.922134353072,960,144.016789096675,"rmse"
2019-08-26,37,208.091554670226,792,141.921396317916,"rmse"
2019-08-26,219,207.83672411054,1657,257.088413975814,"rmse"
2019-08-26,418,207.558090696378,2088,263.758531245622,"rmse"
2019-08-26,169,207.906732506058,830,129.913082917171,"rmse"
2019-08-26,129,207.962739222473,401,95.0744509127441,"rmse"
2019-08-26,37,208.091554670226,1857,241.475849878995,"rmse"
2019-08-26,13,208.125158700075,933,147.608413630001,"rmse"
2019-08-26,119,207.976740901576,1145,163.556098093085,"rmse"
2019-08-26,54,208.06775181575,518,95.2762444623414,"rmse"
2019-08-26,132,207.958538718742,573,83.0099349916598,"rmse"
2019-08-26,402,207.580493382944,2768,357.64148866095,"rmse"
2019-08-26,416,207.560891032198,1939,292.483768891953,"rmse"
2019-08-26,78,208.034147785901,1325,172.390079726258,"rmse"
2019-08-26,323,207.691106647862,938,138.04031257964,"rmse"
2019-08-26,42,208.084553830674,1230,168.480924805778,"rmse"
2019-08-26,337,207.671504297117,1589,198.245192308313,"rmse"
2019-08-26,73,208.041148625453,611,87.7186434398719,"rmse"
2019-08-26,41,208.085953998585,1057,151.366778284475,"rmse"
2019-08-26,148,207.936136032176,1367,171.614348340159,"rmse"
2019-08-26,24,208.109756853061,189,43.5171527468487,"rmse"
2019-08-26,76,208.036948121722,1708,254.602755124655,"rmse"
2019-08-26,707,207.153442170283,3900,460.594435077949,"rmse"
2019-08-26,398,207.586094054585,2401,303.136511687792,"rmse"
2019-08-26,175,207.898331498596,2817,350.529786271759,"rmse"
2019-08-26,107,207.993542916501,421,86.8468235647598,"rmse"
2019-08-26,167,207.909532841879,557,87.8423629121846,"rmse"
2019-08-26,85,208.024346610529,872,124.310177221414,"rmse"
2019-08-26,110,207.98934241277,508,71.8043483659772,"rmse"
2019-08-26,40,208.087354166495,736,105.447027053554,"rmse"
2019-08-26,64,208.053750136646,1707,211.497776518834,"rmse"
2019-08-26,67,208.049549632915,991,153.026097133211,"rmse"
2019-08-26,48,208.076152823212,1138,170.64907206749,"rmse"
2019-08-26,56,208.064951479929,1596,247.714463264767,"rmse"
2019-08-26,159,207.920734185162,819,108.830241103658,"rmse"
2019-08-26,87,208.021546274708,452,78.400711010349,"rmse"
2019-08-26,101,208.001943923963,794,109.573838357641,"rmse"
2019-08-26,166,207.910933009789,712,85.2417424752124,"rmse"
2019-08-26,15,208.122358364254,154,31.5284612237725,"rmse"
2019-08-26,56,208.064951479929,592,117.159600368084,"rmse"
2019-08-26,35,208.094355006047,1049,137.661009826036,"rmse"
2019-08-26,180,207.891330659044,1320,162.705334132485,"rmse"
2019-08-26,91,208.015945603066,408,76.2463947227761,"rmse"
2019-08-26,257,207.783517729946,932,118.830363186159,"rmse"
2019-08-26,42,208.084553830674,1149,156.04439952089,"rmse"
2019-08-26,67,208.049549632915,895,122.091730944513,"rmse"
2019-08-26,58,208.062151144108,581,89.7912641112185,"rmse"
2019-08-26,151,207.931935528445,1894,220.380583361425,"rmse"
2019-08-26,168,207.908132673968,866,113.814307424829,"rmse"
2019-08-26,158,207.922134353072,707,94.8849139939826,"rmse"
2019-08-26,69,208.046749297094,681,96.202758592274,"rmse"
2019-08-26,14,208.123758532164,429,67.0993494507709,"rmse"
2019-08-26,28,208.104156181419,392,57.364121999068,"rmse"
2019-08-26,94,208.011745099335,496,61.6294460801432,"rmse"
2019-08-26,260,207.779317226215,566,71.5055892850772,"rmse"
2019-08-26,82,208.02854711426,635,81.4481056049781,"rmse"
2019-08-26,59,208.060750976198,428,56.8748240604728,"rmse"
2019-08-26,26,208.10695651724,1211,158.119793412313,"rmse"
2019-08-26,240,207.807320584422,881,120.143225761056,"rmse"
2019-08-26,138,207.950137711279,748,108.377647692699,"rmse"
2019-08-26,96,208.008944763515,636,93.1182268346392,"rmse"
