"day","empirical","homo","power","exp","err_tag"
2017-08-18,92,13.9803211626559,407,3.31613422492481,"srmspe"
2017-08-18,31,13.9850809123387,194,1.59648730837425,"srmspe"
2017-08-18,53,13.9833642813056,290,2.3465157632981,"srmspe"
2017-08-18,42,13.9842225968222,157,1.27646896353058,"srmspe"
2017-08-18,68,13.9821938510557,302,2.45193708672347,"srmspe"
2017-08-18,25,13.9855490844387,382,3.11330317032294,"srmspe"
2017-08-18,81,13.9811794781725,380,3.12128237310102,"srmspe"
2017-08-18,56,13.9831301952556,421,3.42176241176543,"srmspe"
2017-08-18,26,13.9854710557554,172,1.41908634262709,"srmspe"
2017-08-18,39,13.9844566828721,337,2.76299701283581,"srmspe"
2017-08-18,50,13.9835983673556,364,2.98037941279566,"srmspe"
2017-08-18,49,13.9836763960389,297,2.44852276750058,"srmspe"
2017-08-18,32,13.9850028836554,138,1.13873024206963,"srmspe"
2017-08-18,13,13.9864854286386,201,1.66669558596995,"srmspe"
2017-08-18,32,13.9850028836554,170,1.40153505696879,"srmspe"
2017-08-18,29,13.9852369697054,215,1.76797290712453,"srmspe"
2017-08-18,25,13.9855490844387,322,2.64503118411699,"srmspe"
2017-08-18,20,13.9859392278553,148,1.21125529011993,"srmspe"
2017-08-18,30,13.9851589410221,49,0.422511149963613,"srmspe"
2017-08-18,29,13.9852369697054,497,4.05056138130626,"srmspe"
2017-08-18,48,13.9837544247222,239,1.9671918632904,"srmspe"
2017-08-18,46,13.9839104820889,405,3.27416583985588,"srmspe"
2017-08-18,112,13.9787605889894,360,2.96613576545875,"srmspe"
2017-08-18,15,13.9863293712719,215,1.7847680431426,"srmspe"
2017-08-18,6,13.9870316294219,534,4.33345606875658,"srmspe"
2017-08-18,43,13.9841445681388,320,2.63517417647963,"srmspe"
2017-08-18,30,13.9851589410221,171,1.4270191443956,"srmspe"
2017-08-18,4,13.9871876867885,263,2.14193904501781,"srmspe"
2017-08-18,36,13.9846907689221,49,0.422913760216502,"srmspe"
2017-08-18,31,13.9850809123387,180,1.47529811591844,"srmspe"
2017-08-18,7,13.9869536007385,509,4.17313651608348,"srmspe"
2017-08-18,17,13.9861733139053,172,1.42378611611947,"srmspe"
2017-08-18,57,13.9830521665723,337,2.80305061393513,"srmspe"
2017-08-18,24,13.985627113122,448,3.70591403312618,"srmspe"
2017-08-18,64,13.982505965789,354,2.88538900196105,"srmspe"
2017-08-18,25,13.9855490844387,295,2.41965433740467,"srmspe"
2017-08-18,57,13.9830521665723,558,4.56307687115051,"srmspe"
2017-08-18,47,13.9838324534055,298,2.44015928195782,"srmspe"
2017-08-18,59,13.9828961092056,363,2.95809460032118,"srmspe"
2017-08-18,32,13.9850028836554,462,3.77269470727589,"srmspe"
2017-08-18,27,13.985393027072,216,1.78765673371109,"srmspe"
2017-08-18,163,13.9747811261398,882,7.2112129473016,"srmspe"
2017-08-18,55,13.9832082239389,503,4.22025585760313,"srmspe"
2017-08-18,28,13.9853149983887,284,2.36758520379531,"srmspe"
2017-08-18,268,13.9665881143907,865,7.08759109748723,"srmspe"
2017-08-18,28,13.9853149983887,192,1.59146865762286,"srmspe"
2017-08-18,174,13.9739228106233,198,1.68489594873407,"srmspe"
2017-08-18,122,13.9779803021562,748,6.28467760884923,"srmspe"
2017-08-18,52,13.9834423099889,197,1.62978650174337,"srmspe"
2017-08-18,43,13.9841445681388,489,4.00001060954145,"srmspe"
2017-08-18,115,13.9785265029394,2505,20.3395172479421,"srmspe"
2017-08-18,27,13.985393027072,655,5.37552066547584,"srmspe"
2017-08-18,337,13.9612041352413,1518,12.3754438988707,"srmspe"
2017-08-18,189,13.9727523803734,1018,8.35710449694873,"srmspe"
2017-08-18,216,13.9706456059236,785,6.4766931725148,"srmspe"
2017-08-18,35,13.9847687976054,1577,12.8450773438261,"srmspe"
2017-08-18,70,13.9820377936891,304,2.4898957870954,"srmspe"
2017-08-18,154,13.9754833842898,1756,14.3022978356425,"srmspe"
2017-08-18,42,13.9842225968222,269,2.23332385630004,"srmspe"
2017-08-18,81,13.9811794781725,767,6.25818976389724,"srmspe"
2017-08-18,20,13.9859392278553,141,1.19962254850287,"srmspe"
2017-08-18,30,13.9851589410221,134,1.17019407331722,"srmspe"
2017-08-18,42,13.9842225968222,290,2.37869495883343,"srmspe"
2017-08-18,17,13.9861733139053,114,0.942291485928369,"srmspe"
2017-08-18,22,13.9857831704887,202,1.64896430177781,"srmspe"
2017-08-18,21,13.985861199172,137,1.13390160144767,"srmspe"
