"day","lag","rho","error","index","err_tag"
2019-10-08,13,0.00259426084153923,103.367435352933,"homo","rmse"
2019-10-09,13,0.00259613792508748,76.7028917184059,"homo","rmse"
2019-10-10,13,0.00259630891058603,77.1648867155466,"homo","rmse"
2019-10-11,13,0.00259619623159675,82.7347139283724,"homo","rmse"
2019-10-12,13,0.00259641574870274,73.8131901525813,"homo","rmse"
2019-10-13,13,0.00259644344561003,68.1557143147941,"homo","rmse"
2019-10-14,13,0.00259624714652878,76.4836688890164,"homo","rmse"
2019-10-15,13,0.00259724831993383,80.2230585815676,"homo","rmse"
2019-10-16,13,0.00259747267645079,82.040756034861,"homo","rmse"
2019-10-17,13,0.00259745461566432,81.9538958231726,"homo","rmse"
2019-10-18,13,0.00259683759719385,86.5766304191286,"homo","rmse"
2019-10-19,13,0.00259743726836733,76.9273287953561,"homo","rmse"
2019-10-20,13,0.00259704759059957,71.7808610359058,"homo","rmse"
2019-10-21,13,0.00259684329845527,80.8871824564923,"homo","rmse"
2019-10-22,13,0.00259738787771002,81.3934796987525,"homo","rmse"
2019-10-23,13,0.00259710399754272,84.3006740772683,"homo","rmse"
2019-10-24,13,0.00259659737618508,83.3068215045529,"homo","rmse"
2019-10-25,13,0.0025969154382916,84.1152475223655,"homo","rmse"
2019-10-26,13,0.0025964549520249,72.6460594860807,"homo","rmse"
2019-10-27,13,0.00259680687881195,55.7642884659685,"homo","rmse"
2019-10-28,13,0.00259672782824357,55.4186200427931,"homo","rmse"
2019-10-29,13,0.00259673287486447,58.1118119757585,"homo","rmse"
2019-10-30,13,0.00259715268662233,61.2497064750988,"homo","rmse"
2019-10-31,13,0.00259743334426576,70.0562740675216,"homo","rmse"
2019-11-01,13,0.00259726107987215,72.1000556008177,"homo","rmse"
2019-11-02,13,0.00259718280026904,69.8420788101702,"homo","rmse"
2019-11-03,13,0.00259728789995609,71.5508049229878,"homo","rmse"
2019-11-04,13,0.00259679935033853,80.3277391047249,"homo","rmse"
2019-11-05,13,0.00259746810133079,78.0170623484193,"homo","rmse"
2019-11-06,13,0.00259751142703423,79.2721828104783,"homo","rmse"
2019-11-07,13,0.00259747970461882,79.960202854847,"homo","rmse"
2019-11-08,13,0.00259709461088993,83.5373645610802,"homo","rmse"
2019-11-09,13,0.00259690659194731,78.6250061105213,"homo","rmse"
2019-11-10,13,0.00259678939162318,76.103819833881,"homo","rmse"
2019-11-11,13,0.00259695007692976,79.5543786351399,"homo","rmse"
2019-11-12,13,0.00259753451140388,83.8446183733123,"homo","rmse"
2019-11-13,13,0.00259743637237658,84.2327242965701,"homo","rmse"
2019-11-14,13,0.00259735403188716,83.1023826831287,"homo","rmse"
