"day","case","new_case","msa"
2020-01-21,0,0,"Atlanta"
2020-01-22,0,0,"Atlanta"
2020-01-23,0,0,"Atlanta"
2020-01-24,0,0,"Atlanta"
2020-01-25,0,0,"Atlanta"
2020-01-26,0,0,"Atlanta"
2020-01-27,0,0,"Atlanta"
2020-01-28,0,0,"Atlanta"
2020-01-29,0,0,"Atlanta"
2020-01-30,0,0,"Atlanta"
2020-01-31,0,0,"Atlanta"
2020-02-01,0,0,"Atlanta"
2020-02-02,0,0,"Atlanta"
2020-02-03,0,0,"Atlanta"
2020-02-04,0,0,"Atlanta"
2020-02-05,0,0,"Atlanta"
2020-02-06,0,0,"Atlanta"
2020-02-07,0,0,"Atlanta"
2020-02-08,0,0,"Atlanta"
2020-02-09,0,0,"Atlanta"
2020-02-10,0,0,"Atlanta"
2020-02-11,0,0,"Atlanta"
2020-02-12,0,0,"Atlanta"
2020-02-13,0,0,"Atlanta"
2020-02-14,0,0,"Atlanta"
2020-02-15,0,0,"Atlanta"
2020-02-16,0,0,"Atlanta"
2020-03-30,1947,285,"Atlanta"
2020-03-31,2407,460,"Atlanta"
2020-04-01,2558,151,"Atlanta"
2020-04-02,2927,369,"Atlanta"
2020-04-03,3476,549,"Atlanta"
2020-04-04,3798,322,"Atlanta"
2020-04-05,3881,83,"Atlanta"
2020-04-06,4295,414,"Atlanta"
2020-04-07,4813,518,"Atlanta"
2020-04-08,5104,291,"Atlanta"
2020-04-09,5397,293,"Atlanta"
2020-04-10,5754,357,"Atlanta"
2020-04-11,5918,164,"Atlanta"
2020-04-12,6157,239,"Atlanta"
2020-04-13,6764,607,"Atlanta"
2020-04-14,7402,638,"Atlanta"
2020-04-15,7849,447,"Atlanta"
2020-04-16,8165,316,"Atlanta"
2020-04-17,8732,567,"Atlanta"
2020-04-18,8923,191,"Atlanta"
2020-04-19,9292,369,"Atlanta"
2020-04-20,9688,396,"Atlanta"
2020-04-21,9888,200,"Atlanta"
2020-04-22,10171,283,"Atlanta"
2020-04-23,10786,615,"Atlanta"
2020-04-24,11054,268,"Atlanta"
2020-04-25,11393,339,"Atlanta"
2020-04-26,11510,117,"Atlanta"
2020-04-27,11919,409,"Atlanta"
2020-04-28,12404,485,"Atlanta"
2020-04-29,12807,403,"Atlanta"
2020-04-30,13092,285,"Atlanta"
