"city","grid_size_km","grid_size_label","period","median_rho","mean_rho","sd_rho","q25_rho","q75_rho"
"cityA",0.5,"0.5 km","Business as usual",0.347578384475945,0.339814562488931,0.0154774425856447,0.335465396562302,0.350306988094318
"cityA",0.5,"0.5 km","Emergency",0.349461746569265,0.339953712860524,0.0178053286605822,0.336534903798656,0.350458117513643
"cityA",1,"1 km","Business as usual",0.406727359898456,0.404986726401121,0.00529936107090147,0.404163403286403,0.407825115526121
"cityA",1,"1 km","Emergency",0.406316122523811,0.405117499299733,0.00449341353125723,0.403786975938903,0.408503192896242
"cityA",2,"2 km","Business as usual",0.414867127715097,0.414300316557435,0.00307131864532291,0.413330607769205,0.415916810188172
"cityA",2,"2 km","Emergency",0.413949712555913,0.414559309441055,0.00232318201470922,0.412765978365985,0.416459187145114
"cityB",0.5,"0.5 km","Business as usual",0.288960321365024,0.288443781811626,0.00839429775988559,0.285108218919332,0.292878985874531
"cityB",0.5,"0.5 km","Emergency",0.29276822973056,0.291833761130608,0.00518544886978347,0.289541411936896,0.294775678875845
"cityB",1,"1 km","Business as usual",0.265073766564772,0.264816967649402,0.0141879233628196,0.253066972834217,0.273548170992728
"cityB",1,"1 km","Emergency",0.265025628060688,0.265708680838408,0.014246068964788,0.255055066657049,0.277635965736696
"cityB",2,"2 km","Business as usual",0.269722377598665,0.260128421483487,0.0428374787289271,0.242542942341628,0.286264841034415
"cityB",2,"2 km","Emergency",0.198395139013003,0.228870438378912,0.0490942614829223,0.186932815890388,0.273373246633917
"cityC",0.5,"0.5 km","Business as usual",0.390239620823413,0.382725552520685,0.0131230771762978,0.373041452271801,0.391804888142349
"cityC",0.5,"0.5 km","Emergency",0.386894550112641,0.380222447511691,0.0128969738845303,0.376164765268352,0.387947227900623
"cityC",1,"1 km","Business as usual",0.394676679344748,0.395973543446377,0.00346073916315471,0.393692835340823,0.398591050250332
"cityC",1,"1 km","Emergency",0.387371338795799,0.386942572443581,0.00996938614461306,0.382271825957643,0.393939901257553
"cityC",2,"2 km","Business as usual",0.399999686736453,0.40161558328179,0.0120980083653806,0.392250379229755,0.411184670195406
"cityC",2,"2 km","Emergency",0.406579644265166,0.403685743447021,0.0139373725290968,0.39761223006957,0.415203116218057
"cityD",0.5,"0.5 km","Business as usual",0.285443260048774,0.285620381852391,0.00182288359704814,0.284517466243992,0.286386828825341
"cityD",0.5,"0.5 km","Emergency",0.290586237188514,0.289833901563881,0.00312876294418031,0.288642567503054,0.291299056181584
"cityD",1,"1 km","Business as usual",0.278483496584375,0.279384060257852,0.00918745183737403,0.273695100343721,0.287657093743682
"cityD",1,"1 km","Emergency",0.271735698494424,0.271346904999094,0.00575229179429971,0.269324935896509,0.275617913510813
"cityD",2,"2 km","Business as usual",0.295785812560136,0.296187380007137,0.0172957149245262,0.282831942465573,0.301191337967544
"cityD",2,"2 km","Emergency",0.275007376644933,0.272820746647311,0.0102181334919982,0.265968275520316,0.278090367246458
