"day","lag","rho","error","index","event","msa","week","period"
2020-02-10,32,0.000232938312041513,179.539048781478,"homo","COVID-19","Atlanta","weekday","before"
2020-02-11,32,0.000263013190218443,172.214291282528,"homo","COVID-19","Atlanta","weekday","before"
2020-02-12,32,0.00028779005354672,176.717709444239,"homo","COVID-19","Atlanta","weekday","before"
2020-02-13,32,0.000276652115545573,183.290777121203,"homo","COVID-19","Atlanta","weekday","before"
2020-02-14,32,0.000286592996238056,208.986573789701,"homo","COVID-19","Atlanta","weekday","before"
2020-02-15,32,0.000235246472022328,187.553467176261,"homo","COVID-19","Atlanta","weekend","before"
2020-02-16,32,0.00026122865070075,145.305009747331,"homo","COVID-19","Atlanta","weekend","before"
2020-03-30,32,0.000242278683347853,80.4871950936405,"homo","COVID-19","Atlanta","weekday","during"
2020-03-31,32,0.000226787594889106,78.0696451260467,"homo","COVID-19","Atlanta","weekday","during"
2020-04-01,32,0.000255193531243929,90.2463943709525,"homo","COVID-19","Atlanta","weekday","during"
2020-04-02,32,0.000237553917592444,97.1367191119073,"homo","COVID-19","Atlanta","weekday","during"
2020-04-03,32,0.000261559853124673,92.0995337238047,"homo","COVID-19","Atlanta","weekday","during"
2020-04-04,32,0.000244348086661599,72.6571104310837,"homo","COVID-19","Atlanta","weekend","during"
2020-04-05,32,0.000191432622040952,59.9975826747209,"homo","COVID-19","Atlanta","weekend","during"
2020-02-10,32,4.99994022435572,1103.11715842265,"power","COVID-19","Atlanta","weekday","before"
2020-02-11,32,4.99994340735521,1100.76453370966,"power","COVID-19","Atlanta","weekday","before"
2020-02-12,32,4.9999436366488,1135.45798515933,"power","COVID-19","Atlanta","weekday","before"
2020-02-13,32,4.99994344014303,1151.64965344414,"power","COVID-19","Atlanta","weekday","before"
2020-02-14,32,4.99994260628954,1274.228148428,"power","COVID-19","Atlanta","weekday","before"
2020-02-15,32,4.9999383395352,1091.48405171661,"power","COVID-19","Atlanta","weekend","before"
2020-02-16,32,4.99994127982643,886.106198601753,"power","COVID-19","Atlanta","weekend","before"
2020-03-30,32,4.99994134538467,555.462788548785,"power","COVID-19","Atlanta","weekday","during"
2020-03-31,32,4.99994318456965,534.945159113173,"power","COVID-19","Atlanta","weekday","during"
2020-04-01,32,4.99994180688353,609.364362038658,"power","COVID-19","Atlanta","weekday","during"
2020-04-02,32,4.99993987333122,641.210859922172,"power","COVID-19","Atlanta","weekday","during"
2020-04-03,32,4.99994196698893,621.94761598344,"power","COVID-19","Atlanta","weekday","during"
2020-04-04,32,4.99994094404443,497.823509454732,"power","COVID-19","Atlanta","weekend","during"
2020-04-05,32,4.9999404033542,418.79219883606,"power","COVID-19","Atlanta","weekend","during"
2020-02-10,32,0.429754917425516,145.042583179872,"exp","COVID-19","Atlanta","weekday","before"
2020-02-11,32,0.431551390213752,140.754523710505,"exp","COVID-19","Atlanta","weekday","before"
2020-02-12,32,0.434090595150455,144.2046317031,"exp","COVID-19","Atlanta","weekday","before"
