"day","lag","rho","error","index","event","msa","week","period"
2020-02-10,32,0.000294098731009649,217.657221908316,"homo","COVID-19","Atlanta","weekday","before"
2020-02-11,32,0.000345833908830148,192.215743996243,"homo","COVID-19","Atlanta","weekday","before"
2020-02-12,32,0.000346574807408049,197.87534271446,"homo","COVID-19","Atlanta","weekday","before"
2020-02-13,32,0.000346092302694596,204.615427503304,"homo","COVID-19","Atlanta","weekday","before"
2020-02-14,32,0.000339906850349417,229.754100169335,"homo","COVID-19","Atlanta","weekday","before"
2020-02-15,32,0.000283212280477667,221.587701457662,"homo","COVID-19","Atlanta","weekend","before"
2020-02-16,32,0.000337528373404726,171.227256854869,"homo","COVID-19","Atlanta","weekend","before"
2020-03-30,32,0.000331351317859237,113.597187492905,"homo","COVID-19","Atlanta","weekday","during"
2020-03-31,32,0.000339320061379849,107.631731819649,"homo","COVID-19","Atlanta","weekday","during"
2020-04-01,32,0.000342865283719636,126.483855008906,"homo","COVID-19","Atlanta","weekday","during"
2020-04-02,32,0.00030283091224908,143.61368242476,"homo","COVID-19","Atlanta","weekday","during"
2020-04-03,32,0.000342026306642354,127.661472930995,"homo","COVID-19","Atlanta","weekday","during"
2020-04-04,32,0.000340971282404952,111.245199394163,"homo","COVID-19","Atlanta","weekend","during"
2020-04-05,32,0.000328539983469545,104.410908498514,"homo","COVID-19","Atlanta","weekend","during"
2020-02-10,32,4.99994256342885,1554.18823508726,"power","COVID-19","Atlanta","weekday","before"
2020-02-11,32,4.99994842313169,1501.24635594596,"power","COVID-19","Atlanta","weekday","before"
2020-02-12,32,4.99994828402184,1546.03186320461,"power","COVID-19","Atlanta","weekday","before"
2020-02-13,32,4.99994833638882,1568.87121400374,"power","COVID-19","Atlanta","weekday","before"
2020-02-14,32,4.99994717853395,1671.01986395982,"power","COVID-19","Atlanta","weekday","before"
2020-02-15,32,4.99994193890261,1490.16564064533,"power","COVID-19","Atlanta","weekend","before"
2020-02-16,32,4.999947418995,1289.09197767568,"power","COVID-19","Atlanta","weekend","before"
2020-03-30,32,4.99994878407532,971.201749463903,"power","COVID-19","Atlanta","weekday","during"
2020-03-31,32,4.99994989094392,927.364172539502,"power","COVID-19","Atlanta","weekday","during"
2020-04-01,32,4.99994916337297,1089.15569217873,"power","COVID-19","Atlanta","weekday","during"
2020-04-02,32,4.99994413034932,1126.01006861313,"power","COVID-19","Atlanta","weekday","during"
2020-04-03,32,4.99994918537106,1087.7560645669,"power","COVID-19","Atlanta","weekday","during"
2020-04-04,32,4.99994981670215,960.262407254374,"power","COVID-19","Atlanta","weekend","during"
2020-04-05,32,4.99994876899415,881.961408286489,"power","COVID-19","Atlanta","weekend","during"
2020-02-10,32,0.447139545737115,154.810610370959,"exp","COVID-19","Atlanta","weekday","before"
2020-02-11,32,0.449116219585194,146.327845554679,"exp","COVID-19","Atlanta","weekday","before"
2020-02-12,32,0.449314550182947,150.764008129743,"exp","COVID-19","Atlanta","weekday","before"
2020-02-13,32,0.448795678319729,157.725819033155,"exp","COVID-19","Atlanta","weekday","before"
2020-02-14,32,0.448214357913248,177.828899745983,"exp","COVID-19","Atlanta","weekday","before"
2020-02-15,32,0.446341903601039,162.095563635848,"exp","COVID-19","Atlanta","weekend","before"
2020-02-16,32,0.447648176831685,133.446515139464,"exp","COVID-19","Atlanta","weekend","before"
2020-03-30,32,0.450118427289331,79.827969963737,"exp","COVID-19","Atlanta","weekday","during"
2020-03-31,32,0.450212436592791,77.6281383085491,"exp","COVID-19","Atlanta","weekday","during"
2020-04-01,32,0.450622859527258,91.8741191491613,"exp","COVID-19","Atlanta","weekday","during"
2020-04-02,32,0.448911391539758,98.0004927665884,"exp","COVID-19","Atlanta","weekday","during"
2020-04-03,32,0.450721201280528,92.7612208490103,"exp","COVID-19","Atlanta","weekday","during"
2020-04-04,32,0.450859536127165,80.9622883017205,"exp","COVID-19","Atlanta","weekend","during"
2020-04-05,32,0.450624538145186,73.1369566756274,"exp","COVID-19","Atlanta","weekend","during"
2020-02-10,35,0.000214371009256745,81.8698190045056,"homo","COVID-19","Boston","weekday","before"
2020-02-11,35,0.00024128755939828,73.1342597600008,"homo","COVID-19","Boston","weekday","before"
2020-02-12,35,0.000214052332000276,81.1687337127888,"homo","COVID-19","Boston","weekday","before"
2020-02-13,35,0.000205824627937773,80.3171017681531,"homo","COVID-19","Boston","weekday","before"
2020-02-14,35,0.000192227881333682,91.25787017177,"homo","COVID-19","Boston","weekday","before"
2020-02-15,35,0.000195385669522726,77.5449208474284,"homo","COVID-19","Boston","weekend","before"
2020-02-16,35,0.000195665974796027,69.8382637685506,"homo","COVID-19","Boston","weekend","before"
2020-03-30,35,0.000203375852271967,39.1267794155461,"homo","COVID-19","Boston","weekday","during"
2020-03-31,35,0.000222697643884066,37.8393536607489,"homo","COVID-19","Boston","weekday","during"
2020-04-01,35,0.000189282072892569,47.6279717328225,"homo","COVID-19","Boston","weekday","during"
2020-04-02,35,0.000169281241958937,48.5113991104203,"homo","COVID-19","Boston","weekday","during"
2020-04-03,35,0.000213705301797836,43.6291440888109,"homo","COVID-19","Boston","weekday","during"
2020-04-04,35,0.000185720723124452,49.183673165245,"homo","COVID-19","Boston","weekend","during"
2020-04-05,35,0.000186239577702653,43.7226189034478,"homo","COVID-19","Boston","weekend","during"
2020-02-10,35,4.99995325177698,766.932008557437,"power","COVID-19","Boston","weekday","before"
2020-02-11,35,4.99993750659389,636.10866827996,"power","COVID-19","Boston","weekday","before"
2020-02-12,35,4.999952928059,769.052952625697,"power","COVID-19","Boston","weekday","before"
2020-02-13,35,4.99995358854991,746.815074151439,"power","COVID-19","Boston","weekday","before"
2020-02-14,35,4.99994034682369,930.218209597453,"power","COVID-19","Boston","weekday","before"
2020-02-15,35,4.9999490492077,667.718074838066,"power","COVID-19","Boston","weekend","before"
2020-02-16,35,4.99994958440826,662.561065638567,"power","COVID-19","Boston","weekend","before"
2020-03-30,35,4.99993203796185,377.121800753409,"power","COVID-19","Boston","weekday","during"
2020-03-31,35,4.99993079960582,368.98869252363,"power","COVID-19","Boston","weekday","during"
2020-04-01,35,4.99993682492399,456.589843583737,"power","COVID-19","Boston","weekday","during"
2020-04-02,35,4.99993810143682,457.589227294442,"power","COVID-19","Boston","weekday","during"
2020-04-03,35,4.99994152395907,426.312674712918,"power","COVID-19","Boston","weekday","during"
2020-04-04,35,4.99993454880154,469.75183774289,"power","COVID-19","Boston","weekend","during"
2020-04-05,35,4.99993814209689,420.982962105443,"power","COVID-19","Boston","weekend","during"
2020-02-10,35,0.360042916857973,85.9854014269247,"exp","COVID-19","Boston","weekday","before"
2020-02-11,35,0.401118003470858,71.5881965281359,"exp","COVID-19","Boston","weekday","before"
2020-02-12,35,0.359030724550958,85.6431727127527,"exp","COVID-19","Boston","weekday","before"
2020-02-13,35,0.356904869903825,84.1336886519252,"exp","COVID-19","Boston","weekday","before"
2020-02-14,35,0.3190402122928,98.5883164084503,"exp","COVID-19","Boston","weekday","before"
2020-02-15,35,0.381652213741722,76.7790181769766,"exp","COVID-19","Boston","weekend","before"
2020-02-16,35,0.340068845448843,74.3391170143658,"exp","COVID-19","Boston","weekend","before"
2020-03-30,35,0.409507736402356,36.0439647892452,"exp","COVID-19","Boston","weekday","during"
2020-03-31,35,0.416330198848511,34.6330957518357,"exp","COVID-19","Boston","weekday","during"
2020-04-01,35,0.388062163910041,45.9423946156103,"exp","COVID-19","Boston","weekday","during"
2020-04-02,35,0.373805105610876,46.7476313577441,"exp","COVID-19","Boston","weekday","during"
2020-04-03,35,0.400759360622344,42.928720479709,"exp","COVID-19","Boston","weekday","during"
2020-04-04,35,0.376928794889768,48.1786149595084,"exp","COVID-19","Boston","weekend","during"
2020-04-05,35,0.379939746248377,42.6474300345134,"exp","COVID-19","Boston","weekend","during"
2020-02-10,38,0.000100570230294283,142.094227946388,"homo","COVID-19","Chicago","weekday","before"
2020-02-11,38,0.000100546084806164,133.274665606927,"homo","COVID-19","Chicago","weekday","before"
2020-02-12,38,0.000100544010774141,133.678693631539,"homo","COVID-19","Chicago","weekday","before"
2020-02-13,38,0.000109067321620147,131.407320274596,"homo","COVID-19","Chicago","weekday","before"
2020-02-14,38,9.85249984450337e-05,151.732633161944,"homo","COVID-19","Chicago","weekday","before"
2020-02-15,38,0.000105347725498088,127.797149680791,"homo","COVID-19","Chicago","weekend","before"
2020-02-16,38,0.000100395850911584,122.243671287541,"homo","COVID-19","Chicago","weekend","before"
2020-03-30,38,0.00010310026014051,69.6971545280938,"homo","COVID-19","Chicago","weekday","during"
2020-03-31,38,0.000109748216198817,66.1220334946808,"homo","COVID-19","Chicago","weekday","during"
2020-04-01,38,0.000103633806137091,78.3898657978826,"homo","COVID-19","Chicago","weekday","during"
2020-04-02,38,0.000102715347168253,79.3462412778607,"homo","COVID-19","Chicago","weekday","during"
2020-04-03,38,0.000103388395705422,84.7805763966054,"homo","COVID-19","Chicago","weekday","during"
2020-04-04,38,0.000100706698495405,77.5257544898648,"homo","COVID-19","Chicago","weekend","during"
2020-04-05,38,0.000108595211936963,68.3449716282653,"homo","COVID-19","Chicago","weekend","during"
2020-02-10,38,4.99995768507983,1179.53588521466,"power","COVID-19","Chicago","weekday","before"
2020-02-11,38,4.99993660661226,1139.52831977954,"power","COVID-19","Chicago","weekday","before"
2020-02-12,38,4.99995348242087,1131.09003051692,"power","COVID-19","Chicago","weekday","before"
2020-02-13,38,4.99995764720654,1164.38785675988,"power","COVID-19","Chicago","weekday","before"
2020-02-14,38,4.99995265792024,1269.29661495873,"power","COVID-19","Chicago","weekday","before"
2020-02-15,38,4.9999575011579,988.787323178112,"power","COVID-19","Chicago","weekend","before"
2020-02-16,38,4.99994071630399,1033.4295576506,"power","COVID-19","Chicago","weekend","before"
2020-03-30,38,4.99993067389497,686.768659598085,"power","COVID-19","Chicago","weekday","during"
2020-03-31,38,4.99995245659533,594.699029104785,"power","COVID-19","Chicago","weekday","during"
2020-04-01,38,4.99995005139178,693.975154603285,"power","COVID-19","Chicago","weekday","during"
2020-04-02,38,4.99994977802598,694.697425431541,"power","COVID-19","Chicago","weekday","during"
2020-04-03,38,4.99994445706876,845.655304700866,"power","COVID-19","Chicago","weekday","during"
2020-04-04,38,4.99992262720466,707.070323937643,"power","COVID-19","Chicago","weekend","during"
2020-04-05,38,4.99994780039393,601.724345547354,"power","COVID-19","Chicago","weekend","during"
2020-02-10,38,0.375270464145583,131.1299395658,"exp","COVID-19","Chicago","weekday","before"
2020-02-11,38,0.369868973464635,124.549976502904,"exp","COVID-19","Chicago","weekday","before"
2020-02-12,38,0.377640912338243,123.086072158414,"exp","COVID-19","Chicago","weekday","before"
2020-02-13,38,0.373791226915519,127.244247088179,"exp","COVID-19","Chicago","weekday","before"
2020-02-14,38,0.365484174698345,141.229659486082,"exp","COVID-19","Chicago","weekday","before"
2020-02-15,38,0.401553758413234,113.93538526028,"exp","COVID-19","Chicago","weekend","before"
2020-02-16,38,0.370329759401822,116.091753818868,"exp","COVID-19","Chicago","weekend","before"
2020-03-30,38,0.387492024401557,64.7887448929384,"exp","COVID-19","Chicago","weekday","during"
2020-03-31,38,0.407294746727163,55.7476718514923,"exp","COVID-19","Chicago","weekday","during"
2020-04-01,38,0.405722861645683,65.6107499730856,"exp","COVID-19","Chicago","weekday","during"
2020-04-02,38,0.406842553220006,68.269580075649,"exp","COVID-19","Chicago","weekday","during"
2020-04-03,38,0.37389660311336,82.7656505798367,"exp","COVID-19","Chicago","weekday","during"
