"msa","lag","rho","error","index","event"
"Atlanta",32,0.000356556618150124,793.625195322941,"homo","COVID-19"
"Atlanta",32,4.99994832090922,8490.51532409437,"power","COVID-19"
"Atlanta",32,0.4481851974047,661.309417128555,"exp","COVID-19"
"Boston",35,0.000257250965823051,459.163788033854,"homo","COVID-19"
"Boston",35,4.99994604576742,6536.13990345547,"power","COVID-19"
"Boston",35,0.420616647370408,569.289254603138,"exp","COVID-19"
"Chicago",38,0.000134325580901781,537.146114350636,"homo","COVID-19"
"Chicago",38,4.9999490824074,6696.77974900884,"power","COVID-19"
"Chicago",38,0.419071524412268,564.561608922517,"exp","COVID-19"
"Dallas",33,0.000222522647769668,641.999172544903,"homo","COVID-19"
"Dallas",33,4.99993736084054,7488.59031409109,"power","COVID-19"
"Dallas",33,0.431803980751466,616.752046463227,"exp","COVID-19"
"Houston",28,0.00027637758693084,1408.58595811851,"homo","COVID-19"
"Houston",28,4.99994163423768,11282.6162202344,"power","COVID-19"
"Houston",28,0.424088886628839,1193.97814944471,"exp","COVID-19"
"Los Angeles",37,9.30505351188107e-05,582.17370207528,"homo","COVID-19"
"Los Angeles",37,4.99992453035226,7577.99078795974,"power","COVID-19"
"Los Angeles",37,0.416593732699511,645.709718365789,"exp","COVID-19"
"Miami",22,0.000245285044536515,724.683108144719,"homo","COVID-19"
"Miami",22,4.9999310314802,9335.84031974474,"power","COVID-19"
"Miami",22,0.403005218693432,827.192794923357,"exp","COVID-19"
"New York",52,2.63698520528534e-05,626.975792314204,"homo","COVID-19"
"New York",52,4.99993431607465,8309.27342878176,"power","COVID-19"
"New York",52,0.360842971934823,712.865870640801,"exp","COVID-19"
"Philadelphia",36,0.00020937995611363,470.643074583195,"homo","COVID-19"
"Philadelphia",36,4.99992452180109,6315.53665482204,"power","COVID-19"
"Philadelphia",36,0.427768189338122,526.494356623864,"exp","COVID-19"
"San Francisco",21,0.000309718531727486,550.128261833093,"homo","COVID-19"
"San Francisco",21,4.99994822756652,8153.11705677279,"power","COVID-19"
"San Francisco",21,0.39905032544971,702.797089168606,"exp","COVID-19"
"Seattle",22,0.000376704374769747,418.094021918896,"homo","COVID-19"
"Seattle",22,4.99994506767273,7056.97758863932,"power","COVID-19"
"Seattle",22,0.420844792771919,585.119970332603,"exp","COVID-19"
"Washington, D.C.",33,0.00024625471408589,597.485752652046,"homo","COVID-19"
"Washington, D.C.",33,4.99993473435779,7789.15491464088,"power","COVID-19"
"Washington, D.C.",33,0.419950984382966,687.064703120066,"exp","COVID-19"
