"model","day","error","msa"
"homo","2020-02-10",179.539048781478,"Atlanta"
"homo","2020-02-11",172.214291282528,"Atlanta"
"homo","2020-02-12",176.717709444239,"Atlanta"
"homo","2020-02-13",183.290777121203,"Atlanta"
"homo","2020-02-14",208.986573789701,"Atlanta"
"homo","2020-02-15",187.553467176261,"Atlanta"
"homo","2020-02-16",145.305009747331,"Atlanta"
"homo","2020-03-30",80.4871950936405,"Atlanta"
"homo","2020-03-31",78.0696451260467,"Atlanta"
"homo","2020-04-01",90.2463943709525,"Atlanta"
"homo","2020-04-02",97.1367191119073,"Atlanta"
"homo","2020-04-03",92.0995337238047,"Atlanta"
"homo","2020-04-04",72.6571104310837,"Atlanta"
"homo","2020-04-05",59.9975826747209,"Atlanta"
"exp","2020-02-10",145.042583179872,"Atlanta"
"exp","2020-02-11",140.754523710505,"Atlanta"
"exp","2020-02-12",144.2046317031,"Atlanta"
"exp","2020-02-13",151.710760852065,"Atlanta"
"exp","2020-02-14",173.164306264799,"Atlanta"
"exp","2020-02-15",153.849524575996,"Atlanta"
"exp","2020-02-16",124.797315529147,"Atlanta"
"exp","2020-03-30",65.8352953266824,"Atlanta"
"exp","2020-03-31",66.1689228227183,"Atlanta"
"exp","2020-04-01",74.4747029426032,"Atlanta"
"exp","2020-04-02",79.1854563286427,"Atlanta"
"exp","2020-04-03",76.7043356339469,"Atlanta"
"exp","2020-04-04",61.7253228348685,"Atlanta"
"exp","2020-04-05",50.9900190896247,"Atlanta"
"power","2020-02-10",1103.11715842265,"Atlanta"
"power","2020-02-11",1100.76453370966,"Atlanta"
"power","2020-02-12",1135.45798515933,"Atlanta"
"power","2020-02-13",1151.64965344414,"Atlanta"
"power","2020-02-14",1274.228148428,"Atlanta"
"power","2020-02-15",1091.48405171661,"Atlanta"
"power","2020-02-16",886.106198601753,"Atlanta"
"power","2020-03-30",555.462788548785,"Atlanta"
"power","2020-03-31",534.945159113173,"Atlanta"
"power","2020-04-01",609.364362038658,"Atlanta"
"power","2020-04-02",641.210859922172,"Atlanta"
"power","2020-04-03",621.94761598344,"Atlanta"
"power","2020-04-04",497.823509454732,"Atlanta"
"power","2020-04-05",418.79219883606,"Atlanta"
"homo","2020-02-10",71.2219050497254,"Boston"
"homo","2020-02-11",67.1554211473425,"Boston"
"homo","2020-02-12",71.8239996638611,"Boston"
"homo","2020-02-13",71.2041075695041,"Boston"
"homo","2020-02-14",79.1509478244643,"Boston"
"homo","2020-02-15",67.639639889926,"Boston"
"homo","2020-02-16",59.523903368139,"Boston"
"homo","2020-03-30",26.9427617453745,"Boston"
"homo","2020-03-31",27.4962404616057,"Boston"
"homo","2020-04-01",28.7627615688031,"Boston"
"homo","2020-04-02",28.7176564782221,"Boston"
"homo","2020-04-03",28.8249275751556,"Boston"
"homo","2020-04-04",30.5194428137612,"Boston"
"homo","2020-04-05",24.6568670407116,"Boston"
"exp","2020-02-10",67.6083082597571,"Boston"
"exp","2020-02-11",61.5371078583487,"Boston"
"exp","2020-02-12",68.1757973186218,"Boston"
"exp","2020-02-13",67.2970115635184,"Boston"
"exp","2020-02-14",81.112508395983,"Boston"
"exp","2020-02-15",66.0206843018137,"Boston"
"exp","2020-02-16",58.3139033776038,"Boston"
"exp","2020-03-30",25.7889431293522,"Boston"
"exp","2020-03-31",26.2784517005883,"Boston"
"exp","2020-04-01",27.1940345977879,"Boston"
"exp","2020-04-02",27.6105071006602,"Boston"
"exp","2020-04-03",27.5415808335356,"Boston"
"exp","2020-04-04",29.2867989503126,"Boston"
"exp","2020-04-05",23.6930248283982,"Boston"
"power","2020-02-10",529.387516361156,"Boston"
"power","2020-02-11",483.498457335845,"Boston"
"power","2020-02-12",543.230253551899,"Boston"
"power","2020-02-13",531.030926591096,"Boston"
"power","2020-02-14",735.38077928254,"Boston"
"power","2020-02-15",516.684388691032,"Boston"
"power","2020-02-16",457.27816666097,"Boston"
"power","2020-03-30",252.011764066639,"Boston"
"power","2020-03-31",251.048409750542,"Boston"
"power","2020-04-01",258.794359714587,"Boston"
"power","2020-04-02",263.835864069155,"Boston"
"power","2020-04-03",265.057274427249,"Boston"
"power","2020-04-04",276.190706449678,"Boston"
"power","2020-04-05",233.53434300097,"Boston"
