"model","day","error","msa"
"homo","2020-02-10",217.657221908316,"Atlanta"
"homo","2020-02-11",192.215743996243,"Atlanta"
"homo","2020-02-12",197.87534271446,"Atlanta"
"homo","2020-02-13",204.615427503304,"Atlanta"
"homo","2020-02-14",229.754100169335,"Atlanta"
"homo","2020-02-15",221.587701457662,"Atlanta"
"homo","2020-02-16",171.227256854869,"Atlanta"
"homo","2020-03-30",113.597187492905,"Atlanta"
"homo","2020-03-31",107.631731819649,"Atlanta"
"homo","2020-04-01",126.483855008906,"Atlanta"
"homo","2020-04-02",143.61368242476,"Atlanta"
"homo","2020-04-03",127.661472930995,"Atlanta"
"homo","2020-04-04",111.245199394163,"Atlanta"
"homo","2020-04-05",104.410908498514,"Atlanta"
"exp","2020-02-10",154.810610370959,"Atlanta"
"exp","2020-02-11",146.327845554679,"Atlanta"
"exp","2020-02-12",150.764008129743,"Atlanta"
"exp","2020-02-13",157.725819033155,"Atlanta"
"exp","2020-02-14",177.828899745983,"Atlanta"
"exp","2020-02-15",162.095563635848,"Atlanta"
"exp","2020-02-16",133.446515139464,"Atlanta"
"exp","2020-03-30",79.827969963737,"Atlanta"
"exp","2020-03-31",77.6281383085491,"Atlanta"
"exp","2020-04-01",91.8741191491613,"Atlanta"
"exp","2020-04-02",98.0004927665884,"Atlanta"
"exp","2020-04-03",92.7612208490103,"Atlanta"
"exp","2020-04-04",80.9622883017205,"Atlanta"
"exp","2020-04-05",73.1369566756274,"Atlanta"
"power","2020-02-10",1554.18823508726,"Atlanta"
"power","2020-02-11",1501.24635594596,"Atlanta"
"power","2020-02-12",1546.03186320461,"Atlanta"
"power","2020-02-13",1568.87121400374,"Atlanta"
"power","2020-02-14",1671.01986395982,"Atlanta"
"power","2020-02-15",1490.16564064533,"Atlanta"
"power","2020-02-16",1289.09197767568,"Atlanta"
"power","2020-03-30",971.201749463903,"Atlanta"
"power","2020-03-31",927.364172539502,"Atlanta"
"power","2020-04-01",1089.15569217873,"Atlanta"
"power","2020-04-02",1126.01006861313,"Atlanta"
"power","2020-04-03",1087.7560645669,"Atlanta"
"power","2020-04-04",960.262407254374,"Atlanta"
"power","2020-04-05",881.961408286489,"Atlanta"
"homo","2020-02-10",81.8698190045056,"Boston"
"homo","2020-02-11",73.1342597600008,"Boston"
"homo","2020-02-12",81.1687337127888,"Boston"
"homo","2020-02-13",80.3171017681531,"Boston"
"homo","2020-02-14",91.25787017177,"Boston"
"homo","2020-02-15",77.5449208474283,"Boston"
"homo","2020-02-16",69.8382637685506,"Boston"
"homo","2020-03-30",39.1267794155461,"Boston"
"homo","2020-03-31",37.8393536607489,"Boston"
"homo","2020-04-01",47.6279717328225,"Boston"
"homo","2020-04-02",48.5113991104204,"Boston"
"homo","2020-04-03",43.6291440888109,"Boston"
"homo","2020-04-04",49.183673165245,"Boston"
"homo","2020-04-05",43.7226189034478,"Boston"
"exp","2020-02-10",85.9854014269247,"Boston"
"exp","2020-02-11",71.5881965281359,"Boston"
"exp","2020-02-12",85.6431727127526,"Boston"
"exp","2020-02-13",84.1336886519252,"Boston"
"exp","2020-02-14",98.5883164084503,"Boston"
"exp","2020-02-15",76.7790181769766,"Boston"
"exp","2020-02-16",74.3391170143658,"Boston"
"exp","2020-03-30",36.0439647892452,"Boston"
"exp","2020-03-31",34.6330957518357,"Boston"
"exp","2020-04-01",45.9423946156103,"Boston"
"exp","2020-04-02",46.7476313577441,"Boston"
"exp","2020-04-03",42.928720479709,"Boston"
"exp","2020-04-04",48.1786149595084,"Boston"
"exp","2020-04-05",42.6474300345134,"Boston"
"power","2020-02-10",766.932008557437,"Boston"
"power","2020-02-11",636.108668279959,"Boston"
"power","2020-02-12",769.052952625696,"Boston"
"power","2020-02-13",746.815074151439,"Boston"
"power","2020-02-14",930.218209597453,"Boston"
"power","2020-02-15",667.718074838066,"Boston"
"power","2020-02-16",662.561065638566,"Boston"
"power","2020-03-30",377.121800753409,"Boston"
"power","2020-03-31",368.98869252363,"Boston"
"power","2020-04-01",456.589843583737,"Boston"
"power","2020-04-02",457.589227294442,"Boston"
"power","2020-04-03",426.312674712918,"Boston"
"power","2020-04-04",469.75183774289,"Boston"
"power","2020-04-05",420.982962105443,"Boston"
"homo","2020-02-10",142.094227946388,"Chicago"
"homo","2020-02-11",133.274665606927,"Chicago"
"homo","2020-02-12",133.678693631539,"Chicago"
"homo","2020-02-13",131.407320274596,"Chicago"
"homo","2020-02-14",151.732633161944,"Chicago"
"homo","2020-02-15",127.797149680791,"Chicago"
"homo","2020-02-16",122.243671287541,"Chicago"
"homo","2020-03-30",69.6971545280938,"Chicago"
"homo","2020-03-31",66.1220334946808,"Chicago"
"homo","2020-04-01",78.3898657978826,"Chicago"
"homo","2020-04-02",79.3462412778607,"Chicago"
"homo","2020-04-03",84.7805763966054,"Chicago"
"homo","2020-04-04",77.5257544898648,"Chicago"
"homo","2020-04-05",68.3449716282653,"Chicago"
"exp","2020-02-10",131.1299395658,"Chicago"
"exp","2020-02-11",124.549976502904,"Chicago"
"exp","2020-02-12",123.086072158414,"Chicago"
"exp","2020-02-13",127.244247088179,"Chicago"
"exp","2020-02-14",141.229659486082,"Chicago"
"exp","2020-02-15",113.93538526028,"Chicago"
"exp","2020-02-16",116.091753818868,"Chicago"
"exp","2020-03-30",64.7887448929384,"Chicago"
"exp","2020-03-31",55.7476718514923,"Chicago"
"exp","2020-04-01",65.6107499730856,"Chicago"
"exp","2020-04-02",68.269580075649,"Chicago"
"exp","2020-04-03",82.7656505798367,"Chicago"
"exp","2020-04-04",70.2719607032742,"Chicago"
"exp","2020-04-05",57.4228163733321,"Chicago"
"power","2020-02-10",1179.53588521466,"Chicago"
"power","2020-02-11",1139.52831977954,"Chicago"
"power","2020-02-12",1131.09003051692,"Chicago"
"power","2020-02-13",1164.38785675988,"Chicago"
"power","2020-02-14",1269.29661495873,"Chicago"
"power","2020-02-15",988.787323178112,"Chicago"
"power","2020-02-16",1033.4295576506,"Chicago"
"power","2020-03-30",686.768659598085,"Chicago"
"power","2020-03-31",594.699029104785,"Chicago"
"power","2020-04-01",693.975154603285,"Chicago"
"power","2020-04-02",694.697425431541,"Chicago"
"power","2020-04-03",845.655304700866,"Chicago"
"power","2020-04-04",707.070323937644,"Chicago"
"power","2020-04-05",601.724345547354,"Chicago"
"homo","2020-02-10",192.204062407375,"Dallas"
"homo","2020-02-11",180.780703573283,"Dallas"
"homo","2020-02-12",185.438891939163,"Dallas"
"homo","2020-02-13",198.055575000217,"Dallas"
"homo","2020-02-14",220.52162869183,"Dallas"
"homo","2020-02-15",200.279510078957,"Dallas"
"homo","2020-02-16",173.913767193354,"Dallas"
"homo","2020-03-30",101.83449634205,"Dallas"
"homo","2020-03-31",106.059152160662,"Dallas"
"homo","2020-04-01",119.37587351417,"Dallas"
"homo","2020-04-02",119.0266546985,"Dallas"
"homo","2020-04-03",121.451457338536,"Dallas"
"homo","2020-04-04",110.246277038051,"Dallas"
"homo","2020-04-05",97.7567868495225,"Dallas"
"exp","2020-02-10",147.141548809558,"Dallas"
"exp","2020-02-11",137.283064109023,"Dallas"
"exp","2020-02-12",140.800676116005,"Dallas"
"exp","2020-02-13",151.329989978769,"Dallas"
"exp","2020-02-14",169.567709685601,"Dallas"
"exp","2020-02-15",156.842664091015,"Dallas"
"exp","2020-02-16",134.274600657299,"Dallas"
"exp","2020-03-30",72.1776502462659,"Dallas"
"exp","2020-03-31",74.7940519317293,"Dallas"
"exp","2020-04-01",85.9567668098809,"Dallas"
"exp","2020-04-02",87.0103217553566,"Dallas"
"exp","2020-04-03",89.7765091530071,"Dallas"
"exp","2020-04-04",82.1804731408536,"Dallas"
"exp","2020-04-05",71.1230461741866,"Dallas"
"power","2020-02-10",1524.17676202773,"Dallas"
"power","2020-02-11",1429.85102020401,"Dallas"
"power","2020-02-12",1463.18732421361,"Dallas"
"power","2020-02-13",1537.77189668857,"Dallas"
"power","2020-02-14",1667.45624589521,"Dallas"
"power","2020-02-15",1494.82411750611,"Dallas"
"power","2020-02-16",1353.55397844962,"Dallas"
"power","2020-03-30",881.267283916217,"Dallas"
"power","2020-03-31",908.841447014096,"Dallas"
"power","2020-04-01",1030.63886606973,"Dallas"
"power","2020-04-02",1018.84294955964,"Dallas"
"power","2020-04-03",1032.83827301468,"Dallas"
"power","2020-04-04",928.182912535987,"Dallas"
"power","2020-04-05",843.467702949349,"Dallas"
"homo","2020-02-10",271.613989816933,"Houston"
"homo","2020-02-11",260.056228479842,"Houston"
"homo","2020-02-12",265.929485825808,"Houston"
"homo","2020-02-13",290.442977229708,"Houston"
"homo","2020-02-14",302.971879822529,"Houston"
"homo","2020-02-15",271.363078414325,"Houston"
"homo","2020-02-16",244.969144220939,"Houston"
"homo","2020-03-30",167.308837391254,"Houston"
"homo","2020-03-31",169.328438339973,"Houston"
"homo","2020-04-01",188.833292060847,"Houston"
"homo","2020-04-02",186.899997633856,"Houston"
"homo","2020-04-03",193.961059922503,"Houston"
"homo","2020-04-04",177.69387514174,"Houston"
"homo","2020-04-05",166.824840712355,"Houston"
"exp","2020-02-10",207.284665526068,"Houston"
"exp","2020-02-11",194.809359116093,"Houston"
"exp","2020-02-12",196.872160020228,"Houston"
"exp","2020-02-13",209.921918626088,"Houston"
"exp","2020-02-14",225.779060540528,"Houston"
"exp","2020-02-15",201.078945218029,"Houston"
"exp","2020-02-16",180.790189682224,"Houston"
"exp","2020-03-30",124.634157998866,"Houston"
"exp","2020-03-31",123.28994146578,"Houston"
"exp","2020-04-01",138.916197652157,"Houston"
"exp","2020-04-02",139.414078016904,"Houston"
"exp","2020-04-03",142.956276919361,"Houston"
"exp","2020-04-04",134.193401390951,"Houston"
"exp","2020-04-05",123.783224128112,"Houston"
"power","2020-02-10",1971.20929356928,"Houston"
"power","2020-02-11",1837.36328227051,"Houston"
"power","2020-02-12",1866.63457562256,"Houston"
"power","2020-02-13",1970.62018207409,"Houston"
"power","2020-02-14",2092.31868197276,"Houston"
"power","2020-02-15",1867.13534919987,"Houston"
"power","2020-02-16",1694.37803835913,"Houston"
"power","2020-03-30",1225.8447235488,"Houston"
"power","2020-03-31",1229.3780280847,"Houston"
"power","2020-04-01",1381.96229332711,"Houston"
"power","2020-04-02",1372.70391658574,"Houston"
"power","2020-04-03",1420.48531263634,"Houston"
"power","2020-04-04",1276.84526932417,"Houston"
"power","2020-04-05",1184.90702763705,"Houston"
