"model","day","error","msa"
"homo","2020-02-10",179.221153466404,"Atlanta"
"homo","2020-02-11",178.82677721882,"Atlanta"
"homo","2020-02-12",184.432067916295,"Atlanta"
"homo","2020-02-13",185.954730010145,"Atlanta"
"homo","2020-02-14",195.632389891983,"Atlanta"
"homo","2020-02-15",173.665341178785,"Atlanta"
"homo","2020-02-16",154.385413955131,"Atlanta"
"homo","2020-03-30",119.890914762181,"Atlanta"
"homo","2020-03-31",115.674350395622,"Atlanta"
"homo","2020-04-01",132.06190439347,"Atlanta"
"homo","2020-04-02",135.56848801463,"Atlanta"
"homo","2020-04-03",132.895021494708,"Atlanta"
"homo","2020-04-04",116.966338815663,"Atlanta"
"homo","2020-04-05",108.28063538657,"Atlanta"
"exp","2020-02-10",122.121546770377,"Atlanta"
"exp","2020-02-11",121.245324603786,"Atlanta"
"exp","2020-02-12",124.90612045339,"Atlanta"
"exp","2020-02-13",125.824150034082,"Atlanta"
"exp","2020-02-14",131.634579175866,"Atlanta"
"exp","2020-02-15",118.460806218137,"Atlanta"
"exp","2020-02-16",105.247804970909,"Atlanta"
"exp","2020-03-30",79.4233120840368,"Atlanta"
"exp","2020-03-31",76.5067496538342,"Atlanta"
"exp","2020-04-01",91.7111462062648,"Atlanta"
"exp","2020-04-02",94.5177656008734,"Atlanta"
"exp","2020-04-03",92.7788622148323,"Atlanta"
"exp","2020-04-04",83.5287515851786,"Atlanta"
"exp","2020-04-05",77.6955940942529,"Atlanta"
"power","2020-02-10",1543.37160769448,"Atlanta"
"power","2020-02-11",1506.3607201828,"Atlanta"
"power","2020-02-12",1554.97284324538,"Atlanta"
"power","2020-02-13",1567.59195459457,"Atlanta"
"power","2020-02-14",1644.91388010252,"Atlanta"
"power","2020-02-15",1461.61028281646,"Atlanta"
"power","2020-02-16",1290.6634926988,"Atlanta"
"power","2020-03-30",1000.34483854791,"Atlanta"
"power","2020-03-31",960.505711677175,"Atlanta"
"power","2020-04-01",1133.19534899802,"Atlanta"
"power","2020-04-02",1152.61023826232,"Atlanta"
"power","2020-04-03",1134.78034746825,"Atlanta"
"power","2020-04-04",1002.53240740454,"Atlanta"
"power","2020-04-05",920.406033143559,"Atlanta"
"homo","2020-02-10",56.246958969065,"Boston"
"homo","2020-02-11",54.8292282040987,"Boston"
"homo","2020-02-12",58.0588847492141,"Boston"
"homo","2020-02-13",55.6774454586837,"Boston"
"homo","2020-02-14",59.8484478298852,"Boston"
"homo","2020-02-15",53.5838772202203,"Boston"
"homo","2020-02-16",50.5052576282113,"Boston"
"homo","2020-03-30",36.3806824602304,"Boston"
"homo","2020-03-31",36.3916235597594,"Boston"
"homo","2020-04-01",42.9739950151304,"Boston"
"homo","2020-04-02",42.3668206131781,"Boston"
"homo","2020-04-03",41.723336939938,"Boston"
"homo","2020-04-04",42.7777463534561,"Boston"
"homo","2020-04-05",39.8071132953851,"Boston"
"exp","2020-02-10",55.8431898433207,"Boston"
"exp","2020-02-11",54.0738690642989,"Boston"
"exp","2020-02-12",57.0405300424138,"Boston"
"exp","2020-02-13",55.1159754074278,"Boston"
"exp","2020-02-14",57.9504066060571,"Boston"
"exp","2020-02-15",50.6874236792496,"Boston"
"exp","2020-02-16",47.7651200301822,"Boston"
"exp","2020-03-30",31.8276510061328,"Boston"
"exp","2020-03-31",31.6699826923427,"Boston"
"exp","2020-04-01",40.0677890016843,"Boston"
"exp","2020-04-02",39.9082579074447,"Boston"
"exp","2020-04-03",39.2829747691073,"Boston"
"exp","2020-04-04",40.1003834959477,"Boston"
"exp","2020-04-05",37.8241145845131,"Boston"
"power","2020-02-10",638.081702333507,"Boston"
"power","2020-02-11",612.255453985732,"Boston"
"power","2020-02-12",640.604701877219,"Boston"
"power","2020-02-13",621.941293099329,"Boston"
"power","2020-02-14",656.345395416997,"Boston"
"power","2020-02-15",568.340448129088,"Boston"
"power","2020-02-16",526.582623950262,"Boston"
"power","2020-03-30",361.078217929382,"Boston"
"power","2020-03-31",362.363309864037,"Boston"
"power","2020-04-01",425.955675922722,"Boston"
"power","2020-04-02",415.749182843151,"Boston"
"power","2020-04-03",411.005255536815,"Boston"
"power","2020-04-04",412.771954976828,"Boston"
"power","2020-04-05",390.304429347315,"Boston"
"homo","2020-02-10",97.2014003402133,"Chicago"
"homo","2020-02-11",94.8665570056492,"Chicago"
"homo","2020-02-12",94.9241576822425,"Chicago"
"homo","2020-02-13",97.0369794259913,"Chicago"
"homo","2020-02-14",104.902260063799,"Chicago"
"homo","2020-02-15",97.1470969650074,"Chicago"
"homo","2020-02-16",90.4893171516882,"Chicago"
"homo","2020-03-30",61.6330826406952,"Chicago"
"homo","2020-03-31",59.5421260667436,"Chicago"
"homo","2020-04-01",68.9634203399811,"Chicago"
"homo","2020-04-02",70.2459269930983,"Chicago"
"homo","2020-04-03",72.9788261813739,"Chicago"
"homo","2020-04-04",67.4667298734365,"Chicago"
"homo","2020-04-05",62.7242244905839,"Chicago"
"exp","2020-02-10",79.5247828394139,"Chicago"
"exp","2020-02-11",77.0519193281329,"Chicago"
"exp","2020-02-12",77.7687435521166,"Chicago"
"exp","2020-02-13",78.6032946097446,"Chicago"
"exp","2020-02-14",84.0390010935701,"Chicago"
"exp","2020-02-15",77.4934770704404,"Chicago"
"exp","2020-02-16",72.6095059198028,"Chicago"
"exp","2020-03-30",50.3168254172314,"Chicago"
"exp","2020-03-31",48.1159137570931,"Chicago"
"exp","2020-04-01",56.3914666324269,"Chicago"
"exp","2020-04-02",57.6779097071451,"Chicago"
"exp","2020-04-03",59.7959740824732,"Chicago"
"exp","2020-04-04",55.5443633978661,"Chicago"
"exp","2020-04-05",51.8745499990025,"Chicago"
"power","2020-02-10",916.848321606141,"Chicago"
"power","2020-02-11",878.174426401612,"Chicago"
"power","2020-02-12",883.39546856283,"Chicago"
"power","2020-02-13",888.183042615632,"Chicago"
"power","2020-02-14",947.344766971426,"Chicago"
"power","2020-02-15",866.77344317565,"Chicago"
"power","2020-02-16",811.166716726145,"Chicago"
"power","2020-03-30",570.835801876076,"Chicago"
"power","2020-03-31",550.008697899502,"Chicago"
"power","2020-04-01",629.584684721242,"Chicago"
"power","2020-04-02",635.022496063722,"Chicago"
"power","2020-04-03",663.042271582536,"Chicago"
"power","2020-04-04",605.698849774588,"Chicago"
"power","2020-04-05",564.04652832903,"Chicago"
"homo","2020-02-10",163.771284183059,"Dallas"
"homo","2020-02-11",160.34027214175,"Dallas"
"homo","2020-02-12",163.145543481628,"Dallas"
"homo","2020-02-13",170.694933773744,"Dallas"
"homo","2020-02-14",181.010662597149,"Dallas"
"homo","2020-02-15",166.786787699629,"Dallas"
"homo","2020-02-16",154.32483518668,"Dallas"
"homo","2020-03-30",101.775611767134,"Dallas"
"homo","2020-03-31",105.158247801654,"Dallas"
"homo","2020-04-01",119.004653158675,"Dallas"
"homo","2020-04-02",119.473575843907,"Dallas"
"homo","2020-04-03",120.162252424656,"Dallas"
"homo","2020-04-04",110.496418529622,"Dallas"
"homo","2020-04-05",101.563800309974,"Dallas"
"exp","2020-02-10",123.669572157839,"Dallas"
"exp","2020-02-11",123.665479203615,"Dallas"
"exp","2020-02-12",123.714761299657,"Dallas"
"exp","2020-02-13",128.196629014827,"Dallas"
"exp","2020-02-14",135.749506285884,"Dallas"
"exp","2020-02-15",125.87101821296,"Dallas"
"exp","2020-02-16",115.606338882044,"Dallas"
"exp","2020-03-30",76.3317993859399,"Dallas"
"exp","2020-03-31",78.4184200961159,"Dallas"
"exp","2020-04-01",91.4209580365938,"Dallas"
"exp","2020-04-02",93.0915742660528,"Dallas"
"exp","2020-04-03",93.4253486760595,"Dallas"
"exp","2020-04-04",85.7850002265001,"Dallas"
"exp","2020-04-05",79.525031459271,"Dallas"
"power","2020-02-10",1505.11655957394,"Dallas"
"power","2020-02-11",1454.78355299495,"Dallas"
"power","2020-02-12",1467.89839414017,"Dallas"
"power","2020-02-13",1528.45243236387,"Dallas"
"power","2020-02-14",1631.85930821428,"Dallas"
"power","2020-02-15",1486.63015241318,"Dallas"
"power","2020-02-16",1373.50959518528,"Dallas"
"power","2020-03-30",916.41134228781,"Dallas"
"power","2020-03-31",942.689617502572,"Dallas"
"power","2020-04-01",1064.27553948263,"Dallas"
"power","2020-04-02",1052.5728993288,"Dallas"
"power","2020-04-03",1069.03967353551,"Dallas"
