"msa","cbg_id","cbg_area_m2","cbg_area_km2","pop","county_fips"
"Atlanta","130890212022",2293337.90148006,2.29333790148006,2499,"13089"
"Atlanta","130890212041",412482.007075882,0.412482007075882,1155,"13089"
"Atlanta","130890212082",1125110.58719904,1.12511058719904,1482,"13089"
"Atlanta","130890219081",1341429.41871682,1.34142941871682,1889,"13089"
"Atlanta","130890219082",2114810.58896492,2.11481058896492,3554,"13089"
"Atlanta","130890219091",603781.800652631,0.603781800652631,2872,"13089"
"Atlanta","130890219092",1199724.11820146,1.19972411820146,1222,"13089"
"Atlanta","130890220011",2146146.96131689,2.14614696131689,1879,"13089"
"Atlanta","132171005011",8268650.59378813,8.26865059378813,5284,"13217"
"Atlanta","130890233061",1679527.18987816,1.67952718987815,2257,"13089"
"Atlanta","131171301051",10462727.7026579,10.4627277026579,2959,"13117"
"Atlanta","130630403062",792178.331451218,0.792178331451218,2166,"13063"
"Atlanta","131350505211",1531362.59823831,1.53136259823831,294,"13135"
"Atlanta","131350505213",1613612.46504191,1.61361246504191,2082,"13135"
"Atlanta","131350505212",1579342.83474687,1.57934283474687,1710,"13135"
"Atlanta","131350505221",2084127.25306591,2.08412725306591,1162,"13135"
"Atlanta","131350505222",2572289.01299798,2.57228901299798,3793,"13135"
"Atlanta","131350507091",8494656.49239314,8.49465649239314,5298,"13135"
"Atlanta","131350507122",2279099.26534417,2.27909926534417,2304,"13135"
"Atlanta","131350507141",4332322.21227826,4.33232221227826,2946,"13135"
"Atlanta","131350507192",2050541.71135416,2.05054171135416,2695,"13135"
"Atlanta","131350505432",3037377.20899328,3.03737720899328,3876,"13135"
"Atlanta","131350503144",829438.6392632,0.8294386392632,1013,"13135"
"Atlanta","131350504182",699142.727252132,0.699142727252132,2823,"13135"
"Atlanta","131350507142",3895139.5068431,3.8951395068431,3124,"13135"
"Atlanta","131350507152",2231407.91309853,2.23140791309853,1206,"13135"
"Atlanta","131350507153",2698977.19867528,2.69897719867528,1575,"13135"
"Atlanta","131350507251",2039361.29464441,2.03936129464441,2783,"13135"
"Atlanta","131350507292",2116583.0694014,2.1165830694014,3024,"13135"
"Atlanta","131350505451",5934469.9270706,5.9344699270706,4900,"13135"
"Atlanta","131350507203",2205206.06457068,2.20520606457068,1719,"13135"
"Atlanta","131350503102",561616.907182429,0.561616907182429,497,"13135"
"Atlanta","131350503094",1318012.27556534,1.31801227556534,2477,"13135"
"Atlanta","131350503062",1097257.18062803,1.09725718062803,917,"13135"
"Atlanta","131350503221",1554470.80753192,1.55447080753192,1330,"13135"
"Atlanta","131350504221",764569.459328223,0.764569459328223,2250,"13135"
"Atlanta","131350507212",1237158.67118895,1.23715867118895,565,"13135"
"Atlanta","131350501031",13245143.9563524,13.2451439563524,5292,"13135"
"Atlanta","131350501032",3460914.8114316,3.4609148114316,2165,"13135"
"Atlanta","131350501033",5192768.59171249,5.19276859171249,3854,"13135"
"Atlanta","131350503134",696248.766573447,0.696248766573447,906,"13135"
"Atlanta","131350506101",19723403.6480671,19.7234036480671,5461,"13135"
"Atlanta","131350507281",9375586.73815729,9.37558673815729,6106,"13135"
