"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-11",184,214.767774095638
"Atlanta","msa","2020-02-11",218,65.9355671911545
"Atlanta","msa","2020-02-11",63,156.052138202635
"Atlanta","msa","2020-02-11",170,56.5777736591274
"Atlanta","msa","2020-02-11",212,63.3520752976234
"Atlanta","msa","2020-02-11",55,46.5916993685395
"Atlanta","msa","2020-02-11",207,48.0101413411779
"Atlanta","msa","2020-02-11",190,99.519445407692
"Atlanta","msa","2020-02-11",528,67.0673150040521
"Atlanta","msa","2020-02-11",20,34.2640776637573
"Atlanta","msa","2020-02-11",334,115.368739012295
"Atlanta","msa","2020-02-11",58,68.6880775109741
"Atlanta","msa","2020-02-11",826,141.019133236984
"Atlanta","msa","2020-02-11",17,101.523181743703
"Atlanta","msa","2020-02-11",249,152.64792413538
"Atlanta","msa","2020-02-11",306,169.528233953496
"Atlanta","msa","2020-02-11",196,156.899695221013
"Atlanta","msa","2020-02-11",63,61.6257183196822
"Atlanta","msa","2020-02-11",214,76.9346977490476
"Atlanta","msa","2020-02-11",210,78.8698903397065
"Atlanta","msa","2020-02-11",297,115.057341626429
"Atlanta","msa","2020-02-11",182,149.560646932565
"Atlanta","msa","2020-02-11",10,106.559160589791
"Atlanta","msa","2020-02-11",38,39.1617730741527
"Atlanta","msa","2020-02-11",346,77.3497026313052
"Atlanta","msa","2020-02-11",196,91.4323770065353
"Atlanta","msa","2020-02-11",125,127.273622506078
"Atlanta","msa","2020-02-11",97,54.3231719017785
"Atlanta","msa","2020-02-11",321,84.380216809521
"Atlanta","msa","2020-02-11",67,196.619509755242
"Atlanta","msa","2020-02-11",216,233.391557288087
"Atlanta","msa","2020-02-11",55,130.634241526368
"Atlanta","msa","2020-02-11",27,238.627348467388
"Atlanta","msa","2020-02-11",100,121.471994640201
"Atlanta","msa","2020-02-11",57,112.024871419241
"Atlanta","msa","2020-02-11",39,80.9930614587332
"Atlanta","msa","2020-02-11",296,82.5657946818199
"Atlanta","msa","2020-02-11",116,70.8802390930814
"Atlanta","msa","2020-02-11",121,144.10994741353
"Atlanta","msa","2020-02-11",178,103.426650653838
"Atlanta","msa","2020-02-11",4,18.4919376786318
"Atlanta","msa","2020-02-11",298,271.884424827154
"Atlanta","msa","2020-02-11",230,89.7373303590015
"Atlanta","msa","2020-02-11",162,162.203654490611
"Atlanta","msa","2020-02-11",161,123.479303979075
"Atlanta","msa","2020-02-11",74,76.9221055383329
"Atlanta","msa","2020-02-11",530,249.574161106052
"Atlanta","msa","2020-02-11",604,184.386083364691
"Atlanta","msa","2020-02-11",589,265.631583922646
"Atlanta","msa","2020-02-11",200,188.779639844512
"Atlanta","msa","2020-02-11",343,69.4822625059964
"Atlanta","msa","2020-02-11",373,180.040903684485
"Atlanta","msa","2020-02-11",53,72.1428158457908
"Atlanta","msa","2020-02-11",86,93.9867424713392
"Atlanta","msa","2020-02-11",175,71.3453454585677
"Atlanta","msa","2020-02-11",459,202.759085440315
"Atlanta","msa","2020-02-11",28,54.017226785734
"Atlanta","msa","2020-02-11",1675,286.843615849643
"Atlanta","msa","2020-02-11",170,64.1857173290569
"Atlanta","msa","2020-02-11",37,101.245453856172
"Atlanta","msa","2020-02-11",112,132.469705304403
"Atlanta","msa","2020-02-11",102,49.8847221816233
"Atlanta","msa","2020-02-11",233,190.784902342025
"Atlanta","msa","2020-02-11",376,415.323306520225
"Atlanta","msa","2020-02-11",47,147.878831448431
"Atlanta","msa","2020-02-11",183,169.172705579119
"Atlanta","msa","2020-02-11",14,148.764664590997
"Atlanta","msa","2020-02-11",78,148.664381994254
"Atlanta","msa","2020-02-11",1427,230.358590938385
"Atlanta","msa","2020-02-11",297,166.973051253559
"Atlanta","msa","2020-02-11",33,38.5852554487256
"Atlanta","msa","2020-02-11",45,69.1374025698778
"Atlanta","msa","2020-02-11",212,100.537710116229
"Atlanta","msa","2020-02-11",167,60.5889118464596
"Atlanta","msa","2020-02-11",188,51.2506440063081
"Atlanta","msa","2020-02-11",269,174.108801389308
"Atlanta","msa","2020-02-11",220,122.225658389005
"Atlanta","msa","2020-02-11",23,98.3597990503912
"Atlanta","msa","2020-02-11",153,266.963807810543
"Atlanta","msa","2020-02-11",249,162.350564266568
"Atlanta","msa","2020-02-11",1115,245.355724879565
"Atlanta","msa","2020-02-11",673,326.955059910041
"Atlanta","msa","2020-02-11",109,224.519463874769
"Atlanta","msa","2020-02-11",291,65.2165897106863
"Atlanta","msa","2020-02-11",9,80.2267079482502
"Atlanta","msa","2020-02-11",37,32.5815893757013
"Atlanta","msa","2020-02-11",69,25.7773098698147
"Atlanta","msa","2020-02-11",38,72.1063270838412
"Atlanta","msa","2020-02-11",1894,420.655141355656
"Atlanta","msa","2020-02-11",35,37.0832475222223
"Atlanta","msa","2020-02-11",196,77.6629451750814
"Atlanta","msa","2020-02-11",271,345.388532142881
"Atlanta","msa","2020-02-11",59,50.7515736377667
"Atlanta","msa","2020-02-11",54,46.1715535605057
"Atlanta","msa","2020-02-11",60,46.3161378798742
"Atlanta","msa","2020-02-11",83,91.2800075748336
"Atlanta","msa","2020-02-11",132,65.0754748277346
"Atlanta","msa","2020-02-11",109,65.3031956617494
"Atlanta","msa","2020-02-11",110,44.53345271621
"Atlanta","msa","2020-02-11",230,84.0026945456264
"Atlanta","msa","2020-02-11",27,27.2168400296541
"Atlanta","msa","2020-02-11",345,115.692590955954
"Atlanta","msa","2020-02-11",192,85.7840335459667
"Atlanta","msa","2020-02-11",50,169.909761250935
