"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-14",199,332.945316213497
"Atlanta","msa","2020-02-14",256,88.483389419486
"Atlanta","msa","2020-02-14",114,219.577206440891
"Atlanta","msa","2020-02-14",253,114.216533480618
"Atlanta","msa","2020-02-14",360,129.383218657251
"Atlanta","msa","2020-02-14",131,93.6743865694103
"Atlanta","msa","2020-02-14",352,99.4031307291774
"Atlanta","msa","2020-02-14",263,172.185437911147
"Atlanta","msa","2020-02-14",1058,179.680148230429
"Atlanta","msa","2020-02-14",148,85.2459211759722
"Atlanta","msa","2020-02-14",635,253.713972277872
"Atlanta","msa","2020-02-14",146,121.164617643572
"Atlanta","msa","2020-02-14",950,239.399519310212
"Atlanta","msa","2020-02-14",143,142.906519865045
"Atlanta","msa","2020-02-14",224,225.551838870009
"Atlanta","msa","2020-02-14",447,275.930623352038
"Atlanta","msa","2020-02-14",413,292.22784434809
"Atlanta","msa","2020-02-14",365,168.152026213013
"Atlanta","msa","2020-02-14",325,168.164348549349
"Atlanta","msa","2020-02-14",466,173.963445873137
"Atlanta","msa","2020-02-14",439,227.798675926591
"Atlanta","msa","2020-02-14",403,281.957313437423
"Atlanta","msa","2020-02-14",62,171.421893152264
"Atlanta","msa","2020-02-14",140,84.2721056062926
"Atlanta","msa","2020-02-14",659,170.267127102914
"Atlanta","msa","2020-02-14",432,182.698066637581
"Atlanta","msa","2020-02-14",231,255.951596448569
"Atlanta","msa","2020-02-14",240,114.047036575001
"Atlanta","msa","2020-02-14",460,175.219036924532
"Atlanta","msa","2020-02-14",366,447.489256278868
"Atlanta","msa","2020-02-14",381,410.409783915683
"Atlanta","msa","2020-02-14",89,183.02739677818
"Atlanta","msa","2020-02-14",145,342.893516009747
"Atlanta","msa","2020-02-14",153,166.407147741298
"Atlanta","msa","2020-02-14",109,201.505554150742
"Atlanta","msa","2020-02-14",135,154.217461613454
"Atlanta","msa","2020-02-14",186,171.352707896293
"Atlanta","msa","2020-02-14",564,171.670424792784
"Atlanta","msa","2020-02-14",272,258.333143583772
"Atlanta","msa","2020-02-14",469,282.35027327925
"Atlanta","msa","2020-02-14",48,38.5047960787383
"Atlanta","msa","2020-02-14",810,601.982028540214
"Atlanta","msa","2020-02-14",546,235.612944789166
"Atlanta","msa","2020-02-14",974,427.907854963593
"Atlanta","msa","2020-02-14",263,191.600797384421
"Atlanta","msa","2020-02-14",150,180.4767803896
"Atlanta","msa","2020-02-14",538,576.011711370923
"Atlanta","msa","2020-02-14",943,281.154209516628
"Atlanta","msa","2020-02-14",529,524.170134656557
"Atlanta","msa","2020-02-14",315,330.51929793322
"Atlanta","msa","2020-02-14",439,142.15916497216
"Atlanta","msa","2020-02-14",490,288.677994256971
"Atlanta","msa","2020-02-14",142,211.685170335888
"Atlanta","msa","2020-02-14",261,221.267271603778
"Atlanta","msa","2020-02-14",306,116.346194753117
"Atlanta","msa","2020-02-14",955,401.46205673584
"Atlanta","msa","2020-02-14",122,95.7747300886602
"Atlanta","msa","2020-02-14",1716,461.319767850114
"Atlanta","msa","2020-02-14",334,146.463986395634
"Atlanta","msa","2020-02-14",208,220.990593145154
"Atlanta","msa","2020-02-14",397,217.151283324047
"Atlanta","msa","2020-02-14",210,118.214717026296
"Atlanta","msa","2020-02-14",317,274.050148861791
"Atlanta","msa","2020-02-14",438,561.69365526375
"Atlanta","msa","2020-02-14",156,273.614576125973
"Atlanta","msa","2020-02-14",452,355.111984939209
"Atlanta","msa","2020-02-14",76,315.933099746947
"Atlanta","msa","2020-02-14",224,302.243013637809
"Atlanta","msa","2020-02-14",1824,346.484476696791
"Atlanta","msa","2020-02-14",436,323.927337332577
"Atlanta","msa","2020-02-14",147,115.447936793907
"Atlanta","msa","2020-02-14",147,177.836000791445
"Atlanta","msa","2020-02-14",396,218.043372257664
"Atlanta","msa","2020-02-14",360,133.02834186084
"Atlanta","msa","2020-02-14",400,126.843949345715
"Atlanta","msa","2020-02-14",411,293.314758005428
"Atlanta","msa","2020-02-14",471,228.791502070514
"Atlanta","msa","2020-02-14",107,189.740865000093
"Atlanta","msa","2020-02-14",407,425.304125973704
"Atlanta","msa","2020-02-14",349,232.518381297014
"Atlanta","msa","2020-02-14",1299,377.648938382798
"Atlanta","msa","2020-02-14",1267,551.287094385843
"Atlanta","msa","2020-02-14",806,508.962409761995
"Atlanta","msa","2020-02-14",620,186.643711099957
"Atlanta","msa","2020-02-14",82,151.967174882611
"Atlanta","msa","2020-02-14",56,76.0018091002389
"Atlanta","msa","2020-02-14",132,55.7818956718904
"Atlanta","msa","2020-02-14",85,125.282295053901
"Atlanta","msa","2020-02-14",3121,673.697789147582
"Atlanta","msa","2020-02-14",104,72.6092728338051
"Atlanta","msa","2020-02-14",236,113.224440041631
"Atlanta","msa","2020-02-14",342,486.671558640882
"Atlanta","msa","2020-02-14",152,79.8350619675302
"Atlanta","msa","2020-02-14",109,75.774368206796
"Atlanta","msa","2020-02-14",109,93.2526358308186
"Atlanta","msa","2020-02-14",191,163.566767491709
"Atlanta","msa","2020-02-14",254,123.918035278457
"Atlanta","msa","2020-02-14",215,125.561400240842
"Atlanta","msa","2020-02-14",191,81.789300129572
"Atlanta","msa","2020-02-14",256,133.587841274723
"Atlanta","msa","2020-02-14",59,50.9167333861373
"Atlanta","msa","2020-02-14",435,193.700766091021
"Atlanta","msa","2020-02-14",292,135.758435474274
"Atlanta","msa","2020-02-14",113,288.824295367388
"Atlanta","msa","2020-02-14",139,194.996729080362
"Atlanta","msa","2020-02-14",197,209.404675649475
"Atlanta","msa","2020-02-14",951,420.25208970947
"Atlanta","msa","2020-02-14",1405,626.408038186865
"Atlanta","msa","2020-02-14",465,263.087541023334
"Atlanta","msa","2020-02-14",63,77.5573820795429
"Atlanta","msa","2020-02-14",463,256.848050386906
"Atlanta","msa","2020-02-14",81,156.81950903947
"Atlanta","msa","2020-02-14",169,364.912896262587
"Atlanta","msa","2020-02-14",1240,564.630683690758
"Atlanta","msa","2020-02-14",249,224.352244168237
"Atlanta","msa","2020-02-14",295,343.001059249312
"Atlanta","msa","2020-02-14",371,187.080587947168
"Atlanta","msa","2020-02-14",211,252.261816176748
"Atlanta","msa","2020-02-14",1164,451.248221083044
"Atlanta","msa","2020-02-14",123,157.35879890443
"Atlanta","msa","2020-02-14",74,76.5858283769458
"Atlanta","msa","2020-02-14",1591,383.734932970858
"Atlanta","msa","2020-02-14",85,74.4019572022062
"Atlanta","msa","2020-02-14",586,312.788388284244
"Atlanta","msa","2020-02-14",179,184.260767536539
"Atlanta","msa","2020-02-14",523,383.027367078126
"Atlanta","msa","2020-02-14",510,295.231565935047
"Atlanta","msa","2020-02-14",167,106.458031581811
"Atlanta","msa","2020-02-14",111,152.565728747206
"Atlanta","msa","2020-02-14",364,328.479284731817
"Atlanta","msa","2020-02-14",294,155.555598133282
"Atlanta","msa","2020-02-14",197,104.906600711676
"Atlanta","msa","2020-02-14",434,341.407550502995
"Atlanta","msa","2020-02-14",332,264.948500289075
"Atlanta","msa","2020-02-14",98,60.7356052140697
"Atlanta","msa","2020-02-14",451,224.094617857097
"Atlanta","msa","2020-02-14",329,262.059647484513
"Atlanta","msa","2020-02-14",1811,502.367806267011
"Atlanta","msa","2020-02-14",228,335.177215445304
"Atlanta","msa","2020-02-14",80,269.575022463709
"Atlanta","msa","2020-02-14",421,316.242195745371
"Atlanta","msa","2020-02-14",488,211.526643695201
"Atlanta","msa","2020-02-14",76,109.068051681641
"Atlanta","msa","2020-02-14",1614,559.47708445282
"Atlanta","msa","2020-02-14",129,314.894374024577
"Atlanta","msa","2020-02-14",194,195.057338965826
"Atlanta","msa","2020-02-14",415,322.421319701166
"Atlanta","msa","2020-02-14",942,249.788100006128
"Atlanta","msa","2020-02-14",319,211.918850644817
"Atlanta","msa","2020-02-14",196,149.648417817791
"Atlanta","msa","2020-02-14",410,315.672700930322
"Atlanta","msa","2020-02-14",124,71.7496727193127
"Atlanta","msa","2020-02-14",445,282.402434119004
"Atlanta","msa","2020-02-14",211,149.14731396709
"Atlanta","msa","2020-02-14",247,248.925770899935
"Atlanta","msa","2020-02-14",301,74.3161299195156
"Atlanta","msa","2020-02-14",1173,297.97665077486
"Atlanta","msa","2020-02-14",286,278.124706780516
"Atlanta","msa","2020-02-14",161,115.865176038973
"Atlanta","msa","2020-02-14",381,217.491651545316
"Atlanta","msa","2020-02-14",305,180.579790534718
"Atlanta","msa","2020-02-14",369,286.615008839056
"Atlanta","msa","2020-02-14",1642,319.65231441893
"Atlanta","msa","2020-02-14",802,301.653282091933
"Atlanta","msa","2020-02-14",262,218.074854706767
"Atlanta","msa","2020-02-14",194,91.7837578335441
"Atlanta","msa","2020-02-14",231,243.505045439184
"Atlanta","msa","2020-02-14",1262,483.874487813201
"Atlanta","msa","2020-02-14",454,247.159014634663
"Atlanta","msa","2020-02-14",97,151.977812862008
"Atlanta","msa","2020-02-14",203,247.24333635037
"Atlanta","msa","2020-02-14",612,77.0975125577281
"Atlanta","msa","2020-02-14",269,123.912352101842
"Atlanta","msa","2020-02-14",153,244.089950851635
"Atlanta","msa","2020-02-14",61,61.3015999233983
"Atlanta","msa","2020-02-14",438,172.39155975874
"Atlanta","msa","2020-02-14",873,269.750834152262
"Atlanta","msa","2020-02-14",404,687.835851159347
"Atlanta","msa","2020-02-14",324,109.970696840048
"Atlanta","msa","2020-02-14",186,63.0931188165809
"Atlanta","msa","2020-02-14",401,322.505024228201
"Atlanta","msa","2020-02-14",163,411.621754370281
"Atlanta","msa","2020-02-14",938,295.151199217508
"Atlanta","msa","2020-02-14",364,371.513970378338
"Atlanta","msa","2020-02-14",257,83.9682691297618
"Atlanta","msa","2020-02-14",1017,661.32084071087
"Atlanta","msa","2020-02-14",1729,506.875446667535
"Atlanta","msa","2020-02-14",143,407.852588415624
"Atlanta","msa","2020-02-14",142,160.932292909717
"Atlanta","msa","2020-02-14",216,129.176918023241
"Atlanta","msa","2020-02-14",113,172.301489066025
"Atlanta","msa","2020-02-14",285,261.345343802189
"Atlanta","msa","2020-02-14",506,243.049860022066
"Atlanta","msa","2020-02-14",1663,266.958710033264
"Atlanta","msa","2020-02-14",372,255.573052446281
"Atlanta","msa","2020-02-14",1653,411.785141814939
"Atlanta","msa","2020-02-14",561,370.50001534448
"Atlanta","msa","2020-02-14",357,262.078334358548
"Atlanta","msa","2020-02-14",53,180.212569933556
"Atlanta","msa","2020-02-14",135,174.937223468494
"Atlanta","msa","2020-02-14",92,45.5614239619197
"Atlanta","msa","2020-02-14",238,114.851242689089
"Atlanta","msa","2020-02-14",769,738.21457075306
"Atlanta","msa","2020-02-14",286,108.758330917879
"Atlanta","msa","2020-02-14",98,162.627838719645
"Atlanta","msa","2020-02-14",358,326.121954454575
"Atlanta","msa","2020-02-14",687,380.00133155889
"Atlanta","msa","2020-02-14",198,140.862185908121
"Atlanta","msa","2020-02-14",266,406.222913224223
"Atlanta","msa","2020-02-14",162,193.990499140565
"Atlanta","msa","2020-02-14",2600,381.846852586064
"Atlanta","msa","2020-02-14",397,454.496379613592
"Atlanta","msa","2020-02-14",307,431.209704494101
"Atlanta","msa","2020-02-14",625,370.801275176814
"Atlanta","msa","2020-02-14",1477,662.292229898564
"Atlanta","msa","2020-02-14",251,319.736525751628
"Atlanta","msa","2020-02-14",283,167.535886876274
"Atlanta","msa","2020-02-14",784,309.796654085769
"Atlanta","msa","2020-02-14",472,251.234494449401
"Atlanta","msa","2020-02-14",394,228.395391537977
"Atlanta","msa","2020-02-14",426,333.588732312717
"Atlanta","msa","2020-02-14",284,254.623657133587
"Atlanta","msa","2020-02-14",1096,288.830277210614
"Atlanta","msa","2020-02-14",231,159.860637269399
"Atlanta","msa","2020-02-14",539,305.541458680432
"Atlanta","msa","2020-02-14",503,358.744943176501
"Atlanta","msa","2020-02-14",306,211.238223729732
"Atlanta","msa","2020-02-14",435,162.237967981521
"Atlanta","msa","2020-02-14",399,274.039035486552
"Atlanta","msa","2020-02-14",300,266.804092159169
"Atlanta","msa","2020-02-14",1675,485.234592497252
"Atlanta","msa","2020-02-14",620,340.249003049619
"Atlanta","msa","2020-02-14",336,265.467356913223
"Atlanta","msa","2020-02-14",302,203.486674752726
"Atlanta","msa","2020-02-14",196,157.94583496088
"Atlanta","msa","2020-02-14",218,404.171221290316
"Atlanta","msa","2020-02-14",250,70.6128754083895
"Atlanta","msa","2020-02-14",189,170.516517260198
"Atlanta","msa","2020-02-14",72,47.5246004184398
"Atlanta","msa","2020-02-14",314,268.96825558282
"Atlanta","msa","2020-02-14",271,159.8779265945
"Atlanta","msa","2020-02-14",588,380.767083116145
"Atlanta","msa","2020-02-14",901,304.628536558253
"Atlanta","msa","2020-02-14",436,302.444945055093
"Atlanta","msa","2020-02-14",121,57.3201354930005
"Atlanta","msa","2020-02-14",126,64.1137888106742
"Atlanta","msa","2020-02-14",512,418.824748502817
"Atlanta","msa","2020-02-14",299,85.5752889473528
"Atlanta","msa","2020-02-14",353,120.57995058156
"Atlanta","msa","2020-02-14",329,165.595008575555
"Atlanta","msa","2020-02-14",369,175.851481358967
"Atlanta","msa","2020-02-14",293,233.466971808141
"Atlanta","msa","2020-02-14",318,154.859033265106
"Atlanta","msa","2020-02-14",456,333.838730921813
"Atlanta","msa","2020-02-14",271,132.744942279908
"Atlanta","msa","2020-02-14",543,141.721531467454
"Atlanta","msa","2020-02-14",522,272.909528161967
"Atlanta","msa","2020-02-14",202,130.305813654581
"Atlanta","msa","2020-02-14",289,101.256480848531
"Atlanta","msa","2020-02-14",206,131.687074821838
"Atlanta","msa","2020-02-14",366,166.902867578424
"Atlanta","msa","2020-02-14",67,117.657783423795
"Atlanta","msa","2020-02-14",320,76.7261776461059
"Atlanta","msa","2020-02-14",79,100.950386034805
