"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-11",184,284.634731510733
"Atlanta","msa","2020-02-11",218,88.189626554893
"Atlanta","msa","2020-02-11",63,205.207863706861
"Atlanta","msa","2020-02-11",170,74.0292270496639
"Atlanta","msa","2020-02-11",212,83.1907917956052
"Atlanta","msa","2020-02-11",55,61.0774516892589
"Atlanta","msa","2020-02-11",207,63.240511924897
"Atlanta","msa","2020-02-11",190,132.074658283244
"Atlanta","msa","2020-02-11",528,90.0227060216218
"Atlanta","msa","2020-02-11",20,46.2471220117539
"Atlanta","msa","2020-02-11",334,150.369396634534
"Atlanta","msa","2020-02-11",58,92.6534565136376
"Atlanta","msa","2020-02-11",826,189.019831206099
"Atlanta","msa","2020-02-11",17,136.280371947281
"Atlanta","msa","2020-02-11",249,201.613167044707
"Atlanta","msa","2020-02-11",306,224.189737082661
"Atlanta","msa","2020-02-11",196,206.013879848932
"Atlanta","msa","2020-02-11",63,82.3412298891932
"Atlanta","msa","2020-02-11",214,103.50578354448
"Atlanta","msa","2020-02-11",210,104.71852351877
"Atlanta","msa","2020-02-11",297,153.39296576905
"Atlanta","msa","2020-02-11",182,198.895217031483
"Atlanta","msa","2020-02-11",10,147.533084885022
"Atlanta","msa","2020-02-11",38,53.3341502756416
"Atlanta","msa","2020-02-11",346,103.462267231723
"Atlanta","msa","2020-02-11",196,122.173349558656
"Atlanta","msa","2020-02-11",125,167.510022281329
"Atlanta","msa","2020-02-11",97,73.8210957971749
"Atlanta","msa","2020-02-11",321,111.128424707646
"Atlanta","msa","2020-02-11",67,261.392087068759
"Atlanta","msa","2020-02-11",216,304.025481745447
"Atlanta","msa","2020-02-11",55,171.308443899167
"Atlanta","msa","2020-02-11",27,309.730442063758
"Atlanta","msa","2020-02-11",100,161.021978836101
"Atlanta","msa","2020-02-11",57,149.3756622072
"Atlanta","msa","2020-02-11",39,110.150620492284
"Atlanta","msa","2020-02-11",296,111.842398975582
"Atlanta","msa","2020-02-11",116,94.6073902906452
"Atlanta","msa","2020-02-11",121,192.074647596296
"Atlanta","msa","2020-02-11",178,138.103266973131
"Atlanta","msa","2020-02-11",4,27.4634951489157
"Atlanta","msa","2020-02-11",298,351.587061864996
"Atlanta","msa","2020-02-11",230,119.944188933985
"Atlanta","msa","2020-02-11",162,218.296196006581
"Atlanta","msa","2020-02-11",161,162.332865369823
"Atlanta","msa","2020-02-11",74,101.972736297683
"Atlanta","msa","2020-02-11",530,323.930482680487
"Atlanta","msa","2020-02-11",604,243.220552653482
"Atlanta","msa","2020-02-11",589,350.728653811122
"Atlanta","msa","2020-02-11",200,254.418163032157
"Atlanta","msa","2020-02-11",343,90.905063170884
"Atlanta","msa","2020-02-11",373,235.524651658808
"Atlanta","msa","2020-02-11",53,99.7401926885466
"Atlanta","msa","2020-02-11",86,126.797690646266
"Atlanta","msa","2020-02-11",175,94.7376520508055
"Atlanta","msa","2020-02-11",459,266.397440834011
"Atlanta","msa","2020-02-11",28,73.464547817696
"Atlanta","msa","2020-02-11",1675,379.290765873424
"Atlanta","msa","2020-02-11",170,86.5084077835691
"Atlanta","msa","2020-02-11",37,137.108211388478
"Atlanta","msa","2020-02-11",112,175.517467750398
"Atlanta","msa","2020-02-11",102,68.2978568702391
"Atlanta","msa","2020-02-11",233,253.215082440923
"Atlanta","msa","2020-02-11",376,539.549598089915
"Atlanta","msa","2020-02-11",47,196.180643060053
"Atlanta","msa","2020-02-11",183,224.715590742957
"Atlanta","msa","2020-02-11",14,199.04802382632
"Atlanta","msa","2020-02-11",78,200.084884135413
"Atlanta","msa","2020-02-11",1427,297.431707179542
"Atlanta","msa","2020-02-11",297,215.521696855215
"Atlanta","msa","2020-02-11",33,51.8083356732058
"Atlanta","msa","2020-02-11",45,91.4992238843681
"Atlanta","msa","2020-02-11",212,135.350189345688
"Atlanta","msa","2020-02-11",167,82.1868089604941
"Atlanta","msa","2020-02-11",188,72.7270388110225
"Atlanta","msa","2020-02-11",269,232.499224997716
"Atlanta","msa","2020-02-11",220,164.159725499265
"Atlanta","msa","2020-02-11",23,132.088593883857
"Atlanta","msa","2020-02-11",153,348.011410175052
"Atlanta","msa","2020-02-11",249,215.145071927967
"Atlanta","msa","2020-02-11",1115,321.510434515645
"Atlanta","msa","2020-02-11",673,430.009516599168
"Atlanta","msa","2020-02-11",109,292.125610217714
"Atlanta","msa","2020-02-11",291,93.5382586340715
"Atlanta","msa","2020-02-11",9,110.122408114476
"Atlanta","msa","2020-02-11",37,44.9402557550028
"Atlanta","msa","2020-02-11",69,36.7506699541614
"Atlanta","msa","2020-02-11",38,102.539922279003
"Atlanta","msa","2020-02-11",1894,549.531255956998
"Atlanta","msa","2020-02-11",35,52.423954703983
"Atlanta","msa","2020-02-11",196,108.307691775568
"Atlanta","msa","2020-02-11",271,450.165697178044
"Atlanta","msa","2020-02-11",59,67.181428336328
"Atlanta","msa","2020-02-11",54,61.4797577769028
"Atlanta","msa","2020-02-11",60,62.9391428524731
"Atlanta","msa","2020-02-11",83,126.43249885551
"Atlanta","msa","2020-02-11",132,87.2517348376568
"Atlanta","msa","2020-02-11",109,85.697281175035
"Atlanta","msa","2020-02-11",110,58.7346995037571
"Atlanta","msa","2020-02-11",230,112.198948804405
"Atlanta","msa","2020-02-11",27,36.3690410521397
"Atlanta","msa","2020-02-11",345,156.394525294398
"Atlanta","msa","2020-02-11",192,115.653233267084
"Atlanta","msa","2020-02-11",50,224.630774431494
"Atlanta","msa","2020-02-11",62,164.160837140828
"Atlanta","msa","2020-02-11",100,117.740891655775
"Atlanta","msa","2020-02-11",479,258.97645899613
"Atlanta","msa","2020-02-11",1028,467.389403521458
"Atlanta","msa","2020-02-11",327,235.858209370226
"Atlanta","msa","2020-02-11",10,57.5643699847545
"Atlanta","msa","2020-02-11",355,247.925761295646
"Atlanta","msa","2020-02-11",35,148.300860702353
"Atlanta","msa","2020-02-11",52,341.840520252073
"Atlanta","msa","2020-02-11",1046,356.746214507459
"Atlanta","msa","2020-02-11",49,138.368193236177
"Atlanta","msa","2020-02-11",97,199.153033362985
"Atlanta","msa","2020-02-11",102,110.113036151412
"Atlanta","msa","2020-02-11",41,156.327023809022
"Atlanta","msa","2020-02-11",740,299.500933758611
"Atlanta","msa","2020-02-11",69,139.937376432363
"Atlanta","msa","2020-02-11",63,67.91054909754
"Atlanta","msa","2020-02-11",856,246.214531978753
"Atlanta","msa","2020-02-11",31,57.1213625823607
"Atlanta","msa","2020-02-11",374,233.762828568929
"Atlanta","msa","2020-02-11",126,124.791889105416
"Atlanta","msa","2020-02-11",276,317.833107670855
"Atlanta","msa","2020-02-11",299,235.174630886035
"Atlanta","msa","2020-02-11",89,90.8699031148699
"Atlanta","msa","2020-02-11",52,131.637145091247
"Atlanta","msa","2020-02-11",290,215.132265150509
"Atlanta","msa","2020-02-11",89,95.2230255839253
"Atlanta","msa","2020-02-11",82,70.9704700833794
"Atlanta","msa","2020-02-11",254,247.219799195155
"Atlanta","msa","2020-02-11",206,201.231158189797
"Atlanta","msa","2020-02-11",61,43.2766864255678
"Atlanta","msa","2020-02-11",301,173.890069843521
"Atlanta","msa","2020-02-11",156,254.41635594302
"Atlanta","msa","2020-02-11",1904,426.52273431758
"Atlanta","msa","2020-02-11",136,320.835983503678
"Atlanta","msa","2020-02-11",58,235.399581707197
"Atlanta","msa","2020-02-11",95,228.130803524995
"Atlanta","msa","2020-02-11",194,149.207609248872
"Atlanta","msa","2020-02-11",16,76.1285183849261
"Atlanta","msa","2020-02-11",700,388.839675937972
"Atlanta","msa","2020-02-11",24,255.488487353744
