"day","empirical","homo","power","exp"
2020-02-10,167,138.837756249479,3259.23373921609,371.46748796144
2020-02-10,202,138.829603408558,1093.40789797906,127.745003774002
2020-02-10,53,138.864311217052,2626.29025910196,285.335273156562
2020-02-10,144,138.843113830656,951.855117493897,101.570232442883
2020-02-10,222,138.824944642317,1045.0050075224,112.886329853224
2020-02-10,66,138.861283018995,749.759854781484,80.9234136964475
2020-02-10,269,138.813996541651,780.183649177129,85.0177755772562
2020-02-10,198,138.830535161806,1543.23005083476,175.849645107255
2020-02-10,567,138.744580924662,1003.08300060448,118.078484858777
2020-02-10,25,138.870833489789,553.435121370825,65.4276951739852
2020-02-10,356,138.793730908503,1838.74670219179,194.100044290358
2020-02-10,65,138.861515957307,1101.67721317144,130.037600620145
2020-02-10,826,138.684249901844,2067.48468238886,243.990970365222
2020-02-10,22,138.871532304725,1513.10907744044,178.856873095619
2020-02-10,239,138.820984691012,2344.9843916075,260.779968408233
2020-02-10,297,138.807474268914,2634.70172393402,293.554834111106
2020-02-10,215,138.826575210501,2417.41495000702,261.633946551748
2020-02-10,53,138.864311217052,919.517835890266,106.118747829422
2020-02-10,264,138.815161233211,1133.74241653362,134.575900003006
2020-02-10,211,138.827506963749,1314.14967247731,146.767698019705
2020-02-10,302,138.806309577353,1827.24993122109,209.862012125368
2020-02-10,208,138.828205778685,2257.9089270205,258.113498046835
2020-02-10,14,138.873395811221,1555.46163222154,205.930594420489
2020-02-10,46,138.865941785236,590.256786511926,72.4394011788651
2020-02-10,355,138.793963846815,1165.29586401689,137.880030885897
2020-02-10,221,138.825177580629,1396.95180173469,161.580391256487
2020-02-10,137,138.84474439884,2062.51844956092,226.877565498209
2020-02-10,115,138.849869041705,846.561748639478,103.885707467437
2020-02-10,331,138.799554366304,1477.60205325419,160.652755645232
2020-02-10,70,138.860351265747,2951.94700722541,336.78621404579
2020-02-10,264,138.815161233211,3615.87886300619,384.462669870984
2020-02-10,54,138.86407827874,2009.39317275263,217.272902617177
2020-02-10,29,138.869901736541,3706.49170773272,386.99341885972
2020-02-10,109,138.851266671577,2008.97838036288,225.918375400322
2020-02-10,34,138.86873704498,1641.19987795078,187.958957908992
2020-02-10,40,138.867339415108,1238.34278363173,152.255315770687
2020-02-10,279,138.81166715853,1264.83721892717,153.018738797779
2020-02-10,117,138.849403165081,1041.24875148461,119.566132674358
2020-02-10,96,138.854294869634,2218.46983526366,255.722744865781
2020-02-10,174,138.836125681295,1553.49618832222,179.407420983809
2020-02-10,15,138.873162872909,271.234196371833,41.5396268902848
2020-02-10,311,138.804213132545,4404.86320164245,453.34515267496
2020-02-10,238,138.821217629324,1344.22314874323,156.558220463005
2020-02-10,164,138.838455064415,2404.42808344481,286.070805880273
2020-02-10,145,138.842880892344,1907.17559508121,208.499399821183
2020-02-10,82,138.857556006003,1161.94276448857,130.675702048596
2020-02-10,480,138.76484655781,3891.82000368106,408.223312960805
2020-02-10,636,138.728508181132,2770.75998072929,309.813384144381
2020-02-10,612,138.734098700621,4072.47474347513,455.846296989705
2020-02-10,169,138.837290372855,2833.6058774866,338.445222076692
2020-02-10,314,138.803514317609,1115.52899469992,118.864306210813
2020-02-10,323,138.8014178728,2972.76187331094,319.844979540534
2020-02-10,27,138.870367613165,961.495609343767,127.636267704649
2020-02-10,70,138.860351265747,1300.30703440916,157.299305663949
2020-02-10,159,138.839619755975,1143.81775159098,127.607498157833
2020-02-10,514,138.756926655201,3019.93661875469,332.494057748822
2020-02-10,31,138.869435859917,766.325319013517,96.2774616301249
2020-02-10,1626,138.49789925221,4372.17272156113,492.062733628823
2020-02-10,163,138.838688002727,935.119693711882,109.457501775413
2020-02-10,42,138.866873538484,1467.74863644182,180.536783570349
2020-02-10,111,138.850800794953,1996.68890200226,225.439696655472
2020-02-10,91,138.855459561194,693.154405758529,87.102287201502
2020-02-10,215,138.826575210501,2915.65029023543,331.352510427986
2020-02-10,363,138.792100340319,6604.1811020189,695.584644379937
2020-02-10,41,138.867106476796,2231.28156746152,251.506641328142
2020-02-10,180,138.834728051422,2708.24817785112,306.933780192659
2020-02-10,11,138.874094626157,2128.66772354998,252.389279441715
2020-02-10,82,138.857556006003,2294.3013830474,273.410228819773
2020-02-10,1418,138.546350421115,3617.4351968152,372.839807272937
2020-02-10,303,138.806076639041,2657.06186609736,272.681974266872
2020-02-10,38,138.867805291732,630.899573142828,71.9699644247029
