"msa","empirical","homo","power","exp"
"Atlanta",2499,2089.39504061337,17644.4424181805,2303.1571148656
"Atlanta",1155,2089.87425270816,5654.60983951493,770.191577301958
"Atlanta",1482,2089.75765869403,13413.2676483993,1747.81347580294
"Atlanta",1889,2089.61254015044,16979.9089740123,2051.25564835162
"Atlanta",3554,2089.01887338122,20005.1671349697,2507.9542606826
"Atlanta",2872,2089.2620449948,9277.93125527282,1207.87186364265
"Atlanta",1222,2089.85036341474,17320.5841697684,2123.51964426068
"Atlanta",1879,2089.61610571662,19891.9104340286,2459.12674797998
"Atlanta",5284,2088.40203043182,27344.1671699875,3224.86699604072
"Atlanta",2257,2089.48132731496,17555.1152259464,2254.58771571579
"Atlanta",2959,2089.23102456902,17038.1404778696,2029.97434920034
"Atlanta",2166,2089.51377396721,8827.57383337264,1151.78076106492
"Atlanta",294,2090.18124795639,22594.1216363291,2945.92314969377
"Atlanta",2082,2089.54372472314,10957.7017551351,1489.49312617075
"Atlanta",1710,2089.67636378509,14057.8303809362,1934.56411720198
"Atlanta",1162,2089.87175681183,19767.3996239634,2702.32559854033
"Atlanta",3793,2088.93365634948,27830.3044307506,3520.69239349166
"Atlanta",5298,2088.39703863916,23108.1842226727,2951.38665271342
"Atlanta",2304,2089.46456915391,17647.9411544593,2218.94442281086
"Atlanta",2946,2089.23565980505,15678.7034257003,2007.93009151871
"Atlanta",2695,2089.32515551621,16334.0030286416,2168.89736906474
"Atlanta",3876,2088.90406215017,20142.187605822,2685.4400037092
"Atlanta",1013,2089.92488374794,11928.1085126179,1649.47018949127
"Atlanta",2823,2089.27951626909,17715.0640905452,2112.52170174404
"Atlanta",3124,2089.17219272702,18803.0018298777,2402.79992461396
"Atlanta",1206,2089.85606832064,17472.5837925436,2253.86684909237
"Atlanta",1575,2089.72449892854,22294.8504651871,2735.3474906323
"Atlanta",2783,2089.29377853381,12427.6755345258,1630.59186494856
"Atlanta",3024,2089.20784838884,16327.4587326062,2099.19602246712
"Atlanta",4900,2088.53894817319,51134.0606249434,6247.30748828968
"Atlanta",1719,2089.67315477552,13899.0486792807,1971.14797080669
"Atlanta",497,2090.1088669629,12320.4254082672,1593.28259500437
"Atlanta",2477,2089.40288485897,15188.5461450134,2005.83607249591
"Atlanta",917,2089.95911318328,7765.38582429715,1184.39327871481
"Atlanta",1330,2089.81185529998,10714.0064585323,1457.11046452598
"Atlanta",2250,2089.48382321129,18651.4152640957,2366.92618196839
"Atlanta",565,2090.08462111287,11244.065379907,1616.49819835716
"Atlanta",5292,2088.39917797887,15675.3129204847,1954.72026617529
"Atlanta",2165,2089.51413052383,17986.02132672,2283.14615452353
"Atlanta",3854,2088.91190639577,28866.7173889278,3357.13783218676
"Atlanta",906,2089.96303530608,5387.9290811947,733.720920317919
"Atlanta",5461,2088.33891991041,52511.14523544,5994.21927390722
"Atlanta",6106,2088.1089408917,31932.3374053908,3854.55241647033
"Atlanta",7768,2087.51634379233,51048.3485192137,6168.60781160422
"Atlanta",2473,2089.40431108544,24108.4678957766,2980.0141565198
"Atlanta",815,2089.99548195833,19611.7440805468,2559.30421199604
"Atlanta",2249,2089.4841797679,27767.9683931668,3232.34138133585
"Atlanta",2200,2089.50165104219,13533.756586924,1916.8542116928
"Atlanta",1568,2089.72699482486,22679.3258364144,3104.50797937971
"Atlanta",2048,2089.55584764815,29145.7130110043,3607.99579695364
"Atlanta",867,2089.97694101419,10138.1220134232,1387.4082691998
"Atlanta",1936,2089.59578198939,26241.5045910631,3260.10027952536
"Atlanta",1844,2089.62858519826,25744.2458699962,3259.5244143491
"Atlanta",2756,2089.3034055625,34206.2080290683,4225.40822125884
"Atlanta",1502,2089.75052756166,11995.4548250764,1531.64667958465
"Atlanta",6861,2087.839740645,31501.6936601165,3890.83432163247
"Atlanta",2899,2089.25241796611,13412.7787814881,1697.16725758271
"Atlanta",1169,2089.86926091551,32367.8210213191,4196.67185438181
"Atlanta",3821,2088.92367276417,23694.0726676059,2904.10752696344
"Atlanta",3312,2089.10516008281,25139.8127514215,3217.69556047877
"Atlanta",4108,2088.82134101476,17836.1156150449,2301.37859009512
"Atlanta",2844,2089.27202858011,19830.7565747343,2472.76390291308
"Atlanta",1964,2089.58579840408,14314.7149626986,2028.89777142055
"Atlanta",2703,2089.32230306326,26228.8637525186,3369.05040177876
"Atlanta",1509,2089.74803166534,14495.2389936483,1926.90854611132
"Atlanta",5593,2088.29185443681,42270.2353607304,5189.03755729846
"Atlanta",895,2089.96695742888,29370.0784074341,3648.85897069244
"Atlanta",3748,2088.9497013973,24626.1521239839,3186.50357419507
"Atlanta",1582,2089.72200303221,17145.6740512342,2189.88180285203
"Atlanta",2177,2089.50985184441,17878.214667323,2175.1714070501
