"msa","empirical","homo","power","exp"
"Chicago",815,1277.13941484214,6793.84633789368,720.572924238961
"Chicago",940,1277.12262414453,8397.62532399317,868.812594078516
"Chicago",830,1277.13739995843,5123.78644313267,553.413372994557
"Chicago",1272,1277.07802805167,10110.7360829092,1134.61351816262
"Chicago",1262,1277.07937130748,8290.51705084793,841.228686931746
"Chicago",939,1277.12275847011,7722.68097810653,973.815076251387
"Chicago",826,1277.13793726075,9650.14766230409,1140.63462483898
"Chicago",897,1277.12840014451,4032.121394484,422.5293520134
"Chicago",848,1277.13498209797,4759.38046999643,490.111519434363
"Chicago",671,1277.15875772579,5876.08392143902,579.105170495438
"Chicago",948,1277.12154953988,5774.83358775123,609.961708206092
"Chicago",1633,1277.02953651697,6544.814964272,691.103146700793
"Chicago",1209,1277.08649056327,7899.74385072007,880.28163934891
"Chicago",252,1277.21504014419,6976.91557939261,728.344440788692
"Chicago",1158,1277.09334116789,7201.78754702074,751.475596368012
"Chicago",5790,1276.47114507716,16756.3342253304,1750.01926565639
"Chicago",1216,1277.0855502842,11363.8562619156,1213.29674874372
"Chicago",1135,1277.09643065626,20655.3123531326,2125.66459857857
"Chicago",1794,1277.00791009844,8685.87726201366,858.638167572057
"Chicago",3653,1276.75819884354,8667.65867654407,902.578217560441
"Chicago",0,1277.24889019058,6200.90974970477,634.655405574047
"Chicago",2064,1276.9716421916,5153.66429086605,660.373245412969
"Chicago",1276,1277.07749074935,3221.01410715934,383.094503057383
"Chicago",1445,1277.05478972618,11861.2245269947,1283.07907647095
"Chicago",2281,1276.94249354054,13741.1091162445,1516.01264316667
"Chicago",1398,1277.06110302848,10997.1838229923,1147.67936119029
"Chicago",754,1277.14760870258,5686.24181192017,580.331495056161
"Chicago",900,1277.12799716777,6173.59308710514,622.810320146142
"Chicago",984,1277.11671381897,5818.52947728913,659.062967572403
"Chicago",1450,1277.05411809827,7248.22444400082,827.968330526634
"Chicago",1204,1277.08716219117,7542.12560623336,800.362709980542
"Chicago",1429,1277.05693893547,6224.25334865748,640.957968320422
"Chicago",2064,1276.9716421916,16879.4143114778,1848.31433630494
"Chicago",2261,1276.94518005216,8954.87618780648,1088.65593053792
"Chicago",629,1277.16439940019,8813.41283256785,919.855913180841
"Chicago",1749,1277.01395474958,8261.51602699468,869.602146458868
"Chicago",935,1277.12329577244,7474.00816547895,781.633983233594
"Chicago",589,1277.16977242343,6270.27512785032,640.273038781928
"Chicago",528,1277.17796628386,9093.18413740186,976.56653635411
"Chicago",719,1277.15231009791,10844.5284604964,1074.60759497251
