"day","empirical","exp"
2020-02-10,115,75.8102583874645
2020-02-10,69,72.315819800546
2020-02-10,144,57.19766383221
2020-02-10,200,119.897772652047
2020-02-10,151,84.339278867523
2020-02-10,57,125.524126924651
2020-02-10,63,140.123698217957
2020-02-10,137,66.6979237545868
2020-02-10,94,57.072053778215
2020-02-10,84,76.6285280345516
2020-02-10,151,73.6165096505051
2020-02-10,134,96.4868105399114
2020-02-10,150,127.54082467626
2020-02-10,48,61.9889739744092
2020-02-10,141,68.8556246865943
2020-02-10,980,294.817768930118
2020-02-10,164,137.733843983834
2020-02-10,123,286.373751071864
2020-02-10,85,50.9780023183687
2020-02-10,204,84.5910278311817
2020-02-10,0,78.6026106887105
2020-02-10,204,113.636402829945
2020-02-10,229,83.898751364924
2020-02-10,152,88.4035602096111
2020-02-10,355,169.631249763892
2020-02-10,169,157.326023018217
2020-02-10,135,63.1326548341545
2020-02-10,138,68.0462752809196
2020-02-10,213,156.320950597354
2020-02-10,150,68.2207801274984
2020-02-10,141,147.755715503083
2020-02-10,103,76.5298769558557
2020-02-10,341,239.108357083526
2020-02-10,216,117.509142583582
2020-02-10,52,72.0920567965667
2020-02-10,139,106.071740683968
2020-02-10,147,75.2899371611559
2020-02-10,69,80.5938594446715
2020-02-10,42,85.9644765860435
2020-02-10,39,77.839018961896
2020-02-10,72,86.6062174344811
2020-02-10,155,219.198011716379
2020-02-10,1596,811.471614101325
2020-02-10,253,377.582430212939
2020-02-10,680,354.34311522951
2020-02-10,861,273.371691730595
2020-02-10,144,185.446556394275
2020-02-10,209,180.44906783352
2020-02-10,311,331.486558854425
2020-02-10,473,443.63386755817
2020-02-10,376,113.888520738681
2020-02-10,208,205.503783367158
2020-02-10,165,220.510659377454
2020-02-10,88,220.919834537166
2020-02-10,100,238.769348697876
2020-02-10,33,65.6566805923345
2020-02-10,107,81.0754011049815
2020-02-10,130,41.6817461405289
2020-02-10,74,63.9447564819314
2020-02-10,59,42.7289063159448
2020-02-10,69,67.2978341185837
2020-02-10,76,60.3412372883401
2020-02-10,228,195.911914470121
2020-02-10,188,153.061998211202
2020-02-10,203,343.408627959295
2020-02-10,183,199.402417729785
2020-02-10,48,62.687834718387
2020-02-10,154,60.6535546565042
2020-02-10,1028,476.984981857069
2020-02-10,200,261.231600746638
2020-02-10,199,64.9328069488071
2020-02-10,126,62.4212365466549
2020-02-10,402,339.64932121939
2020-02-10,124,94.8964017743783
2020-02-10,76,33.1231474477806
2020-02-10,63,117.84283150344
2020-02-10,430,733.869871621091
2020-02-10,123,176.684440575061
2020-02-10,140,93.321736003599
2020-02-10,226,138.17741538746
2020-02-10,383,489.924491363654
2020-02-10,465,640.109143118913
2020-02-10,213,389.777852270533
2020-02-10,527,275.002549086655
2020-02-10,562,688.358637504668
2020-02-10,1935,985.504575646338
2020-02-10,227,281.142979486909
2020-02-10,133,209.411105101399
