"msa","empirical","homo","power","exp"
"Dallas",1373,1628.70779059405,7161.51004745229,887.164666375879
"Dallas",4018,1628.1192181907,19981.6706938129,2416.39453170138
"Dallas",4304,1628.05557671344,38076.7263966337,4202.72929338218
"Dallas",1586,1628.66039327008,9969.33819504727,1289.99281015418
"Dallas",2210,1628.52153913787,10738.6859526935,1401.12588285183
"Dallas",2855,1628.37801203006,7800.36184680486,946.89411826513
"Dallas",1021,1628.78611856607,20356.8228997998,2248.91404320075
"Dallas",1693,1628.63658334677,15534.4829156202,1827.62052583235
"Dallas",1689,1628.63747343736,18932.787268654,2094.1256321458
"Dallas",3617,1628.20844977246,9601.32814051775,1370.06769146898
"Dallas",2443,1628.46969136094,12633.4612955388,1471.58884350844
"Dallas",1670,1628.64170136767,14762.3600924949,1812.79204802157
"Dallas",2248,1628.51308327725,20306.6874415384,2225.86527681225
"Dallas",1610,1628.65505272653,15929.7986337366,1761.39351072652
"Dallas",1649,1628.64637434327,12922.9058373497,1549.58522122828
"Dallas",1148,1628.7578581898,6363.89094212279,769.769185615709
"Dallas",1559,1628.66640138157,9824.26384435789,1217.03368690834
"Dallas",2296,1628.50240219016,18243.8271250416,2115.28101956326
"Dallas",1177,1628.75140503302,27661.9625900867,3045.04134642098
"Dallas",3214,1628.29812639951,6861.23356622349,834.184443814577
"Dallas",2286,1628.50462741664,12094.6268519451,1482.28741052333
"Dallas",1677,1628.64014370913,11688.3175651002,1284.18162020432
"Dallas",1663,1628.6432590262,11078.3952835942,1273.83058036414
"Dallas",2092,1628.54779681031,15462.7900839004,1841.67904980732
"Dallas",1389,1628.70423023169,7961.48023653471,988.277924640902
"Dallas",891,1628.81504651028,16411.7785086289,1831.4689861698
"Dallas",1857,1628.60008963253,9959.81464381171,1185.99198095114
"Dallas",1297,1628.72470231528,5921.4825294165,719.67113261377
"Dallas",2633,1628.42741205786,18623.1468878576,2120.7809986265
"Dallas",2491,1628.45901027385,19931.9481490983,2257.7077098796
"Dallas",2902,1628.36755346561,23533.621305508,2656.94596591791
"Dallas",1201,1628.74606448947,44255.0393221076,4967.73235221284
"Dallas",2623,1628.42963728434,21785.2268832223,2587.53429582272
"Dallas",4552,1628.00039109679,16085.0228523647,2114.71606900092
"Dallas",1498,1628.67997526308,8411.8635933121,959.813853511333
"Dallas",2048,1628.55758780681,13273.2681169701,1611.42559724135
"Dallas",5998,1627.67862334812,32909.2216317747,3794.50061317881
"Dallas",1454,1628.68976625958,20153.6295459784,2330.56420879482
"Dallas",7104,1627.43251329969,20629.2388622475,2392.61566053525
"Dallas",1455,1628.68954373694,23381.3819082205,2590.49585880335
"Dallas",1929,1628.58406800189,9317.16864614387,1023.63347273168
"Dallas",2769,1628.39714897777,11319.9812681262,1391.53883365274
"Dallas",1724,1628.62968514469,15492.4725145864,1789.41939601563
"Dallas",1570,1628.66395363244,27878.2449558943,3162.29552364893
"Dallas",2119,1628.54178869882,18123.247555901,1960.74887419524
"Dallas",2340,1628.49261119366,25020.6569336214,2882.64214887004
"Dallas",1376,1628.70712302611,16495.8646955446,2097.52064412564
"Dallas",1483,1628.6833131028,23232.4349376945,2606.82283910584
"Dallas",451,1628.9129564753,8835.72583030783,1033.8600018746
"Dallas",589,1628.8822483499,11892.5552712353,1454.67486513744
"Dallas",1154,1628.75652305391,10392.6238256513,1270.57840080099
"Dallas",3398,1628.25718223232,16971.5745231316,2021.61961046422
"Dallas",1966,1628.57583466393,11298.0591783691,1394.57612097589
"Dallas",1530,1628.67285453835,17097.145357581,1944.30631858189
"Dallas",1799,1628.6129959461,6888.38437308722,776.667953617361
"Dallas",1449,1628.69087887282,11273.0633117261,1294.86406446001
"Dallas",1121,1628.76386630129,6815.27489464691,805.700298200179
"Dallas",1102,1628.7680942316,8031.68924038925,970.377803492112
"Dallas",2383,1628.48304271981,7536.3540986375,969.43141677697
"Dallas",1008,1628.78901136049,8571.51421221808,1055.19077799278
"Dallas",2040,1628.55936798799,15274.5554106737,1733.07919068476
"Dallas",1856,1628.60031215518,12204.5164922359,1470.51554796502
"Dallas",1878,1628.59541665693,10757.7654239913,1228.29398493826
"Dallas",1930,1628.58384547925,8538.38774175669,983.628626911461
"Dallas",946,1628.80280776465,5344.94668444604,707.80132106825
"Dallas",1649,1628.64637434327,11818.7289750848,1356.82795053701
"Dallas",2387,1628.48215262921,16212.8544161862,1877.35214924854
"Dallas",1201,1628.74606448947,16336.820125545,1825.97181707059
"Dallas",1285,1628.72737258706,9355.41620681482,1063.28272597231
"Dallas",1518,1628.67552481013,9355.37984469492,1084.62859636297
"Dallas",5224,1627.85085587749,14234.3707785194,1706.01227213035
"Dallas",1692,1628.63680586941,12184.098685373,1412.66825652211
"Dallas",1305,1628.7229221341,10326.3552555038,1195.44075729309
"Dallas",1043,1628.78122306782,15930.4338528667,1806.31251525116
"Dallas",2742,1628.40315708926,17895.590056261,2031.24385991144
"Dallas",1583,1628.66106083802,7769.08841373834,929.387968295347
"Dallas",974,1628.79657713051,6363.75128831778,739.272165087514
"Dallas",1996,1628.56915898449,7743.52251956566,924.355817281181
"Dallas",2006,1628.56693375801,21369.0756765275,2315.12728327564
"Dallas",4009,1628.12122089453,19892.6545808946,2437.66154973832
"Dallas",1691,1628.63702839206,12678.0078504175,1438.59635186365
"Dallas",1526,1628.67374462894,9638.10581077953,1142.54548850258
"Dallas",1555,1628.66729147216,19212.8758734756,2176.54462349402
"Dallas",3821,1628.16305515231,16217.1167154952,1958.26345869072
"Dallas",437,1628.91607179237,10151.59437066,1185.77447031254
"Dallas",1568,1628.66439867774,22727.4692849179,2615.53343689978
"Dallas",1491,1628.68153292162,16350.9017249033,1930.37126890848
"Dallas",841,1628.82617264267,9244.32774392282,1095.76209968071
"Dallas",2556,1628.44454630174,30691.2506259442,3426.91502763396
"Dallas",2658,1628.42184899167,12282.0388758464,1322.57545501346
"Dallas",1919,1628.58629322837,9245.66613061921,1078.31670209814
"Dallas",2917,1628.3642156259,10726.1878656744,1155.72349185616
"Dallas",3283,1628.28277233681,23255.3882341042,2715.77947592397
