"msa","empirical","homo","power","exp"
"Houston",2127,1902.0335934115,15529.1425018582,1640.03461414364
"Houston",877,1902.37906539516,10563.0962730842,1101.75264621627
"Houston",916,1902.36828666927,9219.88369159617,943.558254626025
"Houston",1072,1902.32517176571,4386.57510213292,465.928575817714
"Houston",1397,1902.23534904995,9919.56398912576,1028.25839796452
"Houston",1029,1902.33705600195,11239.0050532172,1221.1748122284
"Houston",2575,1901.90977625255,10800.3350481194,1201.47135848981
"Houston",1635,1902.16957118427,14134.7530243935,1438.86557128841
"Houston",1338,1902.25165532758,6989.62618944563,748.08391058999
"Houston",1333,1902.25303721552,8905.32510205945,1009.84646840981
"Houston",1248,1902.27652931041,9668.84240252349,1084.62659396046
"Houston",834,1902.3909496314,7798.99586673331,927.486438317869
"Houston",936,1902.36275911753,4172.31807627101,491.298656021736
"Houston",815,1902.39620080555,6746.34679389446,794.871510027029
"Houston",618,1902.45064719017,5056.16751846021,588.26409751504
"Houston",1634,1902.16984756185,7428.65869948313,826.743557283546
"Houston",750,1902.4141653487,9032.61156375262,1047.85565279819
"Houston",820,1902.39481891761,5881.22541562914,615.806712014651
"Houston",803,1902.39951733659,2363.26127897796,304.846733145167
"Houston",798,1902.40089922453,16241.7267971876,1757.7054485182
"Houston",698,1902.42853698322,7685.91185452834,855.776342883499
"Houston",1789,1902.12700903588,11202.595108883,1111.20181122772
"Houston",593,1902.45755662985,7649.55238779056,939.429889620902
"Houston",2258,1901.99738794761,5266.92678374125,644.800561531277
"Houston",714,1902.42411494183,12654.0769623381,1328.70018231638
"Houston",1314,1902.25828838967,9098.10323365497,1034.52711955596
"Houston",915,1902.36856304686,5315.36390928234,630.444366973555
"Houston",307,1902.53660061971,3925.79882465109,467.843952786722
"Houston",1403,1902.23369078443,3792.62195581756,407.781871228668
"Houston",626,1902.44843616948,6224.25875809904,657.029812396403
"Houston",1207,1902.28786079147,13773.1585479893,1529.95728031969
"Houston",710,1902.42522045218,4790.04898015731,565.201972212978
"Houston",1556,1902.19140501363,17982.2801353485,2083.45172331625
"Houston",721,1902.42218029872,15124.7532889806,1762.54452135219
"Houston",1786,1902.12783816864,8876.57938446217,995.030317295875
"Houston",908,1902.37049768996,8113.89073209898,899.779240761563
"Houston",1480,1902.21240971024,15295.333700733,1677.86871351943
"Houston",1056,1902.3295938071,9392.3719316063,1018.18021789796
"Houston",2605,1901.90148492494,10853.9061361072,1136.3830798924
"Houston",1329,1902.25414272587,18074.6914368087,2027.51320830139
"Houston",1481,1902.21213333265,9302.59749056528,1208.21790542678
"Houston",11979,1899.31072142505,41441.3616404826,4553.69537209814
"Houston",2114,1902.03718632013,22080.4572762041,2924.2663487196
"Houston",843,1902.38846223311,11095.7666889928,1335.79729681721
"Houston",12167,1899.25876243871,42008.6813598376,4679.1370599463
"Houston",1695,1902.15298852905,8502.25548414527,1015.69776100957
"Houston",4914,1901.26332907672,12960.7500160033,1697.56654751464
"Houston",8351,1900.31341931044,41506.1895586739,5146.88937463334
"Houston",1470,1902.21517348611,8626.5393390773,1009.53138977213
"Houston",1630,1902.1709530722,18684.8850841835,2111.49026974815
"Houston",3308,1901.70719148133,122158.589404837,12507.7427700722
"Houston",984,1902.34949299336,34730.6680861462,3868.89532746027
"Houston",15758,1898.26629052404,81425.4039510032,8494.58676986085
"Houston",4511,1901.37470924425,68762.4766257877,7314.9751554287
"Houston",7509,1900.54612923863,43732.585144242,4950.53350261209
"Houston",3951,1901.52948069293,79745.1614409844,8371.86340344116
"Houston",1322,1902.25607736897,18016.6744480986,1927.46672974592
"Houston",18850,1897.41173102525,77297.0382929021,8357.20995654535
"Houston",2534,1901.92110773361,17813.3148242737,2071.88587971613
"Houston",3520,1901.6485994329,30045.0291165806,3314.94891452428
"Houston",1048,1902.33180482779,11972.0023760224,1532.10712881096
"Houston",1671,1902.15962159114,15792.4005033218,2052.70223431684
"Houston",890,1902.37547248653,13586.4945560365,1455.99551879691
"Houston",949,1902.3591662089,4973.6873067488,582.123697221063
"Houston",1190,1902.29255921045,8338.4366463817,893.830390655098
"Houston",595,1902.45700387467,6140.55323087441,702.9511572441
"Houston",639,1902.44484326085,9078.11861890387,981.948630832573
"Houston",1607,1902.1773097567,13726.6675142213,1524.57169122046
"Houston",1035,1902.33539773642,9376.08962333695,1077.59294026999
"Houston",2357,1901.9700265665,14103.240125734,1521.88234614006
"Houston",1382,1902.23949471376,10169.4176516493,1077.07554644651
"Houston",2567,1901.91198727325,11616.7584617905,1282.17740414469
"Houston",2084,1902.04547764773,7741.00074829793,900.392978217479
"Houston",1391,1902.23700731548,14925.4135958711,1645.80135658178
"Houston",1227,1902.28233323973,7974.73609888834,918.253250470527
"Houston",853,1902.38569845725,5571.7085358876,695.880152210687
"Houston",1484,1902.21130419989,17230.0369613017,1821.80348426357
"Houston",2194,1902.01507611317,18024.8253196606,1980.44578274545
"Houston",985,1902.34921661577,6357.94631486618,695.389759532219
"Houston",955,1902.35750794338,6900.75226051647,753.482188393018
"Houston",2851,1901.83349603856,19519.3542600176,2044.51043187673
"Houston",2476,1901.93713763366,10708.1397364732,1168.71995089416
"Houston",2429,1901.95012738024,21395.2977934631,2271.94712838005
"Houston",1289,1902.26519782934,8463.73051515975,924.800732324533
"Houston",1949,1902.08278862197,15131.4908661236,1600.91672185208
"Houston",870,1902.38100003827,5972.91881569631,650.818813171228
"Houston",1605,1902.17786251187,14328.6539304302,1496.29005325322
"Houston",2269,1901.99434779415,11359.5458508644,1317.4686162796
"Houston",1386,1902.23838920341,6839.94537427951,724.655031295711
"Houston",361,1902.52167623002,9148.69036573745,1003.42956227568
"Houston",1113,1902.31384028464,10616.2878845046,1118.42378582981
"Houston",1889,1902.09937127718,8693.13893507797,948.068073366796
"Houston",2464,1901.9404541647,10927.510268673,1142.07757662484
"Houston",2101,1902.04077922876,10727.387038977,1232.52214408028
"Houston",1656,1902.16376725494,15992.4127042986,1787.54500823447
"Houston",810,1902.39758269348,20550.2921346635,2230.65872611655
"Houston",3581,1901.6317404001,13063.6733641997,1548.04545298334
"Houston",1977,1902.07505004953,23886.9812166223,2623.87671537648
"Houston",1812,1902.12065235138,9387.44343552889,1032.03551052104
"Houston",2726,1901.86804323692,22322.3801317589,2439.55728482843
"Houston",346,1902.52582189382,9004.58443688916,979.857394510382
"Houston",1365,1902.24419313274,8387.79904095636,953.277938500035
"Houston",2002,1902.06814060986,18988.0117640286,1985.61381924606
"Houston",875,1902.37961815033,10389.4638111218,1176.32854621709
"Houston",1202,1902.28924267941,6497.13434733274,737.897886684622
"Houston",3676,1901.60548452934,22784.2131534374,2509.39422804942
"Houston",1325,1902.25524823621,16996.8967548795,1807.97327680789
"Houston",3261,1901.72018122792,15116.2262804346,1574.94776136327
"Houston",2079,1902.04685953567,16001.9567888183,1819.12849833233
"Houston",2308,1901.98356906826,30218.8082947833,3125.45072739037
"Houston",738,1902.41748187974,8465.65990599904,942.593279207244
"Houston",1592,1902.1814554205,10912.1494789412,1126.99656911244
"Houston",2025,1902.06178392536,19320.1664994546,2073.45119162403
"Houston",1603,1902.17841526705,15518.575985459,1702.40526179022
"Houston",1516,1902.20246011711,11413.0056229407,1252.52113459604
"Houston",1452,1902.22014828267,9968.18779732979,1123.26382525519
"Houston",2620,1901.89733926114,18319.5009429992,1944.89729115069
"Houston",2304,1901.98467457861,12899.0542926865,1416.39042479316
"Houston",802,1902.39979371418,12681.1631784569,1348.88802037188
"Houston",1064,1902.3273827864,17577.1348142071,1881.74839309173
"Houston",2247,1902.00042810106,14576.7799563376,1588.64157889081
"Houston",1142,1902.30582533462,10797.9415639779,1201.54323829672
"Houston",1505,1902.20550027057,12448.9386575413,1286.06687655709
"Houston",2411,1901.95510217681,19037.4708011809,2072.73564699175
"Houston",2137,1902.03082963563,28716.8607337139,3029.62201754801
"Houston",3392,1901.68397576403,24445.5747154257,2564.87735848569
"Houston",1754,1902.13668225142,21013.7029383483,2268.46749703846
"Houston",2140,1902.03000050287,24741.6886177342,2634.41822147376
