"msa","empirical","homo","power","exp"
"Los Angeles",1259,1232.37878061413,15935.6093030539,1630.09527333122
"Los Angeles",2291,1232.28275246189,11523.683158927,1176.93907998582
"Los Angeles",1119,1232.39180768905,11789.5587265262,1273.87812457902
"Los Angeles",2489,1232.26432845594,16546.1499778134,1702.73281974743
"Los Angeles",727,1232.42828349881,21256.440366366,2136.28292813252
"Los Angeles",271,1232.47071454283,9445.85600746435,1099.28590814143
"Los Angeles",2547,1232.2589315249,27229.390526374,2703.34287663947
"Los Angeles",951,1232.40744017895,20197.9758641489,2020.16897128731
"Los Angeles",876,1232.41441896908,6751.65944804097,781.540314574743
"Los Angeles",1216,1232.38278178714,7745.07756561706,821.61048818496
"Los Angeles",3697,1232.15192340951,11910.1838448318,1328.304084698
"Los Angeles",822,1232.41944369798,5933.90126623015,561.555503883113
"Los Angeles",849,1232.41693133353,5879.19149130979,600.241721709782
"Los Angeles",634,1232.43693719858,3359.14721942952,354.935607572935
"Los Angeles",1706,1232.33718702493,10047.9172764004,1014.5055709401
"Los Angeles",2066,1232.30368883229,9671.03748775243,951.210811645921
"Los Angeles",1261,1232.37859451306,6895.97416875201,688.489141184658
"Los Angeles",1101,1232.39348259868,6032.27118825937,572.937868162909
"Los Angeles",2609,1232.25316239172,10869.6544398498,1094.2429622297
"Los Angeles",771,1232.42418927527,4255.28644020365,436.79747204622
"Los Angeles",1908,1232.31839081684,11136.5698921792,1142.51041817567
"Los Angeles",1606,1232.34649207845,13151.3553824435,1260.64274573248
"Los Angeles",1470,1232.35914695122,12832.4274271587,1365.85470780869
"Los Angeles",1382,1232.36733539831,11514.1246937118,1239.30873559323
"Los Angeles",907,1232.41153440249,10179.5655745317,1044.89541027761
"Los Angeles",872,1232.41479117122,9152.99235248076,935.475811733166
"Los Angeles",2187,1232.29242971754,10040.4821884435,1095.9340857488
"Los Angeles",3085,1232.208870337,16602.5244160102,1677.18895346942
"Los Angeles",1292,1232.37570994647,10308.0385617341,1061.74829415107
"Los Angeles",472,1232.45201138527,7494.49281376599,768.728049782923
"Los Angeles",973,1232.40539306718,3297.08153675769,381.494243735502
"Los Angeles",1465,1232.3596122039,13792.5447241955,1429.53687946747
"Los Angeles",1777,1232.33058043694,12826.3940584895,1461.08498743093
"Los Angeles",967,1232.40595137039,12805.2903621346,1301.80897702164
"Los Angeles",3320,1232.18700346125,14247.1161360716,1455.52979027093
"Los Angeles",992,1232.40362510701,11469.172003213,1191.68476731587
"Los Angeles",1631,1232.34416581507,13114.4653055746,1363.73970591829
