"msa","empirical","homo","power","exp"
"Seattle",1233,1457.87983375265,8265.79333299906,910.362067428524
"Seattle",1250,1457.87342977828,13199.655716049,1396.75619459863
"Seattle",2616,1457.35885160234,18756.3644489626,2076.86728301678
"Seattle",1637,1457.72764518524,11051.2182546605,1207.18581283158
"Seattle",922,1457.9969888132,7312.70736889424,983.808636973062
"Seattle",1419,1457.80976673894,18161.8492434454,1982.3711262015
"Seattle",998,1457.96835928072,10226.3617873387,1240.78192614901
"Seattle",1450,1457.79808890333,6214.26313742082,850.459906648584
"Seattle",1708,1457.70089917463,8725.8093042958,890.241238345493
"Seattle",2339,1457.46319871416,13604.8985807713,1428.67405079024
"Seattle",2118,1457.54645038098,15393.4015494965,1673.23669403075
"Seattle",2186,1457.5208344835,14928.9285169418,1551.57896602455
"Seattle",1407,1457.81428719144,5725.29423675051,608.995493148696
"Seattle",2384,1457.44624701729,13090.0053921036,1424.95887651306
"Seattle",2952,1457.23227893242,16028.252800518,1647.57276614618
"Seattle",2533,1457.39011806545,21211.5873817548,2315.41982758114
"Seattle",1405,1457.81504060019,6910.70797294031,724.464852042818
"Seattle",908,1458.00226267445,10254.8451921358,1111.56710795496
"Seattle",1110,1457.92616839075,12534.4474988496,1526.08725873885
"Seattle",1803,1457.66511225903,10252.3277799044,1038.51133438391
"Seattle",1973,1457.60107251532,17831.5079364035,1779.77165621916
"Seattle",882,1458.01205698819,7039.63726192118,797.832103907866
"Seattle",1040,1457.95253769698,9048.37022891565,967.796404862128
"Seattle",760,1458.05801492192,5649.53279001366,619.755961553323
"Seattle",1356,1457.83349911455,9138.83010030604,963.707236139681
"Seattle",613,1458.11339046501,6158.56044591681,646.489510093401
"Seattle",748,1458.06253537441,13451.8068187566,1483.27631870902
"Seattle",2031,1457.57922366158,16742.0338450015,1769.56743184168
"Seattle",1099,1457.93031213887,10714.1257221651,1124.52511196918
"Seattle",1047,1457.94990076636,9200.43412247676,969.157516988783
"Seattle",2346,1457.46056178353,10873.2549049552,1116.58017573719
"Seattle",825,1458.03352913756,8696.93624570219,936.230933127984
"Seattle",1113,1457.92503827762,7998.04279979019,881.122420541603
"Seattle",1228,1457.88171727452,8772.98740349031,936.328254242628
"Seattle",1030,1457.95630474073,8246.43736062191,940.890332221477
"Seattle",979,1457.97551666384,12278.454852958,1280.32749575749
"Seattle",1196,1457.89377181452,6756.17316561053,757.180585398655
"Seattle",1082,1457.93671611324,15641.3846440711,1751.9639064653
"Seattle",1885,1457.6342225003,13531.2379437992,1559.84930411939
"Seattle",1617,1457.73517927274,8814.42333841818,1103.48394435333
"Seattle",916,1457.99924903945,5964.7881526314,841.768046006229
"Seattle",2872,1457.2624152824,8464.71183557235,915.285025809066
"Seattle",1305,1457.85271103767,11458.5375213514,1223.34683888787
"Seattle",1525,1457.76983607522,15844.2963709742,1672.07265761986
"Seattle",1423,1457.80825992144,11162.1732519249,1339.62418509614
"Seattle",1890,1457.63233897843,12561.8956354776,1473.28143810779
"Seattle",1276,1457.86363546454,9279.3701277314,1184.39467971115
"Seattle",1801,1457.66586566778,8126.29566039063,827.016145275613
"Seattle",1141,1457.91449055513,14704.2182833418,1494.45241401773
"Seattle",3561,1457.00286596819,9873.7537966136,1007.39465198062
"Seattle",1566,1457.75439119585,13306.8911465137,1343.97321361728
"Seattle",1581,1457.74874063023,12725.2236541341,1531.76969627889
"Seattle",1596,1457.74309006461,9564.343939614,973.215031387149
"Seattle",2169,1457.52723845787,9729.91120949054,971.551074767544
"Seattle",1053,1457.94764054011,10316.2402203957,1074.88295952752
"Seattle",873,1458.01544732757,10918.8595507207,1127.44686880051
"Seattle",2066,1457.56603900847,14412.0406308124,1537.40269263602
"Seattle",2747,1457.30950332925,17618.6545969863,1830.21581014495
"Seattle",1178,1457.90055249326,13430.0811483183,1381.07253684913
"Seattle",764,1458.05650810442,8331.98976365173,855.112135440505
"Seattle",1484,1457.78528095458,6773.44987568256,771.428670602058
"Seattle",741,1458.06517230504,9597.33172873342,1030.98903465396
"Seattle",1154,1457.90959339826,4969.82746800853,558.334059572982
"Seattle",1452,1457.79733549458,10111.8128618889,1081.75647395405
"Seattle",1409,1457.81353378269,8747.30084638412,945.093621585376
"Seattle",1730,1457.69261167839,8873.5612766531,929.03794748458
"Seattle",1074,1457.93972974824,9699.42461090862,1022.52964379775
"Seattle",1766,1457.6790503209,9500.59099609287,971.648216344609
"Seattle",1330,1457.8432934283,13516.7517610134,1416.43075504168
"Seattle",2142,1457.53740947598,16763.3864117592,1691.83949297723
"Seattle",1147,1457.91223032888,11640.9053454229,1243.43146043057
"Seattle",1147,1457.91223032888,9987.09668599099,1091.96617947908
"Seattle",774,1458.05274106067,6498.24367899855,701.115725599959
"Seattle",815,1458.0372961813,6552.92397758551,697.346872301209
"Seattle",1549,1457.76079517022,6587.94412772594,701.284426691461
"Seattle",1268,1457.86664909953,10416.0079967064,1104.46103509739
"Seattle",2168,1457.52761516224,16417.2357378948,1646.66091479962
"Seattle",1020,1457.96007178448,9810.37536113855,1007.1697281136
"Seattle",1116,1457.9239081645,7859.77167066883,809.290222199187
"Seattle",1119,1457.92277805137,10756.6064464961,1130.69795371902
"Seattle",0,1458.34431024674,10510.6509369571,1089.24590814335
