"day","empirical","homo","power","exp","err_tag"
2020-02-10,157,164.932385136621,746,112.085419853113,"rmse"
2020-02-10,168,164.928143782393,1458,189.217844111444,"rmse"
2020-02-10,182,164.922745695194,2132,298.270506695124,"rmse"
2020-02-10,117,164.947808242906,860,128.412445873749,"rmse"
2020-02-10,84,164.96053230559,472,130.221846001838,"rmse"
2020-02-10,193,164.918504340966,2080,289.142680983606,"rmse"
2020-02-10,73,164.964773659818,650,147.831379555787,"rmse"
2020-02-10,101,164.953977485419,223,96.7368715311955,"rmse"
2020-02-10,173,164.926215894108,900,119.593916108493,"rmse"
2020-02-10,217,164.909250477195,1549,208.69169175375,"rmse"
2020-02-10,372,164.849485940344,1521,222.0995939993,"rmse"
2020-02-10,262,164.891899482626,1674,222.05086298772,"rmse"
2020-02-10,94,164.956676529019,659,96.602730054554,"rmse"
2020-02-10,285,164.883031196512,1490,211.762613316033,"rmse"
2020-02-10,401,164.838304188288,2142,275.714849689183,"rmse"
2020-02-10,136,164.940482267421,2401,342.09680670787,"rmse"
2020-02-10,177,164.924673583479,849,116.12678636163,"rmse"
2020-02-10,121,164.946265932277,1096,157.343714087704,"rmse"
2020-02-10,193,164.918504340966,1676,277.348165700597,"rmse"
2020-02-10,201,164.915419719709,1060,132.117149328624,"rmse"
2020-02-10,175,164.925444738794,1824,225.287530326819,"rmse"
2020-02-10,169,164.927758204736,946,150.076195863645,"rmse"
2020-02-10,94,164.956676529019,800,113.080417884456,"rmse"
2020-02-10,80,164.962074616218,533,78.2076271445612,"rmse"
2020-02-10,115,164.94857939822,664,99.4570849196709,"rmse"
2020-02-10,43,164.976340989531,495,66.1563126651064,"rmse"
2020-02-10,39,164.97788330016,1721,264.685928031804,"rmse"
2020-02-10,347,164.859125381772,2416,324.823396575232,"rmse"
2020-02-10,163,164.930071670679,1287,186.885223955258,"rmse"
2020-02-10,135,164.940867845078,1361,187.856541294024,"rmse"
2020-02-10,237,164.901538924053,1052,135.624356236826,"rmse"
2020-02-10,78,164.962845771533,602,104.609811874967,"rmse"
2020-02-10,125,164.944723621649,588,105.720750135223,"rmse"
2020-02-10,101,164.953977485419,785,111.071875474835,"rmse"
2020-02-10,112,164.949736131191,732,117.454355356615,"rmse"
2020-02-10,106,164.952049597134,1207,172.085698885712,"rmse"
2020-02-10,104,164.952820752448,1006,151.938787393486,"rmse"
2020-02-10,153,164.93392744725,1878,268.169407988581,"rmse"
2020-02-10,264,164.891128327311,1002,183.953225534708,"rmse"
2020-02-10,94,164.956676529019,610,136.68536287191,"rmse"
2020-02-10,107,164.951664019477,433,129.271309741076,"rmse"
2020-02-10,356,164.855655182858,1105,155.425125462534,"rmse"
2020-02-10,168,164.928143782393,1296,178.871651693042,"rmse"
2020-02-10,198,164.91657645268,1921,255.878383092299,"rmse"
2020-02-10,243,164.89922545811,1086,194.184155058359,"rmse"
2020-02-10,199,164.916190875023,1304,215.009932086197,"rmse"
2020-02-10,98,164.95513421839,785,170.050451673855,"rmse"
2020-02-10,125,164.944723621649,572,72.830552678793,"rmse"
2020-02-10,101,164.953977485419,902,121.251018671994,"rmse"
2020-02-10,246,164.898068725139,568,76.0487346839899,"rmse"
2020-02-10,107,164.951664019477,947,118.003030427605,"rmse"
2020-02-10,164,164.929686093022,1119,208.598051281266,"rmse"
2020-02-10,267,164.88997159434,982,132.641673031719,"rmse"
2020-02-10,301,164.876861953998,706,100.201255705055,"rmse"
2020-02-10,104,164.952820752448,567,99.2067415203494,"rmse"
2020-02-10,103,164.953206330105,1400,179.083988569338,"rmse"
2020-02-10,264,164.891128327311,1901,253.617359947596,"rmse"
2020-02-10,384,164.844859008459,2557,324.306093609521,"rmse"
2020-02-10,683,164.729571288985,1404,185.712286601912,"rmse"
2020-02-10,158,164.931999558964,923,127.132037585467,"rmse"
2020-02-10,164,164.929686093022,546,97.7973566808453,"rmse"
2020-02-10,50,164.973641945931,645,95.8741577642974,"rmse"
2020-02-10,45,164.975569834217,405,64.3285964957093,"rmse"
2020-02-10,66,164.967472703418,575,85.7916458609593,"rmse"
2020-02-10,108,164.951278441819,521,77.1791951112507,"rmse"
2020-02-10,81,164.961689038561,635,90.0101476545894,"rmse"
2020-02-10,52,164.972870790617,556,83.054402247205,"rmse"
2020-02-10,95,164.956290951362,618,81.2627352692638,"rmse"
2020-02-10,58,164.970557324675,835,114.794479649095,"rmse"
2020-02-10,155,164.933156291936,1179,148.476061753683,"rmse"
2020-02-10,132,164.942024578049,846,119.596461987137,"rmse"
2020-02-10,51,164.973256368274,626,95.8250114269679,"rmse"
2020-02-10,52,164.972870790617,472,70.7349520180367,"rmse"
2020-02-10,48,164.974413101246,273,45.5580517804365,"rmse"
2020-02-10,84,164.96053230559,365,55.3122175387718,"rmse"
2020-02-10,150,164.935084180221,912,123.760198702224,"rmse"
2020-02-10,99,164.954748640733,748,101.455174315087,"rmse"
2020-02-10,152,164.934313024907,773,108.676991206256,"rmse"
2020-02-10,90,164.958218839647,593,83.00382982502,"rmse"
2020-02-10,122,164.94588035462,966,129.895482649213,"rmse"
2020-02-10,19,164.985594853302,1001,127.35107545243,"rmse"
2020-02-10,105,164.952435174791,571,77.6596141605801,"rmse"
2020-02-10,53,164.97248521296,519,74.7940324171652,"rmse"
2020-02-10,186,164.921203384565,789,106.884067047233,"rmse"
2020-02-10,215,164.910021632509,869,124.145780159771,"rmse"
2020-02-10,67,164.967087125761,506,161.695366377295,"rmse"
2020-02-10,209,164.912335098452,2111,314.353864681486,"rmse"
2020-02-10,185,164.921588962223,1139,198.66790878394,"rmse"
2020-02-10,43,164.976340989531,1058,173.472876654258,"rmse"
2020-02-10,108,164.951278441819,599,81.6346644627621,"rmse"
2020-02-10,82,164.961303460904,863,109.612200082309,"rmse"
2020-02-10,134,164.941253422735,944,118.731017513857,"rmse"
2020-02-10,140,164.938939956792,862,116.014990515196,"rmse"
2020-02-10,130,164.942795733363,695,97.6853369437872,"rmse"
2020-02-10,261,164.892285060283,1049,159.803314384943,"rmse"
2020-02-10,169,164.927758204736,1080,185.551752755204,"rmse"
2020-02-10,171,164.926987049422,1448,191.164180672728,"rmse"
2020-02-10,61,164.969400591703,767,104.438761837612,"rmse"
2020-02-10,235,164.902310079367,976,155.735973410476,"rmse"
2020-02-10,188,164.920432229251,1028,144.664863876195,"rmse"
2020-02-10,122,164.94588035462,922,157.010234770751,"rmse"
2020-02-10,48,164.974413101246,435,65.7302231925149,"rmse"
2020-02-10,237,164.901538924053,1375,186.71813761566,"rmse"
2020-02-10,313,164.872235022113,892,122.967335894756,"rmse"
2020-02-10,71,164.965544815132,984,141.166624410546,"rmse"
2020-02-10,120,164.946651509934,835,107.007026732472,"rmse"
2020-02-10,123,164.945494776963,314,59.1738971150301,"rmse"
2020-02-10,99,164.954748640733,798,111.814370888647,"rmse"
2020-02-10,45,164.975569834217,692,96.6197987730664,"rmse"
2020-02-10,67,164.967087125761,663,93.2543054861116,"rmse"
2020-02-10,52,164.972870790617,473,68.7883515117792,"rmse"
2020-02-10,74,164.964388082161,934,125.916373228818,"rmse"
2020-02-10,58,164.970557324675,191,36.2970967891383,"rmse"
2020-02-10,244,164.898839880453,1322,189.682415041755,"rmse"
2020-02-10,121,164.946265932277,1785,224.141220074731,"rmse"
2020-02-10,256,164.894212948568,3149,440.573066903578,"rmse"
2020-02-10,110,164.950507286505,620,84.1061385580474,"rmse"
2020-02-10,85,164.960146727933,1151,151.010557389691,"rmse"
2020-02-10,82,164.961303460904,872,133.104960185939,"rmse"
2020-02-10,48,164.974413101246,363,61.4182923219203,"rmse"
2020-02-10,163,164.930071670679,1485,211.264576984001,"rmse"
2020-02-10,110,164.950507286505,1219,180.054439032193,"rmse"
2020-02-10,143,164.937783223821,892,107.53827496667,"rmse"
2020-02-10,206,164.913491831423,760,110.040165276011,"rmse"
2020-02-10,66,164.967472703418,863,118.352554182475,"rmse"
2020-02-10,114,164.948964975877,459,70.3359837953851,"rmse"
2020-02-10,160,164.93122840365,1023,152.657163125218,"rmse"
2020-02-10,174,164.925830316451,903,153.877782601344,"rmse"
2020-02-10,135,164.940867845078,1152,143.850613322755,"rmse"
2020-02-10,80,164.962074616218,1496,187.582234051085,"rmse"
2020-02-10,174,164.925830316451,1113,170.096623858748,"rmse"
2020-02-10,191,164.91927549628,1540,191.896436053038,"rmse"
2020-02-10,224,164.906551433595,861,132.498501938119,"rmse"
2020-02-10,267,164.88997159434,1946,246.608563573955,"rmse"
2020-02-10,103,164.953206330105,476,73.5150799256554,"rmse"
2020-02-10,95,164.956290951362,1013,142.154675205487,"rmse"
2020-02-10,153,164.93392744725,1389,203.067752292921,"rmse"
2020-02-10,104,164.952820752448,1144,156.135763458162,"rmse"
2020-02-10,200,164.915805297366,1511,210.532114220305,"rmse"
2020-02-10,146,164.93662649085,1127,149.582114636773,"rmse"
2020-02-10,241,164.899996613425,1056,154.208051060675,"rmse"
2020-02-10,216,164.909636054852,553,85.4628479363874,"rmse"
2020-02-10,103,164.953206330105,999,138.794914500011,"rmse"
2020-02-10,124,164.945109199306,860,109.909952121602,"rmse"
2020-02-10,300,164.877247531656,1303,187.355864781166,"rmse"
2020-02-10,132,164.942024578049,1337,172.018548978644,"rmse"
2020-02-10,139,164.939325534449,3185,416.981924474306,"rmse"
2020-02-10,137,164.940096689763,836,121.474216619142,"rmse"
2020-02-10,147,164.936240913192,742,112.751093751302,"rmse"
2020-02-10,161,164.930842825993,934,141.941807361727,"rmse"
2020-02-10,146,164.93662649085,837,112.329816384113,"rmse"
2020-02-10,155,164.933156291936,672,101.659038520987,"rmse"
2020-02-10,87,164.959375572619,701,107.385662215213,"rmse"
2020-02-10,47,164.974798678903,554,75.0405831209981,"rmse"
2020-02-10,130,164.942795733363,1276,169.275076334071,"rmse"
2020-02-10,76,164.963616926847,962,154.454544994699,"rmse"
2020-02-10,135,164.940867845078,1842,262.592014522511,"rmse"
2020-02-10,263,164.891513904968,1752,246.624735271089,"rmse"
2020-02-10,344,164.860282114743,1546,198.13806315988,"rmse"
2020-02-10,292,164.880332152912,1628,215.281620658296,"rmse"
2020-02-10,54,164.972099635303,692,115.099217254095,"rmse"
2020-02-10,72,164.965159237475,986,126.49364166889,"rmse"
2020-02-10,317,164.870692711485,526,69.1283685416255,"rmse"
2020-02-10,109,164.950892864162,618,105.249046130875,"rmse"
2020-02-10,66,164.967472703418,842,115.551938424014,"rmse"
2020-02-10,391,164.842159964859,1662,221.537557250271,"rmse"
2020-02-10,624,164.752320370754,3178,370.764405479314,"rmse"
2020-02-10,214,164.910407210166,575,139.381433986859,"rmse"
2020-02-10,135,164.940867845078,1026,185.898698672075,"rmse"
