"model","period","value","msa","metric"
"homo","before",206.877432626538,"Atlanta","SMAPE"
"exp","before",155.345747774277,"Atlanta","SMAPE"
"power","before",1521.39586158393,"Atlanta","SMAPE"
"homo","during",121.4697264382,"Atlanta","SMAPE"
"exp","during",85.6962204300722,"Atlanta","SMAPE"
"power","during",1012.48380873856,"Atlanta","SMAPE"
"homo","before",79.6044494854344,"Boston","SMAPE"
"exp","before",83.1479756519683,"Boston","SMAPE"
"power","before",752.927945112786,"Boston","SMAPE"
"homo","during",44.5591543184813,"Boston","SMAPE"
"exp","during",42.881351104434,"Boston","SMAPE"
"power","during",428.30568765032,"Boston","SMAPE"
"homo","before",135.238019799127,"Chicago","SMAPE"
"exp","before",126.29947391856,"Chicago","SMAPE"
"power","before",1142.74338515436,"Chicago","SMAPE"
"homo","during",75.2105662768847,"Chicago","SMAPE"
"exp","during",67.5112016511315,"Chicago","SMAPE"
"power","during",702.152118515189,"Chicago","SMAPE"
"homo","before",193.553142110177,"Dallas","SMAPE"
"exp","before",148.62187158995,"Dallas","SMAPE"
"power","before",1498.63381528613,"Dallas","SMAPE"
"homo","during",111.175024346096,"Dallas","SMAPE"
"exp","during",80.7575667452616,"Dallas","SMAPE"
"power","during",952.024295507055,"Dallas","SMAPE"
"homo","before",273.711969412441,"Houston","SMAPE"
"exp","before",203.088469136463,"Houston","SMAPE"
"power","before",1904.8015392736,"Houston","SMAPE"
"homo","during",179.020749440038,"Houston","SMAPE"
"exp","during",132.77219832236,"Houston","SMAPE"
"power","during",1302.2451046287,"Houston","SMAPE"
"homo","before",111.022681700507,"Los Angeles","SMAPE"
"exp","before",107.825749534003,"Los Angeles","SMAPE"
"power","before",992.362264513973,"Los Angeles","SMAPE"
"homo","during",55.7264772812642,"Los Angeles","SMAPE"
"exp","during",52.0002565232981,"Los Angeles","SMAPE"
"power","during",540.616724165373,"Los Angeles","SMAPE"
"homo","before",167.692285690423,"Miami","SMAPE"
"exp","before",146.740059634989,"Miami","SMAPE"
"power","before",1371.11314529584,"Miami","SMAPE"
"homo","during",84.4902478984447,"Miami","SMAPE"
"exp","during",70.6250282285611,"Miami","SMAPE"
"power","during",788.649393903581,"Miami","SMAPE"
"homo","before",126.018172978922,"New York","SMAPE"
"exp","before",120.740207650246,"New York","SMAPE"
"power","before",1208.61846315412,"New York","SMAPE"
"homo","during",62.1410183076074,"New York","SMAPE"
"exp","during",61.1765952362835,"New York","SMAPE"
"power","during",707.481620966577,"New York","SMAPE"
"homo","before",102.365523873099,"Philadelphia","SMAPE"
"exp","before",84.0512888170153,"Philadelphia","SMAPE"
"power","before",792.00213436536,"Philadelphia","SMAPE"
"homo","during",55.3628953105175,"Philadelphia","SMAPE"
"exp","during",45.3522293577952,"Philadelphia","SMAPE"
"power","during",506.026648674372,"Philadelphia","SMAPE"
"homo","before",100.704096599023,"San Francisco","SMAPE"
"exp","before",99.9402394962239,"San Francisco","SMAPE"
"power","before",966.814876041518,"San Francisco","SMAPE"
"homo","during",51.5896945586803,"San Francisco","SMAPE"
"exp","during",57.3158247309165,"San Francisco","SMAPE"
"power","during",739.122801959945,"San Francisco","SMAPE"
"homo","before",112.082206343502,"Seattle","SMAPE"
"exp","before",106.990619784389,"Seattle","SMAPE"
"power","before",918.861903798676,"Seattle","SMAPE"
"homo","during",60.4843653187235,"Seattle","SMAPE"
"exp","during",53.7523039416026,"Seattle","SMAPE"
"power","during",524.885832477611,"Seattle","SMAPE"
"homo","before",115.190181758074,"Washington, D.C.","SMAPE"
"exp","before",100.377836546543,"Washington, D.C.","SMAPE"
"power","before",945.690904323883,"Washington, D.C.","SMAPE"
"homo","during",63.7233415231306,"Washington, D.C.","SMAPE"
"exp","during",55.3858473427417,"Washington, D.C.","SMAPE"
"power","during",575.173838339911,"Washington, D.C.","SMAPE"
"homo","before",0.667013787885252,"Atlanta","SSI"
"exp","before",0.756689011503614,"Atlanta","SSI"
"power","before",0.231151304366066,"Atlanta","SSI"
"homo","during",0.699457672705467,"Atlanta","SSI"
"exp","during",0.79095194290183,"Atlanta","SSI"
"power","during",0.235573540590626,"Atlanta","SSI"
"homo","before",0.668670869495962,"Boston","SSI"
"exp","before",0.609872039407068,"Boston","SSI"
"power","before",0.232245706905307,"Boston","SSI"
"homo","during",0.682618237662531,"Boston","SSI"
"exp","during",0.709789441361905,"Boston","SSI"
"power","during",0.237704508974696,"Boston","SSI"
"homo","before",0.649417710119467,"Chicago","SSI"
"exp","before",0.688005862721453,"Chicago","SSI"
"power","before",0.215200666565049,"Chicago","SSI"
"homo","during",0.685118346192844,"Chicago","SSI"
"exp","during",0.748913310623487,"Chicago","SSI"
"power","during",0.219481570457525,"Chicago","SSI"
"homo","before",0.640054644396793,"Dallas","SSI"
"exp","before",0.743275388801244,"Dallas","SSI"
"power","before",0.214752988754791,"Dallas","SSI"
"homo","during",0.669110724055799,"Dallas","SSI"
"exp","during",0.780357814371154,"Dallas","SSI"
"power","during",0.219994040929834,"Dallas","SSI"
"homo","before",0.618835264643159,"Houston","SSI"
"exp","before",0.740076596787821,"Houston","SSI"
"power","before",0.214302126940758,"Houston","SSI"
"homo","during",0.642919682211558,"Houston","SSI"
"exp","during",0.760968600915331,"Houston","SSI"
"power","during",0.216245441889365,"Houston","SSI"
"homo","before",0.667884695050551,"Los Angeles","SSI"
"exp","before",0.684697055836492,"Los Angeles","SSI"
"power","before",0.21249621286841,"Los Angeles","SSI"
"homo","during",0.708436651905655,"Los Angeles","SSI"
"exp","during",0.738641010915155,"Los Angeles","SSI"
"power","during",0.218706246226927,"Los Angeles","SSI"
"homo","before",0.662668772205049,"Miami","SSI"
"exp","before",0.722920640989996,"Miami","SSI"
"power","before",0.211876014523065,"Miami","SSI"
"homo","during",0.711138807991381,"Miami","SSI"
"exp","during",0.769600241277912,"Miami","SSI"
"power","during",0.218390717237414,"Miami","SSI"
"homo","before",0.439681433826617,"New York","SSI"
"exp","before",0.438099377068689,"New York","SSI"
"power","before",0.218756707015965,"New York","SSI"
"homo","during",0.430531022795916,"New York","SSI"
"exp","during",0.408403860366741,"New York","SSI"
"power","during",0.224529420602258,"New York","SSI"
"homo","before",0.677484243792861,"Philadelphia","SSI"
"exp","before",0.743475136759872,"Philadelphia","SSI"
"power","before",0.222391560485008,"Philadelphia","SSI"
"homo","during",0.718306916944068,"Philadelphia","SSI"
"exp","during",0.779653264999901,"Philadelphia","SSI"
"power","during",0.227996504718251,"Philadelphia","SSI"
"homo","before",0.630855236448901,"San Francisco","SSI"
"exp","before",0.584919938888891,"San Francisco","SSI"
"power","before",0.209048461071544,"San Francisco","SSI"
"homo","during",0.650608779610503,"San Francisco","SSI"
"exp","during",0.389057305490126,"San Francisco","SSI"
"power","during",0.216888501195618,"San Francisco","SSI"
"homo","before",0.665070460888918,"Seattle","SSI"
"exp","before",0.681863323736162,"Seattle","SSI"
"power","before",0.221830440236921,"Seattle","SSI"
"homo","during",0.718962245499688,"Seattle","SSI"
"exp","during",0.754597689577933,"Seattle","SSI"
"power","during",0.22809034197365,"Seattle","SSI"
"homo","before",0.667482284560257,"Washington, D.C.","SSI"
"exp","before",0.72141742758899,"Washington, D.C.","SSI"
"power","before",0.225722947973428,"Washington, D.C.","SSI"
"homo","during",0.709656089465383,"Washington, D.C.","SSI"
"exp","during",0.75903318608702,"Washington, D.C.","SSI"
"power","during",0.231626584058215,"Washington, D.C.","SSI"
"homo","before",0.617326233157486,"Atlanta","CPC"
"exp","before",0.74742637090267,"Atlanta","CPC"
"power","before",0.998882726661303,"Atlanta","CPC"
"homo","during",0.651435068434805,"Atlanta","CPC"
"exp","during",0.778510648900805,"Atlanta","CPC"
"power","during",1,"Atlanta","CPC"
"homo","before",0.572795280855712,"Boston","CPC"
"exp","before",0.457859014550852,"Boston","CPC"
