day,index,rho,error,boot,nblock,lag,msa,region,yindex,keep_ratio,B,n_fail
2020-02-10,homo,0.000289844697667461,55.9643146316232,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-10,power,65.6231197776083,516.374204464563,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-10,exp,0.435309717256,58.3600980416298,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-11,homo,0.000289844697667461,54.5178867689965,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-11,power,65.6231197776083,495.616808881795,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-11,exp,0.433999661641945,56.4490666257987,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-12,homo,0.000289844697667461,58.0318508169444,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-12,power,65.6231197776083,519.236676703098,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-12,exp,0.433438280357237,59.5266894845963,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-13,homo,0.000289844697667461,55.7158256771448,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-13,power,65.6231197776083,505.161771703064,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-13,exp,0.433458755887758,57.5194971209337,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-14,homo,0.000289844697667461,59.6054611601594,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-14,power,65.6231197776083,530.667861025998,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-14,exp,0.435634612353075,60.6580339786039,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-15,homo,0.000244971852252939,53.5241605529599,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-15,power,65.6231197776083,458.810299089587,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-15,exp,0.433677216432614,52.911575112441,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-16,homo,0.000244971852252939,50.5187064074635,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-16,power,65.6231197776083,425.341670796802,1,3076,37,Boston,msa,2,0.9,100,0
2020-02-16,exp,0.431223425372882,49.8394648740759,1,3076,37,Boston,msa,2,0.9,100,0
2020-03-30,homo,0.000244971852252939,36.3908841787382,1,3076,37,Boston,msa,2,0.9,100,0
2020-03-30,power,65.6231197776083,290.292894957271,1,3076,37,Boston,msa,2,0.9,100,0
2020-03-30,exp,0.430887282584896,33.1498316174753,1,3076,37,Boston,msa,2,0.9,100,0
