"msa","day","rep","lag","eta","total_flow","rho","error"
"Chicago",2020-02-10,1,38,0.05,1265985,0.425736156034367,79.686458931679
"Chicago",2020-02-10,2,38,0.05,1265985,0.425832928677786,79.4872275487038
"Chicago",2020-02-10,3,38,0.05,1265985,0.425720230154181,79.5678829846613
"Chicago",2020-02-10,4,38,0.05,1265985,0.425754681525698,79.4280968733626
"Chicago",2020-02-10,5,38,0.05,1265985,0.425684718234263,79.8922048067123
"Chicago",2020-02-10,6,38,0.05,1265985,0.425837980373067,79.5372813825197
"Chicago",2020-02-10,7,38,0.05,1265985,0.42588794123188,79.2793207324641
"Chicago",2020-02-10,8,38,0.05,1265985,0.425874007213749,79.5488800588317
"Chicago",2020-02-10,9,38,0.05,1265985,0.425753594182689,79.5532080350251
"Chicago",2020-02-10,10,38,0.05,1265985,0.425786439749097,79.7320466510101
"Chicago",2020-02-10,11,38,0.05,1265985,0.425917496176489,79.0240923464503
"Chicago",2020-02-10,12,38,0.05,1265985,0.425820876951977,79.6960738429104
"Chicago",2020-02-10,13,38,0.05,1265985,0.425886769185332,79.3583112034884
"Chicago",2020-02-10,14,38,0.05,1265985,0.42576309964709,79.5080828651522
"Chicago",2020-02-10,15,38,0.05,1265985,0.425739785498027,79.7856490295695
"Chicago",2020-02-10,16,38,0.05,1265985,0.42573807978432,79.6265675156093
"Chicago",2020-02-10,17,38,0.05,1265985,0.425959238307057,79.0861857576872
"Chicago",2020-02-10,18,38,0.05,1265985,0.425730541059581,79.5938283213155
"Chicago",2020-02-10,19,38,0.05,1265985,0.425903820519037,79.2464628057229
"Chicago",2020-02-10,20,38,0.05,1265985,0.425891206886961,79.5285217303885
"Chicago",2020-02-10,21,38,0.05,1265985,0.42553809454468,79.9044841435325
"Chicago",2020-02-10,22,38,0.05,1265985,0.425968860502216,79.3259569805722
"Chicago",2020-02-10,23,38,0.05,1265985,0.425856769557747,79.2850835595674
"Chicago",2020-02-10,24,38,0.05,1265985,0.425866932916347,79.5931230047356
"Chicago",2020-02-10,25,38,0.05,1265985,0.425757364823843,79.6632002352833
"Chicago",2020-02-10,26,38,0.05,1265985,0.425631629219717,80.0271958808667
"Chicago",2020-02-10,27,38,0.05,1265985,0.425820741796267,79.4925028821779
"Chicago",2020-02-10,28,38,0.05,1265985,0.425769635583022,79.5841994068656
"Chicago",2020-02-10,29,38,0.05,1265985,0.425785265043336,79.1951398535609
"Chicago",2020-02-10,30,38,0.05,1265985,0.425720609977422,79.9440193340895
"Chicago",2020-02-10,31,38,0.05,1265985,0.42581352412733,79.5396417934035
"Chicago",2020-02-10,32,38,0.05,1265985,0.425790963489682,79.4564696978492
"Chicago",2020-02-10,33,38,0.05,1265985,0.425843546638959,79.4087722421206
"Chicago",2020-02-10,34,38,0.05,1265985,0.425782208050198,79.3956500344617
"Chicago",2020-02-10,35,38,0.05,1265985,0.425589122698034,79.9200228969907
"Chicago",2020-02-10,36,38,0.05,1265985,0.425784688223795,79.6129426933608
"Chicago",2020-02-10,37,38,0.05,1265985,0.425801670159089,79.6104996870158
"Chicago",2020-02-10,38,38,0.05,1265985,0.425897756816578,79.6662104751636
"Chicago",2020-02-10,39,38,0.05,1265985,0.425697808471899,79.4058473794954
"Chicago",2020-02-10,40,38,0.05,1265985,0.425760949258376,79.6897763319034
"Chicago",2020-02-10,41,38,0.05,1265985,0.425829326618372,79.4740946788617
"Chicago",2020-02-10,42,38,0.05,1265985,0.425813870391595,79.6183305139118
"Chicago",2020-02-10,43,38,0.05,1265985,0.425750242970806,79.7690014144846
"Chicago",2020-02-10,44,38,0.05,1265985,0.425473871839636,80.0215288038716
"Chicago",2020-02-10,45,38,0.05,1265985,0.425794933116193,79.4772798776792
"Chicago",2020-02-10,46,38,0.05,1265985,0.425813886186663,79.6148892497809
"Chicago",2020-02-10,47,38,0.05,1265985,0.42577817963306,79.491892315737
"Chicago",2020-02-10,48,38,0.05,1265985,0.42565368881807,79.5218167654166
