day,index,rho,error,boot,nblock,lag,msa,region,yindex,keep_ratio,B,n_fail
2020-02-10,homo,0.000244971852252939,165.749558198893,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-10,power,79.9999508083439,1211.52748029685,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-10,exp,0.449453008632763,124.290795774712,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-11,homo,0.000244971852252939,162.483911969534,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-11,power,79.9999508083439,1171.93715200249,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-11,exp,0.446249880196371,124.504514788433,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-12,homo,0.000244971852252939,165.294674762068,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-12,power,79.9999508083439,1184.33151560752,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-12,exp,0.448150478111083,124.628148636827,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-13,homo,0.000244971852252939,172.865266064286,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-13,power,79.9999508083439,1234.67460029922,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-13,exp,0.448834630032126,129.140663126948,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-14,homo,0.000244971852252939,183.210863912919,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-14,power,79.9999508083439,1317.56334293296,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-14,exp,0.449587089486299,136.516543089645,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-15,homo,0.000244971852252939,168.874150754593,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-15,power,79.9999508083439,1199.22243294143,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-15,exp,0.448570819728165,126.586664967947,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-16,homo,0.000244971852252939,156.301084549719,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-16,power,79.9999508083439,1108.46648792225,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-16,exp,0.448266485435111,116.356885530923,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-30,homo,0.000244971852252939,102.794085250949,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-30,power,79.9999508083439,736.967967669982,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-30,exp,0.447622506088728,76.6534501864896,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-31,homo,0.000244971852252939,106.138145957741,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-31,power,79.9999508083439,758.775411815708,1,3715,36,Dallas,msa,2,0.9,100,0
2020-03-31,exp,0.448025251943216,78.7252138387618,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-01,homo,0.000244971852252939,119.615165192347,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-01,power,79.9999508083439,855.570808370648,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-01,exp,0.448452649074789,91.1037913326832,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-02,homo,0.000244971852252939,119.542644578238,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-02,power,79.9999508083439,845.720192984812,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-02,exp,0.447604065548775,92.0917574408276,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-03,homo,0.000244971852252939,120.261492292865,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-03,power,79.9999508083439,858.677804307524,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-03,exp,0.447811150960586,92.551158456312,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-04,homo,0.000244971852252939,110.602105462773,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-04,power,64.7214332302896,779.905897466093,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-04,exp,0.44699202281118,84.9543316604261,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-05,homo,0.000244971852252939,101.335912456159,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-05,power,79.9999508083439,716.817130683054,1,3715,36,Dallas,msa,2,0.9,100,0
2020-04-05,exp,0.445832635919451,78.5920964512385,1,3715,36,Dallas,msa,2,0.9,100,0
2020-02-10,homo,0.000244971852252939,165.69890773878,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-10,power,79.9999508083439,1212.51283812492,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-10,exp,0.450901254307152,125.368968758043,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-11,homo,0.000244971852252939,160.683638845866,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-11,power,79.9999508083439,1149.1394433026,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-11,exp,0.450605212156519,120.628752468943,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-12,homo,0.000244971852252939,164.660553636157,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-12,power,79.9999508083439,1176.37173639987,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-12,exp,0.450603891800864,123.845681871331,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-13,homo,0.000244971852252939,172.741952994244,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-13,power,79.9999508083439,1229.3979693543,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-13,exp,0.450788792421048,129.342253530476,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-14,homo,0.000244971852252939,183.275097729628,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-14,power,79.9999508083439,1315.51891789688,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-14,exp,0.451100592490246,137.612719877664,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-15,homo,0.000244971852252939,168.757668387495,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-15,power,79.9999508083439,1199.71135335822,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-15,exp,0.449989932787459,127.60452432407,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-16,homo,0.000244971852252939,156.127085188356,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-16,power,79.9999508083439,1106.4898888002,2,3715,35,Dallas,msa,2,0.9,100,0
2020-02-16,exp,0.450125363080126,116.442650588068,2,3715,35,Dallas,msa,2,0.9,100,0
2020-03-30,homo,0.000244971852252939,102.805434532338,2,3715,35,Dallas,msa,2,0.9,100,0
2020-03-30,power,79.9999508083439,735.935475578524,2,3715,35,Dallas,msa,2,0.9,100,0
2020-03-30,exp,0.449593024523971,76.7175303070979,2,3715,35,Dallas,msa,2,0.9,100,0
