"day","lag","rho","error","index","model"
2020-02-10,33,0.424766395612236,117.523850935458,"exp","gravity"
2020-02-11,33,0.424362051933619,110.891440522534,"exp","gravity"
2020-02-12,33,0.424520581181206,113.390823830358,"exp","gravity"
2020-02-13,33,0.424781553381065,117.789664738185,"exp","gravity"
2020-02-14,33,0.425196063899964,125.611014361619,"exp","gravity"
2020-02-15,33,0.42459022386311,114.528823672568,"exp","gravity"
2020-02-16,33,0.424029387173482,106.024186795302,"exp","gravity"
2020-03-30,33,0.4204747448617,73.4886859605921,"exp","gravity"
2020-03-31,33,0.420778135578189,75.3704131352674,"exp","gravity"
2020-04-01,33,0.422133969370047,85.3770921839339,"exp","gravity"
2020-04-02,33,0.422014184900064,84.369567107061,"exp","gravity"
2020-04-03,33,0.422152433560452,85.5348623524957,"exp","gravity"
2020-04-04,33,0.421180373915642,78.0468712487275,"exp","gravity"
2020-04-05,33,0.420231217011109,72.0558617034508,"exp","gravity"
2020-02-10,33,0.417800854701807,132.808317124672,"exp","radial"
2020-02-11,33,0.417409042307177,125.194311293506,"exp","radial"
2020-02-12,33,0.417562653114966,128.063548900881,"exp","radial"
2020-02-13,33,0.417815543599427,133.113480505065,"exp","radial"
2020-02-14,33,0.418217258276323,142.092935763518,"exp","radial"
2020-02-15,33,0.417630137249179,129.369970158391,"exp","radial"
2020-02-16,33,0.417086719187529,119.607019277017,"exp","radial"
2020-03-30,33,0.413656933666263,82.2698330708759,"exp","radial"
2020-03-31,33,0.413918645000806,84.4284400125166,"exp","radial"
2020-04-01,33,0.415267639348644,95.9096879456285,"exp","radial"
2020-04-02,33,0.415150502528684,94.753553334982,"exp","radial"
2020-04-03,33,0.415285693413629,96.0907316501905,"exp","radial"
2020-04-04,33,0.414321961307315,87.4989605990515,"exp","radial"
2020-04-05,33,0.413415156309394,80.6262860744893,"exp","radial"
