"msa","day","rep","lag","eta","total_flow","rho","error"
"Houston",2020-02-10,1,28,0.05,1166178,0.418252804109708,248.725753758978
"Houston",2020-02-10,2,28,0.05,1166178,0.419438676976263,243.603310987628
"Houston",2020-02-10,3,28,0.05,1166178,0.419231870715428,244.766681770845
"Houston",2020-02-10,4,28,0.05,1166178,0.419246427947948,246.08247838951
"Houston",2020-02-10,5,28,0.05,1166178,0.417653743847409,251.16703787561
"Houston",2020-02-10,6,28,0.05,1166178,0.418799604475513,246.663611316358
"Houston",2020-02-10,7,28,0.05,1166178,0.419989931563141,244.263856153427
"Houston",2020-02-10,8,28,0.05,1166178,0.418657048115985,247.101955978113
"Houston",2020-02-10,9,28,0.05,1166178,0.418581063548835,248.217763453708
"Houston",2020-02-10,10,28,0.05,1166178,0.419219074404995,243.557836692227
"Houston",2020-02-10,11,28,0.05,1166178,0.418501102895223,248.470463507583
"Houston",2020-02-10,12,28,0.05,1166178,0.419692956619616,244.284332516617
"Houston",2020-02-10,13,28,0.05,1166178,0.418832957964194,247.125507341261
"Houston",2020-02-10,14,28,0.05,1166178,0.418171075336681,249.181359525175
"Houston",2020-02-10,15,28,0.05,1166178,0.41895255728292,245.442753171171
"Houston",2020-02-10,16,28,0.05,1166178,0.418570168848777,247.005452545288
"Houston",2020-02-10,17,28,0.05,1166178,0.419562618550044,245.565037400007
"Houston",2020-02-10,18,28,0.05,1166178,0.418295909534801,248.368686719673
"Houston",2020-02-10,19,28,0.05,1166178,0.41878520780183,246.270368018079
"Houston",2020-02-10,20,28,0.05,1166178,0.418801547389126,246.88284939756
"Houston",2020-02-10,21,28,0.05,1166178,0.419410078130793,244.088368814029
"Houston",2020-02-10,22,28,0.05,1166178,0.418371058272354,249.045590583384
"Houston",2020-02-10,23,28,0.05,1166178,0.418590207321323,247.159912811725
"Houston",2020-02-10,24,28,0.05,1166178,0.419404275708173,244.444901963444
"Houston",2020-02-10,25,28,0.05,1166178,0.418917537126277,247.875718554325
"Houston",2020-02-10,26,28,0.05,1166178,0.418607333094474,248.635370956696
"Houston",2020-02-10,27,28,0.05,1166178,0.418300588190869,250.161007863518
"Houston",2020-02-10,28,28,0.05,1166178,0.419113268327607,245.668221075021
"Houston",2020-02-10,29,28,0.05,1166178,0.419213266656193,245.372467066871
"Houston",2020-02-10,30,28,0.05,1166178,0.418420382187638,248.029091647123
"Houston",2020-02-10,31,28,0.05,1166178,0.419198760660197,244.671152720167
"Houston",2020-02-10,32,28,0.05,1166178,0.419581347347851,243.300798434295
"Houston",2020-02-10,33,28,0.05,1166178,0.418958788893066,246.996179539271
"Houston",2020-02-10,34,28,0.05,1166178,0.4176121953354,251.685470995131
"Houston",2020-02-10,35,28,0.05,1166178,0.418878122099457,247.741559741048
"Houston",2020-02-10,36,28,0.05,1166178,0.419190518518172,244.675061911269
"Houston",2020-02-10,37,28,0.05,1166178,0.419258461620238,244.465868925562
"Houston",2020-02-10,38,28,0.05,1166178,0.419114335394099,244.326049257516
"Houston",2020-02-10,39,28,0.05,1166178,0.418894614953071,246.284593200283
"Houston",2020-02-10,40,28,0.05,1166178,0.417611293873467,251.110502018353
"Houston",2020-02-10,41,28,0.05,1166178,0.418003707530127,250.261635676301
"Houston",2020-02-10,42,28,0.05,1166178,0.418675746993024,247.653951017107
"Houston",2020-02-10,43,28,0.05,1166178,0.418787079898725,247.482519617092
"Houston",2020-02-10,44,28,0.05,1166178,0.418201756597565,248.500568699993
"Houston",2020-02-10,45,28,0.05,1166178,0.418192704196948,248.148185577413
"Houston",2020-02-10,46,28,0.05,1166178,0.418403459227142,249.227699219333
"Houston",2020-02-10,47,28,0.05,1166178,0.418274023491941,248.197351457037
"Houston",2020-02-10,48,28,0.05,1166178,0.418869859091501,247.343630718226
"Houston",2020-02-10,49,28,0.05,1166178,0.418547533350327,248.706729449348
"Houston",2020-02-10,50,28,0.05,1166178,0.419301106242689,245.141742980464
"Houston",2020-02-10,51,28,0.05,1166178,0.419499079099556,244.747405016329
"Houston",2020-02-10,52,28,0.05,1166178,0.418974798138427,245.333597245125
"Houston",2020-02-10,53,28,0.05,1166178,0.41818619585355,247.850284862451
"Houston",2020-02-10,54,28,0.05,1166178,0.418014310620466,250.630382293572
"Houston",2020-02-10,55,28,0.05,1166178,0.419725395345651,243.761120019875
"Houston",2020-02-10,56,28,0.05,1166178,0.419059873234709,247.603852793313
"Houston",2020-02-10,57,28,0.05,1166178,0.418249481452306,248.676975149217
"Houston",2020-02-10,58,28,0.05,1166178,0.41853170042196,248.936460929262
"Houston",2020-02-10,59,28,0.05,1166178,0.418429837457968,248.40062455559
"Houston",2020-02-10,60,28,0.05,1166178,0.418820141263756,246.62777394223
"Houston",2020-02-10,61,28,0.05,1166178,0.418000219840073,249.374033184663
"Houston",2020-02-10,62,28,0.05,1166178,0.418819737711882,246.0680382363
"Houston",2020-02-10,63,28,0.05,1166178,0.41892863322786,246.579909995781
"Houston",2020-02-10,64,28,0.05,1166178,0.418333036880943,247.834574883827
"Houston",2020-02-10,65,28,0.05,1166178,0.41808958848967,249.402486605243
"Houston",2020-02-10,66,28,0.05,1166178,0.419120582344362,245.100895617437
"Houston",2020-02-10,67,28,0.05,1166178,0.418760905460018,247.256194037012
"Houston",2020-02-10,68,28,0.05,1166178,0.418702963394013,247.822574162041
"Houston",2020-02-10,69,28,0.05,1166178,0.419113290092472,246.715203777659
"Houston",2020-02-10,70,28,0.05,1166178,0.418765026570617,246.657370583743
"Houston",2020-02-10,71,28,0.05,1166178,0.418949223679869,246.862603189759
"Houston",2020-02-10,72,28,0.05,1166178,0.419115896718702,246.406949701045
"Houston",2020-02-10,73,28,0.05,1166178,0.419182159209068,245.775886835379
"Houston",2020-02-10,74,28,0.05,1166178,0.417758117011224,251.087337561612
"Houston",2020-02-10,75,28,0.05,1166178,0.419885325861976,243.207325320425
