day,index,rho,error,boot,nblock,lag,msa,region,yindex,keep_ratio,B,n_fail
2020-02-10,homo,0.000260791300701652,138.37503231357,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-10,power,79.9999508083439,1120.22785498108,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-10,exp,0.41672198579289,136.413359063971,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-11,homo,0.000250278770443092,135.573597086527,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-11,power,79.9999508083439,1091.17771116929,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-11,exp,0.410731577888937,134.338210298905,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-12,homo,0.000250418313071011,138.203395232593,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-12,power,79.9999508083439,1084.61052736401,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-12,exp,0.414043478325443,134.396782394573,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-13,homo,0.000251976110095682,143.104767030557,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-13,power,79.9999508083439,1127.66039014299,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-13,exp,0.413328058913869,139.930942185209,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-14,homo,0.000256692190551478,149.287807209378,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-14,power,79.9999508083439,1164.60602979556,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-14,exp,0.418263771739574,143.424155830514,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-15,homo,0.00025304543046785,130.970460859651,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-15,power,79.9999508083439,1046.48397737159,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-15,exp,0.410738081889517,130.233002618418,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-16,homo,0.000252532939583389,119.605048105701,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-16,power,79.9999508083439,948.573595409008,1,3078,26,Miami,msa,2,0.9,100,0
2020-02-16,exp,0.413382420098818,117.319768913195,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-30,homo,0.000244971852252939,78.8559055807366,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-30,power,79.9999508083439,623.962322793059,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-30,exp,0.419165739504996,73.523124133803,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-31,homo,0.000244971852252939,78.3651544095936,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-31,power,79.9999508083439,619.905858163913,1,3078,26,Miami,msa,2,0.9,100,0
2020-03-31,exp,0.418198094342817,73.6721829943866,1,3078,26,Miami,msa,2,0.9,100,0
2020-04-01,homo,0.000244971852252939,88.7279720248077,1,3078,26,Miami,msa,2,0.9,100,0
2020-04-01,power,79.9999508083439,726.113864158047,1,3078,26,Miami,msa,2,0.9,100,0
2020-04-01,exp,0.41260396927484,87.677749100747,1,3078,26,Miami,msa,2,0.9,100,0
2020-04-02,homo,0.000244971852252939,91.3740942575725,1,3078,26,Miami,msa,2,0.9,100,0
