"msa","day","rep","lag","eta","total_flow","rho","error"
"Miami",2020-02-10,1,22,0.05,899103,0.403456447819984,133.369618988025
"Miami",2020-02-10,2,22,0.05,899103,0.404929381681747,131.11161317302
"Miami",2020-02-10,3,22,0.05,899103,0.403036828396981,133.891003474792
"Miami",2020-02-10,4,22,0.05,899103,0.402532290112774,134.527328463604
"Miami",2020-02-10,5,22,0.05,899103,0.404727214127521,131.512019002249
"Miami",2020-02-10,6,22,0.05,899103,0.404115185840521,132.290662122664
"Miami",2020-02-10,7,22,0.05,899103,0.403574318183044,132.997312830628
"Miami",2020-02-10,8,22,0.05,899103,0.404198798734469,131.829356573408
"Miami",2020-02-10,9,22,0.05,899103,0.404058533854407,132.433643231929
"Miami",2020-02-10,10,22,0.05,899103,0.403947722793561,132.220638306016
"Miami",2020-02-10,11,22,0.05,899103,0.403848840626599,132.092378972713
"Miami",2020-02-10,12,22,0.05,899103,0.403270987727574,133.246485880441
"Miami",2020-02-10,13,22,0.05,899103,0.403431974116946,133.437413894575
"Miami",2020-02-10,14,22,0.05,899103,0.404065017825023,132.101068245043
"Miami",2020-02-10,15,22,0.05,899103,0.404328714674156,131.967416285991
"Miami",2020-02-10,16,22,0.05,899103,0.403802244590074,132.741678544196
"Miami",2020-02-10,17,22,0.05,899103,0.403695478725011,133.010287593288
"Miami",2020-02-10,18,22,0.05,899103,0.40415115987855,131.951962687076
"Miami",2020-02-10,19,22,0.05,899103,0.403159492942873,133.693785766288
"Miami",2020-02-10,20,22,0.05,899103,0.403318944997415,133.28122750075
"Miami",2020-02-10,21,22,0.05,899103,0.403239011626872,133.714358821337
"Miami",2020-02-10,22,22,0.05,899103,0.404379316827656,131.709997214898
"Miami",2020-02-10,23,22,0.05,899103,0.403210604237171,133.504912705817
"Miami",2020-02-10,24,22,0.05,899103,0.403456811459078,133.173627595161
"Miami",2020-02-10,25,22,0.05,899103,0.403377457389565,133.530402238279
"Miami",2020-02-10,26,22,0.05,899103,0.403764513812396,133.211270174628
"Miami",2020-02-10,27,22,0.05,899103,0.40357638756619,132.933169007468
"Miami",2020-02-10,28,22,0.05,899103,0.404354632303391,132.120334947218
"Miami",2020-02-10,29,22,0.05,899103,0.402857898470601,133.994289273502
"Miami",2020-02-10,30,22,0.05,899103,0.403783097213006,132.514451054125
"Miami",2020-02-10,31,22,0.05,899103,0.40362621893852,133.164336313631
"Miami",2020-02-10,32,22,0.05,899103,0.403470751655226,133.365961450046
"Miami",2020-02-10,33,22,0.05,899103,0.402921198039686,133.863536256322
"Miami",2020-02-10,34,22,0.05,899103,0.403957749315143,132.37858916849
"Miami",2020-02-10,35,22,0.05,899103,0.402835846097796,133.831236347327
"Miami",2020-02-10,36,22,0.05,899103,0.403505729877312,132.87146557497
"Miami",2020-02-10,37,22,0.05,899103,0.403871047272732,132.571387126387
"Miami",2020-02-10,38,22,0.05,899103,0.4037465164146,132.700493413938
