"day","lag","rho","error","index","err_tag"
2020-02-10,33,0.000245400798269156,0.710902582236489,"homo","logrmse"
2020-02-11,33,0.000204281745042237,0.723307168181057,"homo","logrmse"
2020-02-12,33,0.000204281745042237,0.72663898094123,"homo","logrmse"
2020-02-13,33,0.000204281745042237,0.725127621561405,"homo","logrmse"
2020-02-14,33,0.000204281745042237,0.731777461439657,"homo","logrmse"
2020-02-15,33,0.000204281745042237,0.744843374442704,"homo","logrmse"
2020-02-16,33,0.000204281745042237,0.742857028328423,"homo","logrmse"
2020-03-30,33,0.000204281745042237,0.742619290730031,"homo","logrmse"
2020-03-31,33,0.000204281745042237,0.735045351893831,"homo","logrmse"
2020-04-01,33,0.000204281745042237,0.742646344330418,"homo","logrmse"
2020-04-02,33,0.000204281745042237,0.752835576356435,"homo","logrmse"
2020-04-03,33,0.000204281745042237,0.751390073835478,"homo","logrmse"
2020-04-04,33,0.000204281745042237,0.746411843948654,"homo","logrmse"
2020-04-05,33,0.000204281745042237,0.735045849880699,"homo","logrmse"
2020-02-10,33,60.9017499402505,2.04339236035342,"power","logrmse"
2020-02-11,33,60.9017499402505,2.05253516054652,"power","logrmse"
2020-02-12,33,60.9017499402505,2.05422026583892,"power","logrmse"
2020-02-13,33,60.9017499402505,2.05237871148989,"power","logrmse"
2020-02-14,33,60.9017499402505,2.05146788522155,"power","logrmse"
2020-02-15,33,60.9017499402505,2.05837566831142,"power","logrmse"
2020-02-16,33,60.9017499402505,2.05888207935838,"power","logrmse"
2020-03-30,33,60.9017499402505,2.04507902316728,"power","logrmse"
2020-03-31,33,60.9017499402505,2.04395863023617,"power","logrmse"
2020-04-01,33,60.9017499402505,2.06240714747135,"power","logrmse"
2020-04-02,33,60.9017499402505,2.0676009559584,"power","logrmse"
2020-04-03,33,60.9017499402505,2.06539048611818,"power","logrmse"
2020-04-04,33,60.9017499402505,2.06639972387445,"power","logrmse"
2020-04-05,33,60.9017499402505,2.06573806862317,"power","logrmse"
2020-02-10,33,0.443337603346077,0.611027810954502,"exp","logrmse"
2020-02-11,33,0.442555958897339,0.627278220537326,"exp","logrmse"
2020-02-12,33,0.442424933922663,0.628836015318022,"exp","logrmse"
2020-02-13,33,0.442510211247028,0.62368277132858,"exp","logrmse"
2020-02-14,33,0.442274378191966,0.617993057638656,"exp","logrmse"
2020-02-15,33,0.441517548341981,0.629888991590006,"exp","logrmse"
2020-02-16,33,0.441373427003024,0.628628920970058,"exp","logrmse"
2020-03-30,33,0.442218626337342,0.606366447806144,"exp","logrmse"
2020-03-31,33,0.44203136946832,0.601668365301748,"exp","logrmse"
2020-04-01,33,0.440598625187209,0.625486712159122,"exp","logrmse"
2020-04-02,33,0.440151536343865,0.632986609366476,"exp","logrmse"
2020-04-03,33,0.44028942634828,0.628894250481456,"exp","logrmse"
2020-04-04,33,0.440181438951989,0.630944043954984,"exp","logrmse"
2020-04-05,33,0.440167395801399,0.62921279094723,"exp","logrmse"
