"msa","day","rep","lag","eta","total_flow","rho","error"
"Washington, D.C.",2020-02-10,1,33,0.05,687126,0.424522094241684,81.5244695380151
"Washington, D.C.",2020-02-10,2,33,0.05,687126,0.424447816309583,81.5483012109576
"Washington, D.C.",2020-02-10,3,33,0.05,687126,0.424313893374381,81.6358014069758
"Washington, D.C.",2020-02-10,4,33,0.05,687126,0.424567346759654,81.4206971787
"Washington, D.C.",2020-02-10,5,33,0.05,687126,0.424585246561652,81.310106404655
"Washington, D.C.",2020-02-10,6,33,0.05,687126,0.424444015679253,81.6039764188746
"Washington, D.C.",2020-02-10,7,33,0.05,687126,0.424358233918851,81.6664121485233
"Washington, D.C.",2020-02-10,8,33,0.05,687126,0.424564379385288,81.252636835861
"Washington, D.C.",2020-02-10,9,33,0.05,687126,0.424609235685185,81.3857831135604
"Washington, D.C.",2020-02-10,10,33,0.05,687126,0.42455778836202,81.4551270182725
"Washington, D.C.",2020-02-10,11,33,0.05,687126,0.424519098017151,81.5626992822176
"Washington, D.C.",2020-02-10,12,33,0.05,687126,0.424223652479577,81.7561705608208
"Washington, D.C.",2020-02-10,13,33,0.05,687126,0.424301153272494,81.7107719803717
"Washington, D.C.",2020-02-10,14,33,0.05,687126,0.42446311961765,81.5726140484439
"Washington, D.C.",2020-02-10,15,33,0.05,687126,0.424546343487026,81.3813958591961
"Washington, D.C.",2020-02-10,16,33,0.05,687126,0.424442916709752,81.595259584093
"Washington, D.C.",2020-02-10,17,33,0.05,687126,0.424383068863661,81.7227903455951
"Washington, D.C.",2020-02-10,18,33,0.05,687126,0.424700433416553,81.2615874486485
"Washington, D.C.",2020-02-10,19,33,0.05,687126,0.424479545395721,81.4681458835681
"Washington, D.C.",2020-02-10,20,33,0.05,687126,0.424627898847789,81.3296485186384
"Washington, D.C.",2020-02-10,21,33,0.05,687126,0.424244679609042,81.917149693096
"Washington, D.C.",2020-02-10,22,33,0.05,687126,0.42437728183956,81.8334218187216
"Washington, D.C.",2020-02-10,23,33,0.05,687126,0.424453488951289,81.4766405740527
"Washington, D.C.",2020-02-10,24,33,0.05,687126,0.42436057141361,81.6077631872002
"Washington, D.C.",2020-02-10,25,33,0.05,687126,0.424422788869076,81.7112792371594
"Washington, D.C.",2020-02-10,26,33,0.05,687126,0.424339437925706,81.6389062300374
"Washington, D.C.",2020-02-10,27,33,0.05,687126,0.424443071154835,81.6738073832786
"Washington, D.C.",2020-02-10,28,33,0.05,687126,0.424305732759019,81.7170196525952
"Washington, D.C.",2020-02-10,29,33,0.05,687126,0.424572673695458,81.5151460889676
"Washington, D.C.",2020-02-10,30,33,0.05,687126,0.424612603393636,81.4026215452178
"Washington, D.C.",2020-02-10,31,33,0.05,687126,0.424445252142075,81.5744821368127
"Washington, D.C.",2020-02-10,32,33,0.05,687126,0.424499543972496,81.5678412782201
"Washington, D.C.",2020-02-10,33,33,0.05,687126,0.424705969018509,81.2411340856524
"Washington, D.C.",2020-02-10,34,33,0.05,687126,0.424406064598264,81.5657728262763
"Washington, D.C.",2020-02-10,35,33,0.05,687126,0.424427941100333,81.4718214320187
"Washington, D.C.",2020-02-10,36,33,0.05,687126,0.424557889108293,81.4463676420928
"Washington, D.C.",2020-02-10,37,33,0.05,687126,0.424367401910872,81.6153047603592
"Washington, D.C.",2020-02-10,38,33,0.05,687126,0.424453440575769,81.5758690984503
"Washington, D.C.",2020-02-10,39,33,0.05,687126,0.424348984941741,81.5968869055676
"Washington, D.C.",2020-02-10,40,33,0.05,687126,0.424589522839066,81.4911655765758
"Washington, D.C.",2020-02-10,41,33,0.05,687126,0.424676403468011,81.265024866095
"Washington, D.C.",2020-02-10,42,33,0.05,687126,0.424289023984247,81.7898860526704
"Washington, D.C.",2020-02-10,43,33,0.05,687126,0.424371021462971,81.6726592917001
"Washington, D.C.",2020-02-10,44,33,0.05,687126,0.424582649759778,81.3811934169252
"Washington, D.C.",2020-02-10,45,33,0.05,687126,0.424426547640099,81.4575317669861
"Washington, D.C.",2020-02-10,46,33,0.05,687126,0.424525398883428,81.5551365735186
"Washington, D.C.",2020-02-10,47,33,0.05,687126,0.424292048949766,81.6624645240754
"Washington, D.C.",2020-02-10,48,33,0.05,687126,0.424595087455807,81.1452085536814
"Washington, D.C.",2020-02-10,49,33,0.05,687126,0.424505889481331,81.3601970980246
"Washington, D.C.",2020-02-10,50,33,0.05,687126,0.42447860091811,81.4427332250908
"Washington, D.C.",2020-02-10,51,33,0.05,687126,0.424446418831753,81.6155420995157
"Washington, D.C.",2020-02-10,52,33,0.05,687126,0.424455220351475,81.6787105296385
"Washington, D.C.",2020-02-10,53,33,0.05,687126,0.424791693570696,81.1782010808638
"Washington, D.C.",2020-02-10,54,33,0.05,687126,0.424789409177966,81.2679814226173
"Washington, D.C.",2020-02-10,55,33,0.05,687126,0.424676688000486,81.2959157313324
"Washington, D.C.",2020-02-10,56,33,0.05,687126,0.424302083430037,81.7371325720505
"Washington, D.C.",2020-02-10,57,33,0.05,687126,0.424543987319959,81.4935932536238
"Washington, D.C.",2020-02-10,58,33,0.05,687126,0.424494993222946,81.637905017558
"Washington, D.C.",2020-02-10,59,33,0.05,687126,0.424415993443474,81.7192893200972
"Washington, D.C.",2020-02-10,60,33,0.05,687126,0.424316422210986,81.8836550597356
"Washington, D.C.",2020-02-10,61,33,0.05,687126,0.424400477538842,81.6474805690712
"Washington, D.C.",2020-02-10,62,33,0.05,687126,0.424693903501967,81.2815038323512
"Washington, D.C.",2020-02-10,63,33,0.05,687126,0.424570226633732,81.4106084625111
"Washington, D.C.",2020-02-10,64,33,0.05,687126,0.424513978418357,81.4825929085737
"Washington, D.C.",2020-02-10,65,33,0.05,687126,0.424661199028193,81.4066075548611
"Washington, D.C.",2020-02-10,66,33,0.05,687126,0.424552379152033,81.4431965925772
"Washington, D.C.",2020-02-10,67,33,0.05,687126,0.424597883701705,81.3268623708802
"Washington, D.C.",2020-02-10,68,33,0.05,687126,0.424642565982521,81.3633025611402
"Washington, D.C.",2020-02-10,69,33,0.05,687126,0.424639643364762,81.3036864696356
"Washington, D.C.",2020-02-10,70,33,0.05,687126,0.424553235711132,81.4598250397868
"Washington, D.C.",2020-02-10,71,33,0.05,687126,0.424608835698626,81.3803767326073
"Washington, D.C.",2020-02-10,72,33,0.05,687126,0.424649486895445,81.4087685361559
"Washington, D.C.",2020-02-10,73,33,0.05,687126,0.424541137071531,81.4628225158203
"Washington, D.C.",2020-02-10,74,33,0.05,687126,0.424520671311922,81.558557513798
"Washington, D.C.",2020-02-10,75,33,0.05,687126,0.424395481478381,81.5743339485382
"Washington, D.C.",2020-02-10,76,33,0.05,687126,0.424254403714585,81.8474578131606
"Washington, D.C.",2020-02-10,77,33,0.05,687126,0.424313622609437,81.7114928205967
"Washington, D.C.",2020-02-10,78,33,0.05,687126,0.424559018480024,81.5652456243182
"Washington, D.C.",2020-02-10,79,33,0.05,687126,0.424555013327312,81.448813185888
"Washington, D.C.",2020-02-10,80,33,0.05,687126,0.424368356305797,81.6133943355685
"Washington, D.C.",2020-02-10,81,33,0.05,687126,0.424576410755661,81.2942485083238
"Washington, D.C.",2020-02-10,82,33,0.05,687126,0.424591442403649,81.4175018816273
"Washington, D.C.",2020-02-10,83,33,0.05,687126,0.424504632085628,81.4694765080463
"Washington, D.C.",2020-02-10,84,33,0.05,687126,0.42425486553092,81.7924441580989
"Washington, D.C.",2020-02-10,85,33,0.05,687126,0.424771368878314,81.2603230445768
"Washington, D.C.",2020-02-10,86,33,0.05,687126,0.424674211999741,81.2826667849884
"Washington, D.C.",2020-02-10,87,33,0.05,687126,0.424218890964196,81.9183686757938
"Washington, D.C.",2020-02-10,88,33,0.05,687126,0.424565392533708,81.5078735828153
"Washington, D.C.",2020-02-10,89,33,0.05,687126,0.424720938900183,81.2324399952037
"Washington, D.C.",2020-02-10,90,33,0.05,687126,0.424610979828232,81.3906165695151
"Washington, D.C.",2020-02-10,91,33,0.05,687126,0.424546595870692,81.5116371843598
"Washington, D.C.",2020-02-10,92,33,0.05,687126,0.42422128682797,81.7227761078898
"Washington, D.C.",2020-02-10,93,33,0.05,687126,0.424599294624086,81.3496734009219
"Washington, D.C.",2020-02-10,94,33,0.05,687126,0.424303339250601,81.7925338079053
"Washington, D.C.",2020-02-10,95,33,0.05,687126,0.424627226188764,81.256327668605
"Washington, D.C.",2020-02-10,96,33,0.05,687126,0.424451892767055,81.6305234371401
"Washington, D.C.",2020-02-10,97,33,0.05,687126,0.424250630555904,81.8781865320239
"Washington, D.C.",2020-02-10,98,33,0.05,687126,0.424626167563238,81.4002918519395
"Washington, D.C.",2020-02-10,99,33,0.05,687126,0.424713082337568,81.1342192038187
"Washington, D.C.",2020-02-10,100,33,0.05,687126,0.424307030624628,81.7609808194444
"Washington, D.C.",2020-02-11,1,33,0.05,665343,0.424734514308793,79.0025422522491
"Washington, D.C.",2020-02-11,2,33,0.05,665343,0.42459731189011,79.0413156355316
"Washington, D.C.",2020-02-11,3,33,0.05,665343,0.424575273123247,79.0969069936467
"Washington, D.C.",2020-02-11,4,33,0.05,665343,0.424579767164921,79.122475443903
"Washington, D.C.",2020-02-11,5,33,0.05,665343,0.424787609658808,78.8114650310797
"Washington, D.C.",2020-02-11,6,33,0.05,665343,0.424665155276527,79.0206076167225
"Washington, D.C.",2020-02-11,7,33,0.05,665343,0.424711890724039,79.0612337572685
