City,Period,Kernel,T_days,N_CBGs,Mean_rho,CI_rho
Atlanta,Before,No-decay,7,2597,3e-04,"[0.0003, 0.0003]"
Atlanta,Before,Power-law,7,2597,5,"[5.0000, 5.0000]"
Atlanta,Before,Exponential,7,2597,0.4511,"[0.4508, 0.4514]"
Atlanta,During,No-decay,7,2597,3e-04,"[0.0003, 0.0003]"
Atlanta,During,Power-law,7,2597,4.9999,"[4.9999, 5.0000]"
Atlanta,During,Exponential,7,2597,0.4499,"[0.4491, 0.4505]"
Boston,Before,No-decay,7,3418,2e-04,"[0.0002, 0.0002]"
Boston,Before,Power-law,7,3418,4.9999,"[4.9999, 4.9999]"
Boston,Before,Exponential,7,3418,0.4243,"[0.4235, 0.4250]"
Boston,During,No-decay,7,3418,2e-04,"[0.0002, 0.0002]"
Boston,During,Power-law,7,3418,4.9999,"[4.9999, 4.9999]"
Boston,During,Exponential,7,3418,0.4161,"[0.4131, 0.4202]"
Chicago,Before,No-decay,7,6590,1e-04,"[0.0001, 0.0001]"
Chicago,Before,Power-law,7,6590,4.9999,"[4.9999, 4.9999]"
Chicago,Before,Exponential,7,6590,0.4254,"[0.4251, 0.4257]"
Chicago,During,No-decay,7,6590,1e-04,"[0.0001, 0.0001]"
Chicago,During,Power-law,7,6590,4.9999,"[4.9999, 4.9999]"
Chicago,During,Exponential,7,6590,0.4216,"[0.4210, 0.4222]"
Dallas,Before,No-decay,7,4128,2e-04,"[0.0002, 0.0002]"
Dallas,Before,Power-law,7,4128,4.9999,"[4.9999, 5.0000]"
Dallas,Before,Exponential,7,4128,0.4351,"[0.4344, 0.4357]"
Dallas,During,No-decay,7,4128,2e-04,"[0.0002, 0.0002]"
Dallas,During,Power-law,7,4128,4.9999,"[4.9999, 5.0000]"
Dallas,During,Exponential,7,4128,0.4338,"[0.4331, 0.4344]"
Houston,Before,No-decay,7,3021,2e-04,"[0.0002, 0.0002]"
Houston,Before,Power-law,7,3021,4.9999,"[4.9999, 4.9999]"
Houston,Before,Exponential,7,3021,0.4189,"[0.4185, 0.4192]"
Houston,During,No-decay,7,3021,2e-04,"[0.0002, 0.0003]"
Houston,During,Power-law,7,3021,4.9999,"[4.9999, 4.9999]"
Houston,During,Exponential,7,3021,0.4202,"[0.4175, 0.4232]"
Los Angeles,Before,No-decay,7,8248,1e-04,"[0.0001, 0.0001]"
Los Angeles,Before,Power-law,7,8248,4.9999,"[4.9999, 4.9999]"
Los Angeles,Before,Exponential,7,8248,0.4159,"[0.4151, 0.4165]"
Los Angeles,During,No-decay,7,8248,1e-04,"[0.0001, 0.0001]"
Los Angeles,During,Power-law,7,8248,4.9999,"[4.9999, 4.9999]"
Los Angeles,During,Exponential,7,8248,0.4105,"[0.4096, 0.4112]"
Miami,Before,No-decay,7,3420,2e-04,"[0.0002, 0.0002]"
Miami,Before,Power-law,7,3420,4.9999,"[4.9999, 4.9999]"
Miami,Before,Exponential,7,3420,0.4011,"[0.4000, 0.4022]"
Miami,During,No-decay,7,3420,2e-04,"[0.0002, 0.0002]"
Miami,During,Power-law,7,3420,4.9999,"[4.9999, 4.9999]"
Miami,During,Exponential,7,3420,0.4018,"[0.3994, 0.4041]"
New York,Before,No-decay,7,14376,0,"[0.0000, 0.0000]"
New York,Before,Power-law,7,14376,4.9999,"[4.9999, 4.9999]"
New York,Before,Exponential,7,14376,0.4092,"[0.4082, 0.4102]"
New York,During,No-decay,7,14376,0,"[0.0000, 0.0000]"
New York,During,Power-law,7,14376,4.9999,"[4.9999, 4.9999]"
New York,During,Exponential,7,14376,0.3989,"[0.3972, 0.4011]"
Philadelphia,Before,No-decay,7,4306,2e-04,"[0.0002, 0.0002]"
Philadelphia,Before,Power-law,7,4306,4.9999,"[4.9999, 4.9999]"
Philadelphia,Before,Exponential,7,4306,0.4311,"[0.4307, 0.4316]"
Philadelphia,During,No-decay,7,4306,2e-04,"[0.0002, 0.0002]"
Philadelphia,During,Power-law,7,4306,4.9999,"[4.9999, 4.9999]"
Philadelphia,During,Exponential,7,4306,0.4223,"[0.4202, 0.4253]"
San Francisco,Before,No-decay,7,2903,3e-04,"[0.0003, 0.0003]"
San Francisco,Before,Power-law,7,2903,4.9999,"[4.9999, 5.0000]"
San Francisco,Before,Exponential,7,2903,0.3907,"[0.3884, 0.3928]"
San Francisco,During,No-decay,7,2903,2e-04,"[0.0002, 0.0002]"
San Francisco,During,Power-law,7,2903,4.9999,"[4.9999, 4.9999]"
San Francisco,During,Exponential,7,2903,0.3899,"[0.3876, 0.3922]"
Seattle,Before,No-decay,7,2483,3e-04,"[0.0003, 0.0004]"
Seattle,Before,Power-law,7,2483,4.9999,"[4.9999, 4.9999]"
Seattle,Before,Exponential,7,2483,0.4208,"[0.4198, 0.4218]"
Seattle,During,No-decay,7,2483,3e-04,"[0.0003, 0.0003]"
Seattle,During,Power-law,7,2483,4.9999,"[4.9999, 4.9999]"
Seattle,During,Exponential,7,2483,0.4136,"[0.4100, 0.4179]"
"Washington, D.C.",Before,No-decay,7,3577,2e-04,"[0.0002, 0.0002]"
"Washington, D.C.",Before,Power-law,7,3577,4.9999,"[4.9999, 5.0000]"
"Washington, D.C.",Before,Exponential,7,3577,0.4237,"[0.4226, 0.4247]"
"Washington, D.C.",During,No-decay,7,3577,2e-04,"[0.0002, 0.0002]"
"Washington, D.C.",During,Power-law,7,3577,5,"[5.0000, 5.0000]"
"Washington, D.C.",During,Exponential,7,3577,0.4192,"[0.4175, 0.4216]"
