"msa","day","rho","county","median_day","median_rho","pop","area"
"Atlanta","2020-02-12",0.451064846942993,"msa","2020-02-12",0.451064846942993,5.862424,22892.397400061
"Boston","2020-02-15",0.424003796765324,"msa","2020-02-15",0.424003796765324,4.832346,11664.572507828
"Chicago","2020-02-11",0.425376863098115,"msa","2020-02-11",0.425376863098115,9.508605,24771.6933693088
"Dallas","2020-02-15",0.43518447755976,"msa","2020-02-15",0.43518447755976,7.320663,23341.1341701196
"Houston","2020-02-16",0.419027966880414,"msa","2020-02-16",0.419027966880414,6.884138,24488.3336142581
"Los Angeles","2020-02-11",0.416098615192461,"msa","2020-02-11",0.416098615192461,13.249614,14764.614485075
"Miami","2020-02-16",0.400646241519435,"msa","2020-02-16",0.400646241519435,6.09066,15925.1875921994
"New York","2020-02-12",0.409525315493371,"msa","2020-02-12",0.409525315493371,19.294236,23829.044163876
"Philadelphia","2020-02-14",0.431032280942234,"msa","2020-02-14",0.431032280942234,6.07913,12601.1921082928
"San Francisco","2020-02-14",0.391688883562006,"msa","2020-02-14",0.391688883562006,4.701332,8868.77189682383
"Seattle","2020-02-13",0.420335689514894,"msa","2020-02-13",0.420335689514894,3.871323,16293.2933941709
"Washington, D.C.","2020-02-10",0.424567488597178,"msa","2020-02-10",0.424567488597178,6.196585,18121.6164980288
"Atlanta","2020-02-10",0.563928780682618,"13171","2020-02-10",0.563928780682618,0.018672,481.544228569687
"Atlanta","2020-02-14",0.464100619781451,"13063","2020-02-14",0.464100619781451,0.283538,374.065219766394
"Atlanta","2020-02-11",0.45222348481639,"13089","2020-02-11",0.45222348481639,0.749323,702.574344120968
"Atlanta","2020-02-10",0.549670209605544,"13227","2020-02-10",0.549670209605544,0.031387,602.835445314184
"Atlanta","2020-02-11",0.501437286214016,"13045","2020-02-11",0.501437286214016,0.117183,1305.27338265023
"Atlanta","2020-02-15",0.489255593822559,"13297","2020-02-15",0.489255593822559,0.091442,854.983970941996
"Atlanta","2020-02-14",0.51503042817896,"13013","2020-02-14",0.51503042817896,0.078991,422.114902995101
"Atlanta","2020-02-12",0.512923329158839,"13223","2020-02-12",0.512923329158839,0.159825,814.391424436806
"Atlanta","2020-02-15",0.535203775915079,"13199","2020-02-15",0.535203775915079,0.021106,1309.64542684211
"Atlanta","2020-02-12",0.479579325617298,"13113","2020-02-12",0.479579325617298,0.112303,516.460366762868
"Atlanta","2020-02-10",0.555393348892824,"13143","2020-02-10",0.555393348892824,0.029227,733.666426318961
"Atlanta","2020-02-15",0.495530742607442,"13015","2020-02-15",0.495530742607442,0.104919,1217.87729961266
"Atlanta","2020-02-12",0.483344418283727,"13077","2020-02-12",0.483344418283727,0.14326,1155.1977001511
"Atlanta","2020-02-11",0.66669605960429,"13159","2020-02-11",0.66669605960429,0.013916,967.691847018888
"Atlanta","2020-02-12",0.500274600248808,"13151","2020-02-12",0.500274600248808,0.225356,845.989413236567
"Atlanta","2020-02-15",0.644150817477354,"13085","2020-02-15",0.644150817477354,0.024536,555.422095492604
"Atlanta","2020-02-10",0.476816424501304,"13097","2020-02-10",0.476816424501304,0.143316,520.963203955335
"Atlanta","2020-02-11",0.621433579889324,"13211","2020-02-11",0.621433579889324,0.018507,918.810969563801
"Atlanta","2020-02-12",0.469021758003314,"13135","2020-02-12",0.469021758003314,0.915046,1131.5371850774
"Atlanta","2020-02-12",0.678829932646069,"13231","2020-02-12",0.678829932646069,0.018327,568.53242341241
"Atlanta","2020-02-13",0.485540849675469,"13247","2020-02-13",0.485540849675469,0.089717,342.256461608215
"Atlanta","2020-02-11",0.458601703256474,"13121","2020-02-11",0.458601703256474,1.0362,1384.4227131817
"Atlanta","2020-02-13",0.675577416942172,"13149","2020-02-13",0.675577416942172,0.011736,780.175605516432
"Atlanta","2020-02-11",0.462623246575054,"13067","2020-02-11",0.462623246575054,0.751218,892.568897763052
"Atlanta","2020-02-12",0.471860960196952,"13057","2020-02-12",0.471860960196952,0.247515,1125.39548224383
"Atlanta","2020-02-12",0.516940549744938,"13217","2020-02-12",0.516940549744938,0.108079,723.398534687031
"Atlanta","2020-02-15",0.510600494906846,"13255","2020-02-15",0.510600494906846,0.065306,517.16934389542
"Atlanta","2020-02-13",0.561773317219468,"13035","2020-02-13",0.561773317219468,0.02409,487.240541519924
"Atlanta","2020-02-10",0.47962951619366,"13117","2020-02-10",0.47962951619366,0.228383,640.192543405307
