"day","empirical","exp"
2020-02-10,453,265.777188160487
2020-02-10,704,334.927740198761
2020-02-10,293,456.256179335983
2020-02-10,548,390.452358735269
2020-02-10,469,510.803376331542
2020-02-10,480,255.367270336243
2020-02-10,277,241.166247887058
2020-02-10,208,293.461109320148
2020-02-10,728,401.841657453683
2020-02-10,393,462.153203420278
2020-02-10,438,390.960182729799
2020-02-10,453,461.689629663988
2020-02-10,606,585.321965893675
2020-02-10,445,566.210195671756
2020-02-10,599,490.175685046561
2020-02-10,457,562.223243480718
2020-02-10,862,579.650334926356
2020-02-10,765,426.705272447858
2020-02-10,489,523.983026503049
2020-02-10,232,675.963498706767
2020-02-10,902,588.25089538949
2020-02-10,732,581.959258483663
2020-02-10,1025,617.994984773943
2020-02-10,896,478.6013123919
2020-02-10,517,419.660046220555
2020-02-10,333,369.700672084966
2020-02-10,269,326.636251244129
2020-02-10,250,332.074737098947
2020-02-10,373,367.728038299759
2020-02-10,393,534.265406269941
2020-02-10,316,371.092728602129
2020-02-10,242,371.058118505849
2020-02-10,435,326.628195278085
2020-02-10,275,398.66879353671
2020-02-10,198,203.839384631584
2020-02-10,332,311.375182973441
2020-02-10,115,242.420512977703
2020-02-10,100,98.6398693258361
2020-02-10,241,232.931663036378
2020-02-10,312,403.072527878342
2020-02-10,342,323.526547767627
2020-02-10,202,330.613126921563
2020-02-10,289,335.22241410296
2020-02-10,404,320.246358125454
2020-02-10,475,377.632196838777
2020-02-10,540,435.903379158306
2020-02-10,425,466.430258099669
2020-02-10,414,287.909504370321
2020-02-10,465,235.687487907633
2020-02-10,468,284.771598679861
2020-02-10,168,227.595374851718
2020-02-10,214,249.173118363792
2020-02-10,585,246.850259749543
2020-02-10,359,700.803458876258
2020-02-10,587,338.185633009709
2020-02-10,919,334.030914515469
2020-02-10,508,625.196501953354
2020-02-10,246,255.829400534037
2020-02-10,273,256.49602442435
2020-02-10,209,245.858603242314
2020-02-10,291,394.332323586696
2020-02-10,111,311.464769023568
2020-02-10,129,239.614054198298
2020-02-10,207,249.568125276603
2020-02-10,426,256.143968709717
2020-02-10,286,392.591079685828
2020-02-10,531,232.966924296542
2020-02-10,215,224.557803620684
2020-02-10,102,198.222898854141
2020-02-10,105,166.539032095319
2020-02-10,180,161.105444862948
2020-02-10,156,141.824754579233
2020-02-10,110,195.365958639205
2020-02-10,69,182.052409137129
2020-02-10,293,142.708416581169
2020-02-10,260,222.481220846193
2020-02-10,267,238.877199067749
2020-02-10,149,197.798886355507
2020-02-10,185,182.844531555543
2020-02-10,289,156.986847545415
2020-02-10,115,208.137089142122
2020-02-10,325,411.95209823849
2020-02-10,491,387.538208747539
2020-02-10,192,198.534866773276
2020-02-10,91,148.548939038909
2020-02-10,120,146.59302451959
2020-02-10,159,180.567627139859
2020-02-10,122,228.090154600307
2020-02-10,296,215.896777550938
2020-02-10,292,335.161062052632
2020-02-10,213,243.288955124797
2020-02-10,474,186.852628319592
2020-02-10,253,214.859838813528
2020-02-10,129,189.139776356308
2020-02-10,82,167.122089705625
2020-02-10,154,124.176002250052
2020-02-10,210,178.808403977971
2020-02-10,183,216.808015690758
2020-02-10,258,212.479990811104
2020-02-10,324,258.923767740061
2020-02-10,237,291.810761270322
2020-02-10,168,250.370287098892
2020-02-10,415,412.677952008094
2020-02-10,186,226.342106680244
2020-02-10,262,155.245017154235
2020-02-10,63,138.321872591229
2020-02-10,156,244.071058334586
2020-02-10,282,400.689657574015
2020-02-10,195,172.318669461251
2020-02-10,115,215.921973570457
2020-02-10,273,262.212577820176
2020-02-10,361,271.715558295964
2020-02-10,269,291.294602827987
2020-02-10,253,242.107795587564
2020-02-10,261,202.448787039533
2020-02-10,475,243.145457166777
2020-02-10,448,220.182608815459
2020-02-10,299,255.697452977287
2020-02-10,282,249.119472306469
2020-02-10,321,261.471396008553
2020-02-10,292,348.150813089882
2020-02-10,371,453.882746802457
2020-02-10,122,213.602455567384
2020-02-10,75,251.849196111047
2020-02-10,231,264.947792760835
