"day","empirical","exp"
2020-02-10,1859,1697.97374823298
2020-02-10,1163,2358.21675968767
2020-02-10,1229,1859.19213300668
2020-02-10,6485,722.884401148913
2020-02-10,1832,1759.04156996858
2020-02-10,1315,2016.37839886566
2020-02-10,2532,1615.86779498279
2020-02-10,2156,1945.47397884006
2020-02-10,5198,1923.31670481817
2020-02-10,1285,1229.58921112856
2020-02-10,1173,1419.30944182429
2020-02-10,859,1472.43089240933
2020-02-10,973,1009.30684683872
2020-02-10,887,1057.36141158313
2020-02-10,1431,2168.71741422706
2020-02-10,645,742.091131250736
2020-02-10,761,911.357982702033
2020-02-10,845,865.586473230178
2020-02-10,341,1067.94304078802
2020-02-10,1580,859.926009903605
2020-02-10,608,606.735904132962
2020-02-10,634,967.315185685216
2020-02-10,2549,2038.20597714347
2020-02-10,1462,1246.98192471356
2020-02-10,3140,2610.07239547341
2020-02-10,1532,1931.69882945121
2020-02-10,1517,1512.25320657328
2020-02-10,1556,1392.43068172488
2020-02-10,2398,1894.68786499793
2020-02-10,1508,2682.09867677817
2020-02-10,1387,3018.31938141415
2020-02-10,1428,1007.9012174911
2020-02-10,1063,1194.61271653489
2020-02-10,2820,1295.03602602776
2020-02-10,2272,1792.94668755262
2020-02-10,1454,2190.38678602963
2020-02-10,1766,1222.80206164603
2020-02-10,2779,1552.97339958827
2020-02-10,1125,1658.74380554082
2020-02-10,1878,1340.1957347282
2020-02-10,882,1347.68371552689
2020-02-10,1258,1079.1646598015
2020-02-10,1453,1719.24992376827
2020-02-10,1961,2203.16168179775
2020-02-10,1646,1563.08567471328
2020-02-10,524,1444.08065040592
2020-02-10,1214,1572.83478135102
2020-02-10,571,1499.67497230219
2020-02-10,2289,788.961462237526
2020-02-10,645,2197.88989338863
2020-02-10,899,1203.93418475843
2020-02-10,1592,2059.94747438328
2020-02-10,2031,2375.68668821016
2020-02-10,2534,812.257335686624
2020-02-10,1399,1486.20103888901
2020-02-10,3194,1800.75215062774
2020-02-10,2236,2259.92955045579
2020-02-10,1685,2673.93304846674
2020-02-10,1736,2477.46314965287
2020-02-10,2664,2038.34860379552
2020-02-10,3116,2453.19473039165
2020-02-10,3685,1676.60247964882
2020-02-10,1240,1386.3676649388
2020-02-10,3274,2120.2036797395
2020-02-10,1434,1940.53317100517
2020-02-10,5164,1608.43374495842
2020-02-10,1154,1727.46982511114
2020-02-10,2563,2668.1024931842
2020-02-10,5824,2506.0047390559
2020-02-10,4628,2327.04071408591
2020-02-10,1698,2044.61389106711
