"day","empirical","exp"
2020-02-10,495,333.593998131759
2020-02-10,454,302.07690453598
2020-02-10,282,199.74076564922
2020-02-10,1032,516.139358276265
2020-02-10,415,425.350591163407
2020-02-10,694,376.731610180892
2020-02-10,362,297.74474585312
2020-02-10,567,522.95229393161
2020-02-10,539,354.960565349947
2020-02-10,905,527.851696396714
2020-02-10,495,812.512533874361
2020-02-10,553,450.735856734023
2020-02-10,1233,770.555104806673
2020-02-10,761,637.806711951709
2020-02-10,811,488.732224654492
2020-02-10,787,828.005802961388
2020-02-10,5792,1057.77268270731
2020-02-10,1349,1187.12264504169
2020-02-10,2136,1708.62206449624
2020-02-10,1005,709.544752945035
2020-02-10,932,766.042475044301
2020-02-10,1193,951.613780769232
2020-02-10,1577,1278.83303864183
2020-02-10,2323,975.258968468
2020-02-10,1030,1134.62170177108
2020-02-10,1473,811.432061211391
2020-02-10,834,751.48960863208
2020-02-10,1624,718.029276724372
2020-02-10,775,696.81132987645
2020-02-10,1297,505.148106995032
2020-02-10,1034,589.39880171835
2020-02-10,349,314.207222538292
2020-02-10,532,224.621130414773
2020-02-10,142,348.161126558242
2020-02-10,1429,937.4507021492
2020-02-10,790,405.051311498987
2020-02-10,326,612.635296116861
2020-02-10,1005,636.350656847126
2020-02-10,1189,626.636176593383
2020-02-10,727,647.491236347015
2020-02-10,682,576.417959416673
2020-02-10,542,673.757979343268
2020-02-10,1034,387.701338243403
2020-02-10,335,465.910399874379
2020-02-10,385,441.680229205342
2020-02-10,1252,728.895708193796
2020-02-10,747,659.613028851023
2020-02-10,1096,737.323770874416
2020-02-10,631,750.063162759117
2020-02-10,1039,801.313410583166
2020-02-10,1118,826.403484957648
2020-02-10,1096,748.741243328187
2020-02-10,898,636.881659709695
2020-02-10,606,500.160899623489
2020-02-10,543,738.751400577893
2020-02-10,1706,850.114975231754
2020-02-10,1355,713.922657557833
2020-02-10,954,761.716960496846
2020-02-10,388,770.723788371065
2020-02-10,767,711.873419438212
2020-02-10,652,594.71104949811
2020-02-10,920,537.442394264613
2020-02-10,565,608.188778086363
2020-02-10,976,796.690069906921
2020-02-10,1077,541.763055355851
2020-02-10,610,503.744248849126
2020-02-10,1167,643.098494084806
2020-02-10,1002,543.488032429491
2020-02-10,1069,747.016110943355
2020-02-10,1073,734.518192544746
2020-02-10,471,314.35721712589
2020-02-10,979,558.454411402604
2020-02-10,795,580.550023774189
2020-02-10,574,504.965410387855
2020-02-10,760,676.711626563008
2020-02-10,1099,826.043748467674
2020-02-10,670,297.169623716952
2020-02-10,567,402.466526777622
2020-02-10,241,442.204779565435
2020-02-10,710,330.782731383213
2020-02-10,438,544.045521594191
2020-02-10,745,484.61120359191
2020-02-10,345,312.315229086484
2020-02-10,441,441.871376296721
2020-02-10,775,612.142062388532
2020-02-10,825,915.668520945444
2020-02-10,532,435.747849524908
2020-02-10,783,874.715036550207
2020-02-10,778,421.695639916427
2020-02-10,282,371.997879054739
2020-02-10,852,479.13927473027
2020-02-10,820,490.464523471439
2020-02-10,699,308.010973376567
2020-02-10,618,504.493589444766
2020-02-10,800,327.215014470206
2020-02-10,475,303.682141628655
2020-02-10,722,404.720821446361
2020-02-10,368,285.136565168434
2020-02-10,602,317.530060771512
2020-02-10,716,362.613716837038
2020-02-10,162,185.350035874269
2020-02-10,293,283.975035171682
2020-02-10,201,288.416566437473
2020-02-10,194,202.776991314285
2020-02-10,324,222.284178684817
2020-02-10,234,317.023272878609
2020-02-10,374,423.119451344187
2020-02-10,690,533.420801075096
2020-02-10,522,345.325842465869
2020-02-10,646,344.13720770421
2020-02-10,229,289.495153429102
2020-02-10,467,366.596694583161
2020-02-10,391,210.765940793272
2020-02-10,206,170.297356660137
2020-02-10,263,134.210525828255
2020-02-10,505,353.174899596098
2020-02-10,500,326.383578704908
2020-02-10,386,276.120314076432
2020-02-10,539,398.096421386913
2020-02-10,479,309.954193340447
2020-02-10,450,336.203087185026
2020-02-10,556,470.391745380389
2020-02-10,460,216.867787836723
2020-02-10,413,361.4548202284
2020-02-10,597,247.99354394988
2020-02-10,525,506.145685742193
2020-02-10,751,467.311284613046
2020-02-10,400,562.16846314373
2020-02-10,361,292.606068887501
2020-02-10,626,379.16664619503
2020-02-10,486,422.289161661074
2020-02-10,240,245.40873958582
2020-02-10,374,274.760219447363
2020-02-10,498,275.087164540713
2020-02-10,356,273.611546174977
2020-02-10,329,224.920136963307
2020-02-10,389,269.906068319498
2020-02-10,609,278.388197848467
2020-02-10,306,371.864489400034
2020-02-10,251,241.054481088711
2020-02-10,963,409.57912836161
2020-02-10,556,426.072639892626
2020-02-10,683,506.410828056533
2020-02-10,886,436.243955212683
2020-02-10,813,496.985231182172
2020-02-10,238,549.476159162351
2020-02-10,1063,374.230361973369
2020-02-10,612,405.237852872138
2020-02-10,688,359.405181926048
2020-02-10,310,367.353509184147
2020-02-10,554,645.531112054502
2020-02-10,952,429.777501916706
2020-02-10,384,443.812648772525
2020-02-10,548,490.543360483586
2020-02-10,937,522.782480772373
2020-02-10,681,478.13218072583
2020-02-10,952,394.229722023359
2020-02-10,408,361.155935382977
2020-02-10,650,364.720272890526
2020-02-10,410,372.406678549131
2020-02-10,270,572.935538884964
2020-02-10,543,581.87406971833
2020-02-10,381,311.794604670597
2020-02-10,231,315.773343167947
2020-02-10,452,386.051650177349
