"day","empirical","exp"
2020-02-10,732,271.497239163033
2020-02-10,610,402.680052548533
2020-02-10,275,386.022929320085
2020-02-10,521,303.314022632712
2020-02-10,333,265.177801559693
2020-02-10,213,361.981064974449
2020-02-10,688,373.91004167701
2020-02-10,474,355.437786653516
2020-02-10,146,238.981639410237
2020-02-10,153,214.542955394621
2020-02-10,185,200.501658986944
2020-02-10,154,294.137788396834
2020-02-10,660,260.003440339143
2020-02-10,320,334.261361613983
2020-02-10,345,380.406255356837
2020-02-10,239,259.108461808527
2020-02-10,270,379.524251276291
2020-02-10,250,235.754875852503
2020-02-10,329,208.621185044514
2020-02-10,283,192.103300786845
2020-02-10,301,223.055712440418
2020-02-10,232,254.685919518342
2020-02-10,268,247.400855107563
2020-02-10,378,357.778801910613
2020-02-10,306,172.912299763349
2020-02-10,282,241.617249045659
2020-02-10,340,299.873889105527
2020-02-10,354,265.649973582842
2020-02-10,286,216.645488943616
2020-02-10,216,260.430568376059
2020-02-10,595,217.296020862806
2020-02-10,420,382.83909171362
2020-02-10,483,412.460785095188
2020-02-10,409,286.409025193808
2020-02-10,152,263.182486530282
2020-02-10,191,235.313668801124
2020-02-10,421,222.350750712544
2020-02-10,145,197.502139054741
2020-02-10,202,219.91788353057
2020-02-10,298,440.207085201693
2020-02-10,627,379.630252862707
2020-02-10,618,291.277304351444
2020-02-10,230,411.953217781652
2020-02-10,308,273.19128378523
2020-02-10,576,356.851874026804
2020-02-10,184,331.384831764567
2020-02-10,344,333.89252510186
2020-02-10,599,264.064066674003
2020-02-10,239,266.164246141685
2020-02-10,315,230.292264506898
2020-02-10,274,182.446056933352
2020-02-10,218,228.473944056675
2020-02-10,635,406.673774763779
2020-02-10,801,285.223521951358
2020-02-10,811,419.36388464052
2020-02-10,412,291.605275599989
2020-02-10,445,283.082946231126
2020-02-10,507,358.691331800213
2020-02-10,354,299.438695991417
2020-02-10,424,501.485496164346
2020-02-10,562,303.76721776717
2020-02-10,358,317.352610138185
2020-02-10,276,339.733995266912
2020-02-10,291,336.809435933219
2020-02-10,338,267.079514306342
2020-02-10,190,149.515496079494
2020-02-10,255,255.21654136995
2020-02-10,227,395.992486099601
2020-02-10,657,280.270634597402
2020-02-10,222,257.978577469478
2020-02-10,284,209.485955928739
2020-02-10,354,285.707912239511
2020-02-10,251,225.595578243626
2020-02-10,529,362.820105508105
2020-02-10,593,390.811918122904
2020-02-10,221,235.772095367909
2020-02-10,281,196.939770029242
2020-02-10,477,255.446904947113
2020-02-10,208,204.782484730196
2020-02-10,324,251.704794641667
2020-02-10,324,306.966350329153
